Var1	Var2
C05953t	Transport, extracellular
C05953tm	Transport, mitochondrial
C05957t	Transport, extracellular
C05957td	Transport, extracellular
C06314t	Transport, extracellular
C06315t	Transport, extracellular
C06439t	Transport, extracellular
C11695td	Transport, extracellular
C14768td	Transport, extracellular
C14769td1	Transport, extracellular
EX_C14769[e]	Exchange/demand reaction
C14770ATP	Transport, extracellular
C14771ATP	Transport, extracellular
C14825td	Transport, extracellular
CE0955te	Transport, extracellular
CE0955tr	Transport, extracellular
CE1273t2	Transport, extracellular
CE1556td	Transport, extracellular
CE2445t	Transport, extracellular
CE2513td	Transport, extracellular
CE2537ATP	Transport, extracellular
CE5304t	Transport, extracellular
CE6031t	Transport, extracellular
CE6247t	Transport, extracellular
CE7082ATP	Transport, extracellular
CORTSNt	Transport, extracellular
CORTSNti	Transport, endoplasmic reticular
DIDECAETH	Glycerophospholipid metabolism
DIHOLINETH	Glycerophospholipid metabolism
DOCOHEXETHc	Glycerophospholipid metabolism
DOCTETETH	Glycerophospholipid metabolism
DODECANACtd	Transport, extracellular
ELAIDCRNtd	Transport, extracellular
EX_12HPET[e]	Exchange/demand reaction
EX_2oxoadp[e]	Exchange/demand reaction
EX_34hpl[e]	Exchange/demand reaction
EX_3hpp[e]	Exchange/demand reaction
EX_3mhis[e]	Exchange/demand reaction
EX_4aabutn[e]	Exchange/demand reaction
EX_56dthm[e]	Exchange/demand reaction
EX_5HPET[e]	Exchange/demand reaction
EX_7dhchsterol[e]	Exchange/demand reaction
EX_aclys[e]	Exchange/demand reaction
EX_adpac[e]	Exchange/demand reaction
EX_adpoh[e]	Exchange/demand reaction
EX_amet[e]	Exchange/demand reaction
EX_aracheth[e]	Exchange/demand reaction
EX_biliverd[e]	Exchange/demand reaction
EX_C02356[e]	Exchange/demand reaction
EX_C02712[e]	Exchange/demand reaction
EX_C04717[e]	Exchange/demand reaction
EX_C04805[e]	Exchange/demand reaction
EX_C06314[e]	Exchange/demand reaction
EX_C06315[e]	Exchange/demand reaction
EX_C11695[e]	Exchange/demand reaction
EX_C14768[e]	Exchange/demand reaction
EX_C14770[e]	Exchange/demand reaction
EX_C14771[e]	Exchange/demand reaction
EX_C14825[e]	Exchange/demand reaction
EX_CE0955[e]	Exchange/demand reaction
EX_CE1273[e]	Exchange/demand reaction
EX_CE1557[e]	Exchange/demand reaction
EX_CE2445[e]	Exchange/demand reaction
EX_CE5304[e]	Exchange/demand reaction
EX_CE6031[e]	Exchange/demand reaction
EX_CE6247[e]	Exchange/demand reaction
EX_CE7082[e]	Exchange/demand reaction
EX_cortsn[e]	Exchange/demand reaction
EX_didecaeth[e]	Exchange/demand reaction
EX_diholineth[e]	Exchange/demand reaction
EX_docohxeth[e]	Exchange/demand reaction
EX_docteteth[e]	Exchange/demand reaction
EX_dodecanac[e]	Exchange/demand reaction
EX_forglu[e]	Exchange/demand reaction
EX_HC00900[e]	Exchange/demand reaction
EX_hepdeceth[e]	Exchange/demand reaction
EX_hexdeceeth[e]	Exchange/demand reaction
EX_hexdiac[e]	Exchange/demand reaction
EX_hgentis[e]	Exchange/demand reaction
EX_hmcr[e]	Exchange/demand reaction
EX_hxcoa[e]	Exchange/demand reaction
EX_leuktrB4wcooh[e]	Exchange/demand reaction
EX_lineth[e]	Exchange/demand reaction
EX_lnlccrn[e]	Exchange/demand reaction
EX_lthstrl[e]	Transport, extracellular
EX_mev_R[e]	Exchange/demand reaction
EX_Nacasp[e]	Exchange/demand reaction
EX_oleth[e]	Exchange/demand reaction
EX_pailar_hs[e]	Exchange/demand reaction
EX_pailpalm_hs[e]	Exchange/demand reaction
EX_pchol2linl_hs[e]	Exchange/demand reaction
EX_pchol2ole_hs[e]	Exchange/demand reaction
EX_pchol2palm_hs[e]	Exchange/demand reaction
EX_pchol2ste_hs[e]	Exchange/demand reaction
EX_pcholar_hs[e]	Exchange/demand reaction
EX_pcholdoc_hs[e]	Exchange/demand reaction
EX_pcholeic_hs[e]	Exchange/demand reaction
EX_pcholet_hs[e]	Exchange/demand reaction
EX_pcholhep_hs[e]	Exchange/demand reaction
EX_pchollinl_hs[e]	Exchange/demand reaction
EX_pcholmyr_hs[e]	Exchange/demand reaction
EX_pcholn15_hs[e]	Exchange/demand reaction
EX_pcholn183_hs[e]	Exchange/demand reaction
EX_pcholn1836_hs[e]	Exchange/demand reaction
EX_pcholn19_hs[e]	Exchange/demand reaction
EX_pcholn201_hs[e]	Exchange/demand reaction
EX_pcholn203_hs[e]	Exchange/demand reaction
EX_pcholn204_hs[e]	Exchange/demand reaction
EX_pcholn205_hs[e]	Exchange/demand reaction
EX_pcholn224_hs[e]	Exchange/demand reaction
EX_pcholn225_hs[e]	Exchange/demand reaction
EX_pcholn2254_hs[e]	Exchange/demand reaction
EX_pcholn226_hs[e]	Exchange/demand reaction
EX_pcholn24_hs[e]	Exchange/demand reaction
EX_pcholn261_hs[e]	Exchange/demand reaction
EX_pcholn28_hs[e]	Exchange/demand reaction
EX_pcholn281_hs[e]	Exchange/demand reaction
EX_pcholole_hs[e]	Exchange/demand reaction
EX_pcholpalm_hs[e]	Exchange/demand reaction
EX_pcholpalme_hs[e]	Exchange/demand reaction
EX_pcholste_hs[e]	Exchange/demand reaction
EX_pe12_hs[e]	Exchange/demand reaction
EX_pe14_hs[e]	Exchange/demand reaction
EX_pe15_hs[e]	Exchange/demand reaction
EX_pe17_hs[e]	Exchange/demand reaction
EX_pe203_hs[e]	Exchange/demand reaction
EX_pe226_hs[e]	Exchange/demand reaction
EX_pe2linl_hs[e]	Exchange/demand reaction
EX_pendecaeth[e]	Exchange/demand reaction
EX_peste_hs[e]	Exchange/demand reaction
EX_pmeth[e]	Exchange/demand reaction
EX_saccrp_L[e]	Exchange/demand reaction
EX_sebacid[e]	Exchange/demand reaction
EX_sphmyln180241_hs[e]	Exchange/demand reaction
EX_sphmyln18114_hs[e]	Exchange/demand reaction
EX_sphmyln18115_hs[e]	Exchange/demand reaction
EX_sphmyln18116_hs[e]	Exchange/demand reaction
EX_sphmyln181161_hs[e]	Exchange/demand reaction
EX_sphmyln18117_hs[e]	Exchange/demand reaction
EX_sphmyln18118_hs[e]	Exchange/demand reaction
EX_sphmyln181181_hs[e]	Exchange/demand reaction
EX_sphmyln18120_hs[e]	Exchange/demand reaction
EX_sphmyln181201_hs[e]	Exchange/demand reaction
EX_sphmyln18121_hs[e]	Exchange/demand reaction
EX_sphmyln18122_hs[e]	Exchange/demand reaction
EX_sphmyln181221_hs[e]	Exchange/demand reaction
EX_sphmyln18123_hs[e]	Exchange/demand reaction
EX_sphmyln1824_hs[e]	Exchange/demand reaction
EX_sphmyln1825_hs[e]	Exchange/demand reaction
EX_steeth[e]	Exchange/demand reaction
EX_subeac[e]	Exchange/demand reaction
EX_tetdecaeth[e]	Exchange/demand reaction
EX_trideceth[e]	Exchange/demand reaction
EX_ttdcrn[e]	Exchange/demand reaction
EX_xolest182_hs[e]	Exchange/demand reaction
EX_xolest205_hs[e]	Exchange/demand reaction
EX_xolest226_hs[e]	Exchange/demand reaction
FORGLUt	Transport, extracellular
GALTt	Transport, extracellular
GLYC_Rt	Transport, extracellular
GLYC2Pte	Transport, extracellular
GLYCLTtd	Transport, extracellular
HC00319t2	Transport, extracellular
HC00900t1	Transport, extracellular
HC00900t2	Transport, extracellular
HC00900t3	Transport, extracellular
HC00900t4	Transport, extracellular
HC02149td	Transport, extracellular
HEPDECETH	Glycerophospholipid metabolism
HEXDECEETH	Glycerophospholipid metabolism
HEXDIACtd	Transport, extracellular
HGENTISt	Transport, extracellular
HMCRNt	Transport, extracellular
HXCOAte	Transport, extracellular
HXCOAtx	Transport, peroxisomal
IND3ACt	Transport, extracellular
LCYSTt	Transport, extracellular
LEUKTRB4WCOOHt	Transport, extracellular
LNLCCRNtd	Transport, extracellular
LTHSTRLt	Transport, extracellular
MEV_Rt	Transport, extracellular
NACASPt	Transport, extracellular
OAAt	Transport, extracellular
OLEETH	Glycerophospholipid metabolism
pac	Transport, extracellular
PELINETH	Glycerophospholipid metabolism
PENDECAETH	Glycerophospholipid metabolism
PEPALM	Glycerophospholipid metabolism
PSERtr	Transport, extracellular
SACCRP_Lte	Transport, mitochondrial
SACCRP_Ltm	Transport, extracellular
SEBACIDtd	Transport, extracellular
STEETH	Glycerophospholipid metabolism
SUBEACtd	Transport, extracellular
TETDECAETH	Glycerophospholipid metabolism
TRIDECETH	Glycerophospholipid metabolism
TXB2c	Eicosanoid metabolism
EX_estriol[e]	Exchange/demand reaction
EX_3moxtyr[e]	Exchange/demand reaction
EX_5aop[e]	Exchange/demand reaction
EX_abt_D[e]	Exchange/demand reaction
EX_alltn[e]	Exchange/demand reaction
EX_CE2510[e]	Exchange/demand reaction
EX_glyc_R[e]	Exchange/demand reaction
EX_glyc2p[e]	Exchange/demand reaction
EX_glyclt[e]	Exchange/demand reaction
EX_Lcyst[e]	Exchange/demand reaction
EX_oaa[e]	Exchange/demand reaction
EX_pac[e]	Exchange/demand reaction
EX_phlac[e]	Exchange/demand reaction
EX_pser_L[e]	Exchange/demand reaction
EX_ttdcea[e]	Exchange/demand reaction
TTDCEAt	Transport, extracellular
MEPIt	Transport, extracellular
RETINALt	Transport, extracellular
MALTTTRt	Transport, extracellular
LEULEUt	Transport, extracellular
GLYPROt	Transport, extracellular
PROGLyt	Transport, extracellular
DHBPTt	Transport, extracellular
THBPTt	Transport, extracellular
EX_mepi[e]	Exchange/demand reaction
EX_retinal[e]	Exchange/demand reaction
EX_maltttr[e]	Exchange/demand reaction
EX_progly[e]	Exchange/demand reaction
EX_dhbpt[e]	Exchange/demand reaction
EX_thbpt[e]	Exchange/demand reaction
DM_itp[n]	Exchange/demand reaction
EX_alaargcys[e]	Exchange/demand reaction
EX_alaarggly[e]	Exchange/demand reaction
EX_alaasnleu[e]	Exchange/demand reaction
EX_alaglylys[e]	Exchange/demand reaction
EX_alahisala[e]	Exchange/demand reaction
EX_alalysthr[e]	Exchange/demand reaction
EX_argalaala[e]	Exchange/demand reaction
EX_argalaphe[e]	Exchange/demand reaction
EX_argalathr[e]	Exchange/demand reaction
EX_argarg[e]	Exchange/demand reaction
EX_argarglys[e]	Exchange/demand reaction
EX_argargmet[e]	Exchange/demand reaction
EX_argcysgly[e]	Exchange/demand reaction
EX_argcysser[e]	Exchange/demand reaction
EX_arggluglu[e]	Exchange/demand reaction
EX_argglupro[e]	Exchange/demand reaction
EX_argglygly[e]	Exchange/demand reaction
EX_arghisthr[e]	Exchange/demand reaction
EX_argleuphe[e]	Exchange/demand reaction
EX_arglysasp[e]	Exchange/demand reaction
EX_argphearg[e]	Exchange/demand reaction
EX_argpromet[e]	Exchange/demand reaction
EX_argprothr[e]	Exchange/demand reaction
EX_argserser[e]	Exchange/demand reaction
EX_argtyrval[e]	Exchange/demand reaction
EX_argvalcys[e]	Exchange/demand reaction
EX_argvaltrp[e]	Exchange/demand reaction
EX_asnasnarg[e]	Exchange/demand reaction
EX_asncyscys[e]	Exchange/demand reaction
EX_asnmetpro[e]	Exchange/demand reaction
EX_asnpheasp[e]	Exchange/demand reaction
EX_asnphecys[e]	Exchange/demand reaction
EX_asntyrgly[e]	Exchange/demand reaction
EX_asntyrphe[e]	Exchange/demand reaction
EX_asntyrthr[e]	Exchange/demand reaction
EX_aspalaarg[e]	Exchange/demand reaction
EX_aspasnglu[e]	Exchange/demand reaction
EX_aspglu[e]	Exchange/demand reaction
EX_aspglupro[e]	Exchange/demand reaction
EX_aspglutrp[e]	Exchange/demand reaction
EX_asphiscys[e]	Exchange/demand reaction
EX_asphispro[e]	Exchange/demand reaction
EX_asplysglu[e]	Exchange/demand reaction
EX_asplyshis[e]	Exchange/demand reaction
EX_aspmetasp[e]	Exchange/demand reaction
EX_aspprolys[e]	Exchange/demand reaction
EX_aspvalasn[e]	Exchange/demand reaction
EX_cysasnmet[e]	Exchange/demand reaction
EX_cysaspphe[e]	Exchange/demand reaction
EX_cyscys[e]	Exchange/demand reaction
EX_cysglnmet[e]	Exchange/demand reaction
EX_cysgluhis[e]	Exchange/demand reaction
EX_cysglutrp[e]	Exchange/demand reaction
EX_cysleuthr[e]	Exchange/demand reaction
EX_cyssermet[e]	Exchange/demand reaction
EX_cystyrasn[e]	Exchange/demand reaction
EX_glnasngln[e]	Exchange/demand reaction
EX_glnhishis[e]	Exchange/demand reaction
EX_glnhislys[e]	Exchange/demand reaction
EX_glnlyslys[e]	Exchange/demand reaction
EX_glnlystrp[e]	Exchange/demand reaction
EX_glnproglu[e]	Exchange/demand reaction
EX_glntrpglu[e]	Exchange/demand reaction
EX_glntyrleu[e]	Exchange/demand reaction
EX_gluargleu[e]	Exchange/demand reaction
EX_gluasnleu[e]	Exchange/demand reaction
EX_gluglu[e]	Exchange/demand reaction
EX_gluilelys[e]	Exchange/demand reaction
EX_gluleu[e]	Exchange/demand reaction
EX_glumet[e]	Exchange/demand reaction
EX_glumethis[e]	Exchange/demand reaction
EX_gluthr[e]	Exchange/demand reaction
EX_gluthrlys[e]	Exchange/demand reaction
EX_glutrpala[e]	Exchange/demand reaction
EX_glyhisasn[e]	Exchange/demand reaction
EX_glyhislys[e]	Exchange/demand reaction
EX_glylyscys[e]	Exchange/demand reaction
EX_glylysphe[e]	Exchange/demand reaction
EX_glytyrlys[e]	Exchange/demand reaction
EX_glyvalhis[e]	Exchange/demand reaction
EX_hisargcys[e]	Exchange/demand reaction
EX_hisargser[e]	Exchange/demand reaction
EX_hisasp[e]	Exchange/demand reaction
EX_hiscyscys[e]	Exchange/demand reaction
EX_hisglnala[e]	Exchange/demand reaction
EX_hisglu[e]	Exchange/demand reaction
EX_hisglugln[e]	Exchange/demand reaction
EX_hisglylys[e]	Exchange/demand reaction
EX_hishislys[e]	Exchange/demand reaction
EX_hislysala[e]	Exchange/demand reaction
EX_hislysglu[e]	Exchange/demand reaction
EX_hislysile[e]	Exchange/demand reaction
EX_hislysthr[e]	Exchange/demand reaction
EX_hislysval[e]	Exchange/demand reaction
EX_hismet[e]	Exchange/demand reaction
EX_hismetgln[e]	Exchange/demand reaction
EX_hisphearg[e]	Exchange/demand reaction
EX_hisprolys[e]	Exchange/demand reaction
EX_histrphis[e]	Exchange/demand reaction
EX_ileargile[e]	Exchange/demand reaction
EX_ileasnhis[e]	Exchange/demand reaction
EX_ileasp[e]	Exchange/demand reaction
EX_ileglnglu[e]	Exchange/demand reaction
EX_ileglyarg[e]	Exchange/demand reaction
EX_ileprolys[e]	Exchange/demand reaction
EX_ileserarg[e]	Exchange/demand reaction
EX_iletrptyr[e]	Exchange/demand reaction
EX_leualaarg[e]	Exchange/demand reaction
EX_leuasnasp[e]	Exchange/demand reaction
EX_leuasplys[e]	Exchange/demand reaction
EX_leuleutrp[e]	Exchange/demand reaction
EX_leupro[e]	Exchange/demand reaction
EX_leuproarg[e]	Exchange/demand reaction
EX_leusertrp[e]	Exchange/demand reaction
EX_leutrp[e]	Exchange/demand reaction
EX_leutrparg[e]	Exchange/demand reaction
EX_leutyrtyr[e]	Exchange/demand reaction
EX_leuval[e]	Exchange/demand reaction
EX_lysargleu[e]	Exchange/demand reaction
EX_lyscyshis[e]	Exchange/demand reaction
EX_lysglnphe[e]	Exchange/demand reaction
EX_lysgluglu[e]	Exchange/demand reaction
EX_lyslyslys[e]	Exchange/demand reaction
EX_lyspheile[e]	Exchange/demand reaction
EX_lystrparg[e]	Exchange/demand reaction
EX_lystyrile[e]	Exchange/demand reaction
EX_lysvalphe[e]	Exchange/demand reaction
EX_lysvaltrp[e]	Exchange/demand reaction
EX_metargleu[e]	Exchange/demand reaction
EX_metasntyr[e]	Exchange/demand reaction
EX_metglntyr[e]	Exchange/demand reaction
EX_metglyarg[e]	Exchange/demand reaction
EX_methislys[e]	Exchange/demand reaction
EX_metmetile[e]	Exchange/demand reaction
EX_metphearg[e]	Exchange/demand reaction
EX_mettrpphe[e]	Exchange/demand reaction
EX_pheasnmet[e]	Exchange/demand reaction
EX_pheasp[e]	Exchange/demand reaction
EX_pheglnphe[e]	Exchange/demand reaction
EX_pheleu[e]	Exchange/demand reaction
EX_pheleuasp[e]	Exchange/demand reaction
EX_pheleuhis[e]	Exchange/demand reaction
EX_phelysala[e]	Exchange/demand reaction
EX_phelyspro[e]	Exchange/demand reaction
EX_phephe[e]	Exchange/demand reaction
EX_phepheasn[e]	Exchange/demand reaction
EX_phephethr[e]	Exchange/demand reaction
EX_pheproarg[e]	Exchange/demand reaction
EX_phesertrp[e]	Exchange/demand reaction
EX_phethrlys[e]	Exchange/demand reaction
EX_phetrpleu[e]	Exchange/demand reaction
EX_phetyr[e]	Exchange/demand reaction
EX_phetyrgln[e]	Exchange/demand reaction
EX_phetyrlys[e]	Exchange/demand reaction
EX_proargasp[e]	Exchange/demand reaction
EX_proargcys[e]	Exchange/demand reaction
EX_proasncys[e]	Exchange/demand reaction
EX_procys[e]	Exchange/demand reaction
EX_proglnpro[e]	Exchange/demand reaction
EX_proglulys[e]	Exchange/demand reaction
EX_prohis[e]	Exchange/demand reaction
EX_prohistyr[e]	Exchange/demand reaction
EX_proleuarg[e]	Exchange/demand reaction
EX_prolyspro[e]	Exchange/demand reaction
EX_prophe[e]	Exchange/demand reaction
EX_proproarg[e]	Exchange/demand reaction
EX_propropro[e]	Exchange/demand reaction
EX_protrplys[e]	Exchange/demand reaction
EX_protrpthr[e]	Exchange/demand reaction
EX_provalgln[e]	Exchange/demand reaction
EX_serargala[e]	Exchange/demand reaction
EX_serargtrp[e]	Exchange/demand reaction
EX_sercysarg[e]	Exchange/demand reaction
EX_serglyglu[e]	Exchange/demand reaction
EX_serlyshis[e]	Exchange/demand reaction
EX_serphelys[e]	Exchange/demand reaction
EX_sertrphis[e]	Exchange/demand reaction
EX_thrargtyr[e]	Exchange/demand reaction
EX_thrasntyr[e]	Exchange/demand reaction
EX_thrglnglu[e]	Exchange/demand reaction
EX_thrglntyr[e]	Exchange/demand reaction
EX_thrhishis[e]	Exchange/demand reaction
EX_thrilearg[e]	Exchange/demand reaction
EX_thrmetarg[e]	Exchange/demand reaction
EX_thrphearg[e]	Exchange/demand reaction
EX_thrserarg[e]	Exchange/demand reaction
EX_thrthrarg[e]	Exchange/demand reaction
EX_thrtyrmet[e]	Exchange/demand reaction
EX_trpalapro[e]	Exchange/demand reaction
EX_trpargala[e]	Exchange/demand reaction
EX_trpaspasp[e]	Exchange/demand reaction
EX_trpglngln[e]	Exchange/demand reaction
EX_trpglugly[e]	Exchange/demand reaction
EX_trpgluleu[e]	Exchange/demand reaction
EX_trpglupro[e]	Exchange/demand reaction
EX_trpglutyr[e]	Exchange/demand reaction
EX_trpglyleu[e]	Exchange/demand reaction
EX_trpglyphe[e]	Exchange/demand reaction
EX_trpglyval[e]	Exchange/demand reaction
EX_trphismet[e]	Exchange/demand reaction
EX_trpilelys[e]	Exchange/demand reaction
EX_trpiletrp[e]	Exchange/demand reaction
EX_trpleuval[e]	Exchange/demand reaction
EX_trplys[e]	Exchange/demand reaction
EX_trpmetarg[e]	Exchange/demand reaction
EX_trpmetval[e]	Exchange/demand reaction
EX_trpphe[e]	Exchange/demand reaction
EX_trpprogly[e]	Exchange/demand reaction
EX_trpproleu[e]	Exchange/demand reaction
EX_trpproval[e]	Exchange/demand reaction
EX_trpsertyr[e]	Exchange/demand reaction
EX_trpthrglu[e]	Exchange/demand reaction
EX_trpthrile[e]	Exchange/demand reaction
EX_trpthrtyr[e]	Exchange/demand reaction
EX_trptyrgln[e]	Exchange/demand reaction
EX_trptyrtyr[e]	Exchange/demand reaction
EX_trpvalasp[e]	Exchange/demand reaction
EX_tyrala[e]	Exchange/demand reaction
EX_tyralaphe[e]	Exchange/demand reaction
EX_tyrargglu[e]	Exchange/demand reaction
EX_tyrargser[e]	Exchange/demand reaction
EX_tyrasparg[e]	Exchange/demand reaction
EX_tyrcysgly[e]	Exchange/demand reaction
EX_tyrcysthr[e]	Exchange/demand reaction
EX_tyrglu[e]	Exchange/demand reaction
EX_tyrleuarg[e]	Exchange/demand reaction
EX_tyrphetyr[e]	Exchange/demand reaction
EX_tyrthr[e]	Exchange/demand reaction
EX_tyrtrpphe[e]	Exchange/demand reaction
EX_tyrtyr[e]	Exchange/demand reaction
EX_tyrvalmet[e]	Exchange/demand reaction
EX_valarggly[e]	Exchange/demand reaction
EX_valhisasn[e]	Exchange/demand reaction
EX_valleuphe[e]	Exchange/demand reaction
EX_vallystyr[e]	Exchange/demand reaction
EX_valphearg[e]	Exchange/demand reaction
EX_valprotrp[e]	Exchange/demand reaction
EX_valserarg[e]	Exchange/demand reaction
EX_valtrpphe[e]	Exchange/demand reaction
EX_valtrpval[e]	Exchange/demand reaction
EX_valval[e]	Exchange/demand reaction
EX_trpglyasp[e]	Exchange/demand reaction
ALAARGCYSt	Transport, extracellular
ALAARGGLYt	Transport, extracellular
ALAASNLEUt	Transport, extracellular
ALAGLYLYSt	Transport, extracellular
ALAHISALAt	Transport, extracellular
ALALYSTHRt	Transport, extracellular
ARGALAALAt	Transport, extracellular
ARGALAPHEt	Transport, extracellular
ARGALATHRt	Transport, extracellular
ARGARGt	Transport, extracellular
ARGARGLYSt	Transport, extracellular
ARGARGMETt	Transport, extracellular
ARGCYSGLYt	Transport, extracellular
ARGCYSSERt	Transport, extracellular
ARGGLUGLUt	Transport, extracellular
ARGGLUPROt	Transport, extracellular
ARGGLYGLYt	Transport, extracellular
ARGHISTHRt	Transport, extracellular
ARGLEUPHEt	Transport, extracellular
ARGLYSASPt	Transport, extracellular
ARGPHEARGt	Transport, extracellular
ARGPROMETt	Transport, extracellular
ARGPROTHRt	Transport, extracellular
ARGSERSERt	Transport, extracellular
ARGTYRVALt	Transport, extracellular
ARGVALCYSt	Transport, extracellular
ARGVALTRPt	Transport, extracellular
ASNASNARGt	Transport, extracellular
ASNCYSCYSt	Transport, extracellular
ASNMETPROt	Transport, extracellular
ASNPHEASPt	Transport, extracellular
ASNPHECYSt	Transport, extracellular
ASNTYRGLYt	Transport, extracellular
ASNTYRPHEt	Transport, extracellular
ASNTYRTHRt	Transport, extracellular
ASPALAARGt	Transport, extracellular
ASPASNGLUt	Transport, extracellular
ASPGLUt	Transport, extracellular
ASPGLUPROt	Transport, extracellular
ASPGLUTRPt	Transport, extracellular
ASPHISCYSt	Transport, extracellular
ASPHISPROt	Transport, extracellular
ASPLYSGLUt	Transport, extracellular
ASPLYSHISt	Transport, extracellular
ASPMETASPt	Transport, extracellular
ASPPROLYSt	Transport, extracellular
ASPVALASNt	Transport, extracellular
CYSASNMETt	Transport, extracellular
CYSASPPHEt	Transport, extracellular
CYSCYSt	Transport, extracellular
CYSGLNMETt	Transport, extracellular
CYSGLUHISt	Transport, extracellular
CYSGLUTRPt	Transport, extracellular
CYSLEUTHRt	Transport, extracellular
CYSSERMETt	Transport, extracellular
CYSTYRASNt	Transport, extracellular
GLNASNGLNt	Transport, extracellular
GLNHISHISt	Transport, extracellular
GLNHISLYSt	Transport, extracellular
GLNLYSLYSt	Transport, extracellular
GLNLYSTRPt	Transport, extracellular
GLNPROGLUt	Transport, extracellular
GLNTRPGLUt	Transport, extracellular
GLNTYRLEUt	Transport, extracellular
GLUARGLEUt	Transport, extracellular
GLUASNLEUt	Transport, extracellular
GLUGLUt	Transport, extracellular
GLUILELYSt	Transport, extracellular
GLULEUt	Transport, extracellular
GLUMETt	Transport, extracellular
GLUMETHISt	Transport, extracellular
GLUTHRt	Transport, extracellular
GLUTHRLYSt	Transport, extracellular
GLUTRPALAt	Transport, extracellular
GLYHISASNt	Transport, extracellular
GLYHISLYSt	Transport, extracellular
GLYLYSCYSt	Transport, extracellular
GLYLYSPHEt	Transport, extracellular
GLYTYRLYSt	Transport, extracellular
GLYVALHISt	Transport, extracellular
HISARGCYSt	Transport, extracellular
HISARGSERt	Transport, extracellular
HISASPt	Transport, extracellular
HISCYSCYSt	Transport, extracellular
HISGLNALAt	Transport, extracellular
HISGLUt	Transport, extracellular
HISGLUGLNt	Transport, extracellular
HISGLYLYSt	Transport, extracellular
HISHISLYSt	Transport, extracellular
HISLYSALAt	Transport, extracellular
HISLYSGLUt	Transport, extracellular
HISLYSILEt	Transport, extracellular
HISLYSTHRt	Transport, extracellular
HISLYSVALt	Transport, extracellular
HISMETt	Transport, extracellular
HISMETGLNt	Transport, extracellular
HISPHEARGt	Transport, extracellular
HISPROLYSt	Transport, extracellular
HISTRPHISt	Transport, extracellular
ILEARGILEt	Transport, extracellular
ILEASNHISt	Transport, extracellular
ILEASPt	Transport, extracellular
ILEGLNGLUt	Transport, extracellular
ILEGLYARGt	Transport, extracellular
ILEPROLYSt	Transport, extracellular
ILESERARGt	Transport, extracellular
ILETRPTYRt	Transport, extracellular
LEUALAARGt	Transport, extracellular
LEUASNASPt	Transport, extracellular
LEUASPLYSt	Transport, extracellular
LEULEUTRPt	Transport, extracellular
LEUPROt	Transport, extracellular
LEUPROARGt	Transport, extracellular
LEUSERTRPt	Transport, extracellular
LEUTRPt	Transport, extracellular
LEUTRPARGt	Transport, extracellular
LEUTYRTYRt	Transport, extracellular
LEUVALt	Transport, extracellular
LYSARGLEUt	Transport, extracellular
LYSCYSHISt	Transport, extracellular
LYSGLNPHEt	Transport, extracellular
LYSGLUGLUt	Transport, extracellular
LYSLYSLYSt	Transport, extracellular
LYSPHEILEt	Transport, extracellular
LYSTRPARGt	Transport, extracellular
LYSTYRILEt	Transport, extracellular
LYSVALPHEt	Transport, extracellular
LYSVALTRPt	Transport, extracellular
METARGLEUt	Transport, extracellular
METASNTYRt	Transport, extracellular
METGLNTYRt	Transport, extracellular
METGLYARGt	Transport, extracellular
METHISLYSt	Transport, extracellular
METMETILEt	Transport, extracellular
METPHEARGt	Transport, extracellular
METTRPPHEt	Transport, extracellular
PHEASNMETt	Transport, extracellular
PHEASPt	Transport, extracellular
PHEGLNPHEt	Transport, extracellular
PHELEUt	Transport, extracellular
PHELEUASPt	Transport, extracellular
PHELEUHISt	Transport, extracellular
PHELYSALAt	Transport, extracellular
PHELYSPROt	Transport, extracellular
PHEPHEt	Transport, extracellular
PHEPHEASNt	Transport, extracellular
PHEPHETHRt	Transport, extracellular
PHEPROARGt	Transport, extracellular
PHESERTRPt	Transport, extracellular
PHETHRLYSt	Transport, extracellular
PHETRPLEUt	Transport, extracellular
PHETYRt	Transport, extracellular
PHETYRGLNt	Transport, extracellular
PHETYRLYSt	Transport, extracellular
PROARGASPt	Transport, extracellular
PROARGCYSt	Transport, extracellular
PROASNCYSt	Transport, extracellular
PROCYSt	Transport, extracellular
PROGLNPROt	Transport, extracellular
PROGLULYSt	Transport, extracellular
PROHISt	Transport, extracellular
PROHISTYRt	Transport, extracellular
PROLEUARGt	Transport, extracellular
PROLYSPROt	Transport, extracellular
PROPHEt	Transport, extracellular
PROPROARGt	Transport, extracellular
PROPROPROt	Transport, extracellular
PROTRPLYSt	Transport, extracellular
PROTRPTHRt	Transport, extracellular
PROVALGLNt	Transport, extracellular
SERARGALAt	Transport, extracellular
SERARGTRPt	Transport, extracellular
SERCYSARGt	Transport, extracellular
SERGLYGLUt	Transport, extracellular
SERLYSHISt	Transport, extracellular
SERPHELYSt	Transport, extracellular
SERTRPHISt	Transport, extracellular
THRARGTYRt	Transport, extracellular
THRASNTYRt	Transport, extracellular
THRGLNGLUt	Transport, extracellular
THRGLNTYRt	Transport, extracellular
THRHISHISt	Transport, extracellular
THRILEARGt	Transport, extracellular
THRMETARGt	Transport, extracellular
THRPHEARGt	Transport, extracellular
THRSERARGt	Transport, extracellular
THRTHRARGt	Transport, extracellular
THRTYRMETt	Transport, extracellular
TRPALAPROt	Transport, extracellular
TRPARGALAt	Transport, extracellular
TRPASPASPt	Transport, extracellular
TRPGLNGLNt	Transport, extracellular
