SYMBOL	ENTREZID	Bipolar disorder 1a BD1a_NA	Bipolar disorder 1b BD1b_NA	Bipolar disorder 2a BD2a_NA	Bipolar disorder 2a BD2a_NA2	Bipolar disorder 3a BD3a_NA	Bipolar disorder 3b BD3b_NA	Bipolar disorder 4a BD4a_NA	Bipolar disorder 4b BD4b_NA	Bipolar disorder 5a BD5a_NA	Bipolar disorder 5b BD5b_NA	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
BRI3BP	140707	1.39702	1.34218	1.32615	1.19973	1.12691	1.00327	1.447	1.46054	1.08407	0.950722	cerebral-cortex	glial-cells	Medium	Approved
BRI3P1	730010	0.173605	0	0	0	0	0.202943	0.166137	0.180882	0.209873	1.13452	NA	NA	NA	NA
BRICD5	283870	2.58184	2.46656	1.09194	1.91082	2.80226	0.891199	2.44187	1.49532	3.05593	3.23331	NA	NA	NA	NA
BRIP1	83990	2.89633	3.16108	2.26908	2.31738	2.61456	2.47482	3.09695	3.62359	1.02794	1.17368	cerebral-cortex	glial-cells	High	Approved
BRIX1	55299	25.2864	22.9226	28.08	28.0615	23.0748	23.0711	20.9629	26.245	20.3256	20.8108	NA	NA	NA	NA
BRK1	55845	222.004	213.819	223.84	223.412	230.545	223.544	216.58	228.93	212.043	192.099	NA	NA	NA	NA
BRMS1	25855	23.778	30.3196	30.8166	30.5488	34.574	31.5642	31.5814	29.9068	31.7957	25.5183	NA	NA	NA	NA
BRMS1L	84312	18.8351	14.2105	13.5009	13.9027	10.7974	12.9069	7.83568	12.7686	10.6084	9.08237	NA	NA	NA	NA
BROX	148362	15.1473	13.9124	9.84239	12.9871	13.663	12.8234	11.6691	10.8017	8.36303	11.951	NA	NA	NA	NA
BRPF1	7862	9.11055	8.14288	7.99641	6.25096	8.37116	6.92711	7.24287	7.25055	7.78066	7.15561	cerebral-cortex	glial-cells	Low	Enhanced
BRPF3	27154	22.676	19.4188	20.907	21.0854	19.773	17.7833	18.2253	16.2196	19.9855	19.6571	NA	NA	NA	NA
BRSK1	84446	16.1383	14.9248	17.5977	12.8446	12.0053	10.7439	14.9717	12.4966	18.3817	17.6225	NA	NA	NA	NA
BRSK2	9024	1.06753	0.752924	0.427375	0.472485	0.960493	3.02263	1.10033	1.4321	0.969702	0.937454	NA	NA	NA	NA
BRWD1	54014	7.22276	6.58398	7.73677	5.40819	6.14212	6.5797	5.77715	6.99507	5.395	7.02716	cerebral-cortex	glial-cells	Medium	Approved
BRWD3	254065	3.06532	3.71669	2.63446	2.52779	2.7383	2.02682	2.07798	2.91623	1.99642	3.33477	cerebral-cortex	glial-cells	Low	Approved
BSCL2	26580	27.6028	18.3477	29.4346	41.3859	18.0727	23.3467	32.2366	19.692	28.5046	24.7667	NA	NA	NA	NA
BSDC1	55108	51.6572	50.5408	47.7396	45.6007	55.8262	55.2373	48.5596	45.7135	62.001	54.207	NA	NA	NA	NA
BSG	682	377.525	443.578	555.137	554.92	668.508	657.496	511.697	466.536	632.598	518.066	NA	NA	NA	NA
BST1	683	27.9808	24.5999	14.2607	13.8017	11.1391	10.3664	19.5134	20.0741	30.3541	32.1142	NA	NA	NA	NA
BST2	684	0.397607	0.24708	0.729787	2.23839	0.25743	1.11038	4.63252	3.28002	0.432454	0	cerebral-cortex	glial-cells	Medium	Enhanced
BTAF1	9044	16.9916	16.7768	14.7503	15.3027	15.637	14.5705	15.4544	17.628	12.8331	18.2028	NA	NA	NA	NA
BTBD1	53339	55.5847	51.7705	58.0642	56.3004	55.3682	54.8395	50.4165	51.9097	48.2559	47.7146	cerebral-cortex	glial-cells	Low	Enhanced
BTBD10	84280	40.7474	39.0472	34.8838	37.9188	43.874	50.6465	33.2231	36.323	41.3062	47.9323	NA	NA	NA	NA
BTBD11	121551	0.450405	0.555192	0.553241	0.343964	0.868815	1.0231	0.195886	0.324654	1.48745	1.78688	NA	NA	NA	NA
BTBD19	149478	14.8276	18.8067	14.649	11.7063	19.1946	17.442	20.1914	16.6552	14.1799	17.5429	NA	NA	NA	NA
BTBD2	55643	41.5013	50.8096	56.3891	50.214	41.0993	39.8182	51.6922	49.2361	59.3614	49.2352	NA	NA	NA	NA
BTBD3	22903	10.3408	11.7505	11.6188	9.76392	13.1212	13.2162	9.55346	10.2236	11.2339	11.5872	NA	NA	NA	NA
BTBD6	90135	26.247	29.6487	27.7036	28.3035	22.9912	22.2061	26.1419	24.4505	31.4832	26.0983	NA	NA	NA	NA
BTBD7	55727	14.0555	12.7492	14.2326	12.6403	18.5719	13.865	14.7019	13.9817	15.0487	17.02	NA	NA	NA	NA
BTBD8	284697	0.101881	0.0816437	0.0339828	0.0251317	0.0548386	0.148881	0.0975298	0.139773	0.0901318	0.284219	NA	NA	NA	NA
BTBD9	114781	5.06729	4.50288	4.65153	4.67732	3.55327	3.15922	3.62152	5.01429	4.40697	5.0171	NA	NA	NA	NA
BTD	686	10.45	10.9083	10.7629	10.8026	13.889	12.4634	12.373	12.2726	11.4739	10.8908	NA	NA	NA	NA
BTF3	689	553.642	483.392	611.106	602.892	522.498	503.606	563.36	581.018	469.159	446.389	cerebral-cortex	glial-cells	Medium	Approved
BTF3L4	91408	23.3408	19.1168	21.1594	18.5975	15.7142	17.4657	18.8798	19.7616	20.1317	19.7922	NA	NA	NA	NA
BTF3L4P1	100505945	1.26708	0.757103	0.735228	0.340852	1.50151	0.269135	0.771641	0.479905	1.39268	0.627321	NA	NA	NA	NA
BTF3L4P2	653189	14.7073	12.068	11.9351	9.43411	7.84028	9.12423	11.5669	13.6855	14.5612	15.0829	NA	NA	NA	NA
BTF3L4P3	391040	0	0.122544	0	0	0.364388	0.130752	0	0.233078	0	0.365528	NA	NA	NA	NA
BTF3P10	345829	0.936809	0.680772	1.42383	1.02205	1.02161	0.363232	1.40097	1.96179	0.753149	1.01711	NA	NA	NA	NA
BTF3P12	652963	2.75746	1.13173	1.18566	2.72095	1.1325	1.07336	2.19727	5.67652	1.94278	2.8757	NA	NA	NA	NA
BTF3P13	132556	8.62073	8.16218	10.4819	12.0772	9.00992	9.70432	12.8352	13.3068	10.1659	5.33314	NA	NA	NA	NA
BTF3P4	392350	0.836941	0.458471	0.57242	0.929091	0.908202	0.366891	1.10147	0.545015	0.885454	0.341896	NA	NA	NA	NA
BTF3P5	652959	0.115638	0.380084	0.105453	0.456426	0.37687	0.135179	0.332034	0.361455	0.139814	0.251934	NA	NA	NA	NA
BTF3P7	652960	5.46571	5.51855	6.05937	6.02785	3.48978	4.63543	4.61594	7.03479	5.57193	4.20286	NA	NA	NA	NA
BTF3P9	503543	7.35941	3.07329	5.43289	6.57034	5.84192	4.91605	6.03438	7.30277	7.62293	5.72329	NA	NA	NA	NA
BTG1	694	27.1361	24.1666	26.34	25.2466	24.0637	26.4223	23.2844	23.3407	29.0708	22.8837	NA	NA	NA	NA
BTG2	7832	7.51679	7.18754	9.25502	9.25345	15.7812	17.1019	9.52844	9.13295	11.3559	10.7513	NA	NA	NA	NA
BTG3	10950	37.8908	32.7645	22.0476	22.3803	13.3361	14.676	24.3812	26.9446	27.4321	22.2519	cerebral-cortex	glial-cells	Low	Approved
BTN2A1	11120	38.0466	34.0758	26.8139	26.4389	25.8259	25.183	33.1301	28.3713	34.6157	35.616	NA	NA	NA	NA
BTN2A2	10385	11.1466	12.5191	7.52334	7.59147	16.733	18.7968	12.8492	15.6751	14.4609	12.7863	NA	NA	NA	NA
BTN2A3P	54718	3.27323	3.346	4.01658	3.28989	3.49734	3.76043	3.39242	3.91535	4.30721	3.9682	NA	NA	NA	NA
BTN3A1	11119	2.88615	3.08202	2.23878	2.80629	1.75793	2.27043	3.48722	3.21216	3.23215	4.88286	NA	NA	NA	NA
BTN3A2	11118	3.01314	2.56445	1.77519	2.73583	0.536346	0.714173	3.12162	3.31852	1.63778	1.78888	NA	NA	NA	NA
BTN3A3	10384	2.03523	2.83508	2.50095	2.40084	1.90526	1.47905	1.67375	1.29186	2.07405	2.65882	NA	NA	NA	NA
BTRC	8945	10.933	11.1861	14.6608	13.8548	15.2524	14.1565	13.4537	14.3893	14.0487	12.7889	cerebral-cortex	glial-cells	Medium	Approved
BUB1	699	2.47725	2.29699	1.49874	2.16184	0.467895	0.357488	2.93248	3.92749	0.846579	1.04895	NA	NA	NA	NA
BUB1B	701	4.41989	5.72465	3.53662	3.15166	1.71658	0.701445	4.69586	7.08778	1.94292	2.76835	NA	NA	NA	NA
BUB3	9184	63.7189	61.7096	86.9335	86.0611	87.2677	86.7755	78.0422	82.9754	60.3852	53.1551	cerebral-cortex	glial-cells	Medium	Supported
BUD13	84811	5.61779	5.16146	4.82111	5.33151	3.82875	4.10746	5.67951	5.24256	5.07161	4.80855	cerebral-cortex	glial-cells	Medium	Enhanced
BUD31	8896	134.001	130.11	156.358	156.671	145.404	137.338	132.797	158.544	140.365	126.573	cerebral-cortex	glial-cells	Low	Approved
BVES	11149	5.08318	4.53175	3.40717	3.26634	1.5503	1.6582	2.51233	2.63585	4.17524	5.10084	NA	NA	NA	NA
BVES-AS1	154442	0.96848	0.247494	0.0632608	0.271627	0.0781822	0	0.0388515	0.101857	0.574492	0.549607	NA	NA	NA	NA
BYSL	705	18.9339	18.4594	24.9592	24.8011	18.9355	19.8147	20.6004	20.1192	21.9436	18.3474	NA	NA	NA	NA
BZW1	9689	198.365	176.447	186.492	188.629	180.408	167.76	186.058	209.003	155.557	157.479	NA	NA	NA	NA
BZW1P1	391592	2.48553	1.97715	2.1317	2.48182	1.91207	1.83328	2.40774	2.1581	2.00386	1.61196	NA	NA	NA	NA
BZW1P2	151579	9.59316	7.81421	6.05903	8.73882	6.21122	7.47624	7.68441	9.31235	5.88554	7.98615	NA	NA	NA	NA
BZW2	28969	109.757	101.85	123.459	112.206	111.736	123.549	101.575	96.5202	88.5883	75.7597	NA	NA	NA	NA
C10orf126	283080	0	0.051857	0	0.0155719	0.0169723	0.0368954	0	0	0	0	NA	NA	NA	NA
C10orf25	220979	0.364159	0.363774	0.305004	0.350713	0.551338	0.70936	0.350905	0.349572	0.376879	0.198155	NA	NA	NA	NA
C10orf55	414236	0.568206	0.622036	0.349719	0.393226	0.95086	0.917692	0.400402	0.744935	0.395295	0.255996	NA	NA	NA	NA
C10orf67	256815	0.0473293	0.0733737	0.18424	0.206446	0.227615	0.213762	0.14102	0.259609	0.434209	0.341049	NA	NA	NA	NA
C10orf88	80007	28.0901	26.2213	24.469	24.4298	23.3019	24.6731	24.6365	26.6379	23.8017	20.0657	NA	NA	NA	NA
C10orf90	118611	0.346797	0.410659	0.348694	0.257927	0.142407	0.132976	0.0844483	0.0229776	0.0306493	0.106579	NA	NA	NA	NA
C11orf24	53838	105.977	96.1284	108.871	124.027	97.4203	106.431	87.6026	86.3652	96.0586	90.7205	NA	NA	NA	NA
C11orf45	219833	0.451802	0.177058	0.258675	0.376238	0.0965185	0.114347	0.534861	0.236268	0.83373	0.578501	cerebral-cortex	glial-cells	High	Approved
C11orf49	79096	17.8215	15.4063	18.9439	18.6984	15.3653	14.6708	16.9134	14.6535	15.3178	14.2197	NA	NA	NA	NA
C11orf54	28970	6.43549	5.22278	6.59315	5.98892	5.22404	7.55443	5.16302	5.38274	6.46648	6.78775	NA	NA	NA	NA
C11orf58	10944	223.549	197.768	217.008	221.986	192.959	179.745	189.336	197.485	198.338	182.861	NA	NA	NA	NA
C11orf65	160140	0.498683	0.459665	0.196888	0.433392	0.348304	0.521537	0.45317	0.33814	0.107356	0.452476	NA	NA	NA	NA
C11orf68	83638	43.1531	46.5203	48.954	48.6981	45.7673	44.3579	42.9841	44.2071	52.8662	46.5443	NA	NA	NA	NA
C11orf71	54494	0.402427	0.975433	0.6971	0	1.81384	0.763336	0.780471	0.657298	1.49219	1.24068	NA	NA	NA	NA
C11orf74	119710	18.0795	13.3313	14.0846	13.7569	19.6627	14.6803	15.8145	16.9402	14.9543	19.0876	NA	NA	NA	NA
C11orf80	79703	12.2891	13.1558	5.95722	7.09242	13.8072	18.7001	7.21658	9.54579	17.4491	15.3182	NA	NA	NA	NA
C11orf87	399947	0.340766	0.236984	0.853336	0.821953	0.197585	0.177045	0.21749	0.191614	0.588737	0.76028	cerebral-cortex	glial-cells	Medium	Approved
C11orf88	399949	0.424644	0.794489	0.453211	0.320628	0.545799	0.350875	0.553053	0.452855	0.347095	0.395772	NA	NA	NA	NA
C11orf91	100131378	0.511764	0.190357	0.54761	0.513509	0.452487	0.304674	0.379444	0.563333	0.404831	0.146657	NA	NA	NA	NA
C11orf94	143678	0.731081	0.600834	0.166673	0.3607	0.399802	0.640971	0.349809	0.571295	0.883792	0.597195	NA	NA	NA	NA
C11orf95	65998	7.84773	7.4283	7.23756	5.54756	7.91767	7.27234	6.37873	5.83643	8.45265	6.85905	NA	NA	NA	NA
C11orf96	387763	2.88021	3.07246	2.42058	2.35915	0.951881	0.550165	1.60382	1.45147	0.569156	0.451252	NA	NA	NA	NA
C12orf10	60314	28.1655	30.0565	24.0801	25.1329	21.0375	18.1332	25.7299	25.2744	35.4614	31.334	cerebral-cortex	glial-cells	Low	Approved
C12orf29	91298	23.9345	18.4087	24.7156	20.319	16.8729	16.8275	18.3038	18.3603	14.9904	16.1845	NA	NA	NA	NA
C12orf4	57102	9.94668	9.20861	7.09403	7.93402	9.23701	7.76269	8.57603	8.03214	7.77302	7.87806	NA	NA	NA	NA
C12orf43	64897	8.63643	9.1247	8.95772	10.3332	9.55172	10.0045	9.5456	8.6649	9.02252	8.43568	NA	NA	NA	NA
C12orf45	121053	10.6232	10.1349	9.81356	8.89701	8.00855	5.19158	8.80512	7.84806	8.04096	10.1075	NA	NA	NA	NA
C12orf49	79794	12.7997	14.1675	13.1188	14.3792	15.4177	16.4407	15.0981	12.8899	15.4006	16.1729	NA	NA	NA	NA
C12orf54	121273	0.849394	0.582992	0.582326	0.420058	0.69304	1.43445	0.263538	0.221759	0.257344	0.115937	NA	NA	NA	NA
C12orf60	144608	0.763154	0.59251	0.772647	0.617516	0.717973	0.707311	0.417953	0.847645	0.679113	0.678799	NA	NA	NA	NA
C12orf65	91574	8.69628	9.18632	8.49764	9.16479	9.40228	9.072	9.91136	10.8326	9.94086	8.75847	NA	NA	NA	NA
C12orf66	144577	1.17543	1.18132	1.11653	1.28504	0.845426	0.919245	1.19481	1.26425	1.23833	1.12379	NA	NA	NA	NA
C12orf73	728568	18.8164	18.4738	21.6522	21.7539	23.2269	21.6963	20.003	17.3002	21.7696	22.6747	NA	NA	NA	NA
C12orf75	387882	666.939	538.043	560.388	601.733	268.976	245.614	588.297	658.923	466.554	474.765	NA	NA	NA	NA
C12orf76	400073	4.54706	4.18417	4.2187	3.9205	4.53476	5.24169	4.06944	4.26752	4.08092	3.93808	NA	NA	NA	NA
C14orf119	55017	109.117	108.246	109.233	109.804	110.938	113.567	110.01	111.979	107.572	99.4033	NA	NA	NA	NA
C14orf132	56967	5.16316	7.07782	6.46193	5.64313	6.45861	5.54173	4.56051	4.34761	9.94048	8.45572	NA	NA	NA	NA
C14orf178	283579	0	0.123443	0.193961	0	0	0.182483	0.166298	0.235013	0	0	NA	NA	NA	NA
C14orf28	122525	7.19078	6.50878	4.77329	5.4472	5.65192	7.86799	3.57988	3.80503	6.67167	5.89023	NA	NA	NA	NA
C14orf39	317761	0.591676	0.683389	0.574453	0.40721	1.2951	0.905941	1.26163	0.85148	0.590143	1.92202	NA	NA	NA	NA
C14orf93	60686	2.31391	1.69406	1.95731	1.61924	1.81653	1.39152	1.83709	2.84679	2.37435	3.36703	cerebral-cortex	glial-cells	High	Approved
C15orf39	56905	4.56869	5.22907	5.12369	5.37694	3.2498	2.9887	5.83827	3.92763	6.68782	5.40799	NA	NA	NA	NA
C15orf40	123207	21.6132	22.3534	19.6396	21.5303	24.954	18.7339	16.2887	20.317	23.0534	15.9295	cerebral-cortex	glial-cells	Low	Approved
C15orf41	84529	7.47401	7.75448	6.85913	6.46764	6.56977	5.88823	6.99561	7.09307	3.82566	3.35878	NA	NA	NA	NA
C15orf48	84419	0.706999	0.634178	1.21406	0.794202	5.15174	6.10101	1.33005	1.21413	0.350117	0.315435	NA	NA	NA	NA
C15orf54	400360	1.1028	1.02923	0.29828	0.403048	1.89129	1.19862	0.899489	0.593442	0.103519	0.133537	NA	NA	NA	NA
C15orf61	145853	4.79912	4.30309	5.71777	6.23064	6.50845	5.07001	3.80131	4.46325	6.27683	6.31491	NA	NA	NA	NA
C15orf62	643338	0.65811	0.810837	0.613686	0.677328	0.814328	0.497258	0.751001	0.518864	1.01615	0.938552	NA	NA	NA	NA
C15orf65	145788	3.16662	2.18903	1.38079	1.55157	3.14505	2.41937	2.28561	1.82034	2.04223	3.25124	NA	NA	NA	NA
C16orf46	123775	0.251138	0.475074	0.621432	0.800864	0.307859	0.597751	0.403658	0.605607	0.411283	0.339309	NA	NA	NA	NA
C16orf58	64755	17.0443	20.4244	33.6665	33.2549	26.8746	26.0766	27.3501	24.0572	34.0473	31.4402	NA	NA	NA	NA
C16orf70	80262	14.9907	11.0714	13.5906	10.5086	12.4958	10.8237	10.2489	11.4804	15.1978	15.5049	NA	NA	NA	NA
C16orf71	146562	1.65725	1.54341	0.977949	0.867192	1.54868	1.23722	1.36346	1.17658	1.33782	0.485134	NA	NA	NA	NA
C16orf72	29035	12.8151	12.5324	14.8005	13.5472	13.3492	14.8184	13.7728	12.9514	12.7516	13.0667	NA	NA	NA	NA
C16orf74	404550	1.85986	1.41026	2.68221	2.39851	5.61661	4.5938	4.72187	4.26076	3.69771	2.69206	NA	NA	NA	NA
C16orf86	388284	0.115319	0.127879	0.138937	0.127308	0.380482	0.0812109	0.138327	0.590627	0.28363	0.199487	NA	NA	NA	NA
C16orf87	388272	14.2995	13.8966	12.9395	10.0385	8.90503	10.149	9.05655	12.1729	10.8452	14.5157	NA	NA	NA	NA
C16orf91	283951	9.96657	10.1415	10.7531	11.8698	12.6269	12.3384	10.985	10.6316	11.2928	9.52618	NA	NA	NA	NA
C16orf95	100506581	1.79201	2.50919	1.80267	2.09485	1.8564	3.03832	1.83979	0.75629	1.61795	2.19133	NA	NA	NA	NA
C17orf107	100130311	0.496309	0.570794	0.961969	1.27109	1.02867	0.823676	0.987402	0.544789	0.783041	0.658272	NA	NA	NA	NA
C17orf49	124944	61.494	69.1637	39.833	44.2064	54.8274	50.2625	51.4323	56.3545	78.3612	69.7197	cerebral-cortex	glial-cells	High	Supported
C17orf67	339210	0.763873	0.502038	0.681213	0.586255	0.683536	0.535786	0.922135	0.848959	0.369516	0.517875	NA	NA	NA	NA
C17orf75	64149	12.0349	9.49613	12.4503	12.1897	8.79301	8.89366	8.92624	8.51599	8.07049	10.7343	cerebral-cortex	glial-cells	Medium	Approved
C17orf80	55028	15.6186	15.4533	7.77205	9.13336	10.2911	8.52042	12.9974	14.6359	11.587	9.59012	NA	NA	NA	NA
C17orf82	388407	0.161924	0.354736	0.105473	0.114129	0.0497937	0.0811235	0.0442895	0.14461	0.111897	0.100815	NA	NA	NA	NA
C18orf21	83608	21.8804	19.1633	18.4645	23.4395	20.9739	19.8035	18.4298	18.2803	14.969	17.693	NA	NA	NA	NA
C18orf25	147339	11.5668	9.93142	9.47941	10.7048	11.8005	11.3189	8.38571	10.3669	8.79357	9.87185	NA	NA	NA	NA
C18orf32	497661	41.3943	36.3586	30.9027	29.9586	30.3072	31.3235	31.072	28.6389	39.6512	43.9158	cerebral-cortex	glial-cells	High	Approved
C18orf54	162681	0.616148	0.771032	0.367028	1.12657	0.505006	0.480953	1.12545	1.34956	0.9584	1.17596	NA	NA	NA	NA
C19orf12	83636	17.3023	18.4734	16.3514	16.8326	15.9389	15.9044	16.1183	17.2821	20.5175	18.1477	cerebral-cortex	glial-cells	Low	Approved
C19orf18	147685	0.68899	0.518883	0.47123	0.5099	1.48608	1.05712	0.535886	0.538404	0.572811	0.703744	NA	NA	NA	NA
C19orf25	148223	15.0691	19.5622	21.3503	20.8027	27.9949	29.8442	17.4175	17.8518	23.0641	18.738	NA	NA	NA	NA
C19orf33	64073	1.38765	2.03279	6.79495	5.84216	2.3278	2.36848	4.09506	3.86749	9.06079	11.809	NA	NA	NA	NA
C19orf38	255809	0.030082	0.0988547	0.21946	0.148418	0.0323996	0.210993	0.11519	0.0626859	0.194341	0.0983265	NA	NA	NA	NA
C19orf44	84167	2.47117	1.60843	2.39274	3.76238	2.39219	2.42058	2.03693	1.97446	1.7152	1.85431	NA	NA	NA	NA
C19orf47	126526	7.8634	12.0476	11.3157	9.15495	11.5547	11.2407	9.69288	6.09329	10.2282	5.69534	cerebral-cortex	glial-cells	Low	Enhanced
C19orf48	84798	14.3445	18.6021	23.2903	24.0207	19.9625	17.2926	28.415	27.4652	15.3698	13.3061	NA	NA	NA	NA
C19orf53	28974	159.59	170.271	202.404	211.965	198.901	185.898	177.258	175.173	182.293	149.242	cerebral-cortex	glial-cells	Low	Approved
C19orf54	284325	4.10991	3.75169	2.76978	2.95924	3.13498	3.07064	4.51506	3.26463	5.15683	4.58106	cerebral-cortex	glial-cells	Low	Approved
C19orf57	79173	1.07549	0.182219	0.0870788	0.0681306	0.592051	0.120894	0.756001	4.20126	0.628149	0.214491	NA	NA	NA	NA
C19orf71	100128569	2.20948	3.04319	3.41912	3.43843	3.06711	2.12529	3.16689	2.87066	4.08358	3.20856	NA	NA	NA	NA
C19orf73	55150	0.782961	0.688168	0.313307	0.395419	0.432915	0.469218	0.552167	0.238015	0.488049	0.466208	NA	NA	NA	NA
C19orf81	342918	1.78312	2.0757	0.60897	1.31963	3.14645	4.8203	0.959998	0.812848	1.07797	2.06382	cerebral-cortex	glial-cells	Low	Enhanced
C1D	10438	14.5207	10.4846	10.5424	9.54732	10.4214	9.56769	8.83752	11.4178	9.61446	11.4871	NA	NA	NA	NA
C1DP1	554049	10.8594	7.87715	9.20601	8.753	10.0076	6.43312	3.50271	3.8264	8.85979	2.99487	NA	NA	NA	NA
C1GALT1	56913	17.0789	18.5233	21.2514	21.3758	22.2709	21.4172	29.5628	33.9091	12.2484	14.1367	cerebral-cortex	glial-cells	Medium	Enhanced
C1GALT1C1	29071	12.8134	11.676	12.7554	12.1256	13.1022	15.4532	11.9891	11.5732	12.9278	14.5864	cerebral-cortex	glial-cells	High	Approved
C1orf109	54955	14.7065	13.7764	11.3589	13.1555	14.1796	13.437	15.2425	16.0037	15.7244	13.5014	NA	NA	NA	NA
C1orf112	55732	1.25192	1.55102	1.31584	0.878307	1.00419	0.622907	1.08771	1.07308	1.21475	1.08617	NA	NA	NA	NA
C1orf122	127687	77.8184	99.536	75.3288	77.0315	87.4884	91.0569	93.532	85.1936	83.3925	78.1559	NA	NA	NA	NA
C1orf131	128061	11.7773	9.52575	7.8615	8.5851	6.37722	6.00591	10.4742	7.56252	7.68791	11.8805	cerebral-cortex	glial-cells	Medium	Enhanced
C1orf143	440714	1.0962	1.26088	1.14959	1.3521	2.13045	1.92216	1.15426	0.893671	0.5965	0.656855	NA	NA	NA	NA
C1orf159	54991	3.77316	4.97709	4.7008	4.55185	5.66768	6.24225	5.00527	4.75583	5.23511	4.11489	cerebral-cortex	glial-cells	Low	Approved
C1orf162	128346	0.0875421	0.141409	0.235572	0.303861	0.127389	0.158715	0.0823547	0.26906	0.416169	0.444459	cerebral-cortex	glial-cells	High	Approved
C1orf174	339448	9.41889	8.91562	7.22183	7.46605	8.69364	7.52876	8.11044	8.07448	8.47715	8.66278	NA	NA	NA	NA
C1orf198	84886	117.91	125.604	79.5802	79.3677	77.1081	80.9965	79.8751	73.5002	114.552	120.356	cerebral-cortex	glial-cells	Medium	Approved
C1orf21	81563	3.80663	4.69607	3.59916	3.47759	1.40832	1.36471	5.15283	4.60082	3.34509	3.61366	NA	NA	NA	NA
C1orf216	127703	12.5581	12.335	11.7827	12.2849	11.5428	11.5173	11.3718	10.9919	13.8468	12.8832	NA	NA	NA	NA
C1orf220	400798	0.542157	0.475628	0.536155	0.232148	0.0736035	0.151224	0.262648	0.132399	0.20867	0.145797	NA	NA	NA	NA
C1orf226	400793	0.243148	0.277334	0.0930354	0.0492811	0.263702	0.13417	0.124855	0.0981201	0.145564	0.0940598	cerebral-cortex	glial-cells	Low	Approved
C1orf35	79169	7.72657	8.67443	9.22168	9.73958	10.1792	11.4728	8.88651	8.77753	9.07546	7.8097	cerebral-cortex	glial-cells	Low	Approved
C1orf43	25912	164.876	165.182	183.054	193.424	151.612	152.17	167.312	185.212	187.367	147.437	cerebral-cortex	glial-cells	Medium	Approved
C1orf50	79078	11.7229	13.4316	13.7184	13.1883	14.5328	15.0546	12.984	11.3092	12.982	12.2117	NA	NA	NA	NA
C1orf52	148423	42.2608	43.9189	42.127	43.8752	41.4104	39.7954	39.1928	39.885	31.5411	35.5918	cerebral-cortex	glial-cells	Low	Approved
C1orf53	388722	7.47381	5.65861	6.25752	6.45238	8.19954	9.38328	6.14158	8.1897	6.78384	6.14649	NA	NA	NA	NA
C1orf56	54964	2.5302	0.805115	2.0681	0.586343	0.866947	1.67792	1.29645	1.82403	1.18669	1.1297	NA	NA	NA	NA
C1orf74	148304	1.45328	2.17965	2.30394	2.64744	1.78059	1.6466	2.03336	2.04999	2.54161	2.095	NA	NA	NA	NA
C1orf94	84970	0.190641	0.208822	0.0579485	0.0470296	0.768895	0.761437	0.197716	0.0827621	0.249765	0.24234	NA	NA	NA	NA
C1QBP	708	139.961	115.802	172.065	169.326	127.6	120.309	146.961	157.896	126.479	109.72	cerebral-cortex	glial-cells	Medium	Supported
C1QTNF1	114897	0.537694	0.484743	0.610072	0.409701	0.732275	0.592154	0.460678	0.549281	0.417427	0.339511	NA	NA	NA	NA
C1QTNF2	114898	0.500076	0.395604	0.380026	0.205606	0.313676	0.324769	0.319161	0.188153	0.184791	0.272437	NA	NA	NA	NA
C1QTNF3	114899	0.920182	0.745987	0.731001	0.399016	0.821123	0.458637	0.903131	0.719498	1.39551	3.03107	NA	NA	NA	NA
C1QTNF5	114902	4.35473	4.80081	6.25906	5.94239	3.1072	2.6103	7.5259	8.5461	4.14642	4.51305	NA	NA	NA	NA
C1QTNF6	114904	5.27143	7.57551	4.4645	2.71355	6.33547	6.31394	6.88931	7.18844	9.6689	7.69737	NA	NA	NA	NA
C1R	715	8.5953	9.56271	4.48834	6.06491	1.26344	0.995776	8.5247	7.51448	2.88175	3.29249	NA	NA	NA	NA
C1RL	51279	3.66394	5.94291	5.45004	4.98253	6.80894	5.88279	8.79785	7.89634	9.62436	6.76028	NA	NA	NA	NA
C1RL-AS1	283314	2.82253	4.24537	1.87082	2.63695	4.32628	2.43618	4.43325	3.48136	4.28415	3.55839	NA	NA	NA	NA
C20orf144	128864	0.0969798	0.221978	0.123714	0.118204	0.209303	0.197238	0.186354	0.064792	0.181085	0.071876	NA	NA	NA	NA
C20orf194	25943	8.12455	7.3581	6.07288	6.09253	7.32304	6.75146	5.64265	6.00191	7.99854	6.82864	NA	NA	NA	NA
C20orf27	54976	17.6373	20.1831	27.6996	28.0308	24.7161	23.2365	25.5707	24.253	24.3382	18.2222	NA	NA	NA	NA
C20orf96	140680	3.11795	2.84986	2.58978	2.47275	2.40384	2.82513	2.74064	3.86571	4.23691	4.06269	NA	NA	NA	NA
C21orf58	54058	1.40634	1.5901	1.09424	0.988407	1.42334	1.38732	1.8277	1.93485	1.73793	1.54688	NA	NA	NA	NA
C21orf91	54149	6.8995	7.37107	4.18192	5.70582	4.3443	3.06766	5.57651	5.47937	2.89498	4.45651	cerebral-cortex	glial-cells	Low	Approved
C22orf15	150248	0.239379	0.362287	0.062894	0.291766	0.713817	0.454879	0.298755	0.162153	0.0960868	0.292667	NA	NA	NA	NA
C22orf23	84645	6.63434	6.24352	4.53693	3.96371	6.53721	7.01823	4.80812	4.18642	9.06713	7.58485	NA	NA	NA	NA
