	SYMBOL	ENTREZID	Ctrl_NIH1.Veh.R1	Ctrl_NIH1.Veh.R2
FAM157C	FAM157C	100996541	0.67338	0.185686
FAM160A2	FAM160A2	84067	12.1382	12.5934
FAM160B1	FAM160B1	57700	6.32582	5.82204
FAM160B2	FAM160B2	64760	23.7553	24.1826
FAM161A	FAM161A	84140	7.91018	6.93391
FAM161B	FAM161B	145483	2.65906	3.5606
FAM162A	FAM162A	26355	12.1594	20.7068
FAM162B	FAM162B	221303	0.108328	0.0484225
FAM166A	FAM166A	401565	0.29485	0.430613
FAM167A	FAM167A	83648	1.08485	2.70534
FAM167B	FAM167B	84734	0.0612334	0.492867
FAM168A	FAM168A	23201	39.4876	32.8862
FAM168B	FAM168B	130074	82.9933	57.6821
FAM169A	FAM169A	26049	10.2207	6.91437
FAM171A1	FAM171A1	221061	19.2624	16.5238
FAM171A2	FAM171A2	284069	16.1653	11.7401
FAM171B	FAM171B	165215	8.54149	10.5751
FAM172A	FAM172A	83989	9.90567	9.15885
FAM174A	FAM174A	345757	4.49918	6.54155
FAM174B	FAM174B	400451	3.69885	3.21775
FAM177A1	FAM177A1	283635	24.6227	30.8155
FAM178B	FAM178B	51252	0.0550624	0.232433
FAM181A	FAM181A	90050	5.16918	8.35169
FAM181A-AS1	FAM181A-AS1	283592	2.10418	2.26307
FAM181B	FAM181B	220382	5.25978	8.53521
FAM182A	FAM182A	284800	0.910992	0.158116
FAM182B	FAM182B	728882	0.152897	1.0383
FAM183A	FAM183A	440585	0.745278	1.36786
FAM184A	FAM184A	79632	17.9178	8.78662
FAM185A	FAM185A	222234	1.81278	2.31843
FAM185BP	FAM185BP	641808	0.260945	0
FAM186A	FAM186A	121006	0.0284167	0.232236
FAM186B	FAM186B	84070	0.386655	0.196233
FAM189A1	FAM189A1	23359	2.02718	1.41013
FAM189A2	FAM189A2	9413	5.55414	3.56798
FAM193A	FAM193A	8603	21.9588	15.2443
FAM193B	FAM193B	54540	40.0426	39.2416
FAM200A	FAM200A	221786	6.30991	8.26927
FAM200B	FAM200B	285550	27.866	31.3403
FAM201A	FAM201A	158228	0.25561	0.23654
FAM201B	FAM201B	339742	0.137896	0.273501
FAM204A	FAM204A	63877	41.5796	48.0874
FAM207A	FAM207A	85395	8.42983	10.1516
FAM207BP	FAM207BP	729535	2.18374	3.66076
FAM209A	FAM209A	200232	0	0
FAM209B	FAM209B	388799	0.272397	0.162663
FAM20A	FAM20A	54757	0.23836	0.0331938
FAM20B	FAM20B	9917	16.1326	12.0887
FAM20C	FAM20C	56975	8.59854	9.05584
FAM210A	FAM210A	125228	6.18918	6.54338
FAM210B	FAM210B	116151	28.2202	29.56
FAM214A	FAM214A	56204	21.2029	15.3138
FAM214B	FAM214B	80256	10.7718	12.9344
FAM216A	FAM216A	29902	5.60951	8.42204
FAM217B	FAM217B	63939	7.11529	6.51603
FAM218A	FAM218A	152756	1.35522	1.53759
FAM219A	FAM219A	203259	18.4022	21.2317
FAM219B	FAM219B	57184	41.1691	39.5706
FAM21FP	FAM21FP	100288690	0.264255	0.768227
FAM220A	FAM220A	84792	9.28289	13.3584
FAM221A	FAM221A	340277	6.86986	6.14642
FAM222A	FAM222A	84915	7.72926	8.64169
FAM222B	FAM222B	55731	17.5424	17.4634
FAM227A	FAM227A	646851	1.90702	2.27803
FAM227B	FAM227B	196951	4.29634	6.24802
FAM228A	FAM228A	653140	0.198224	0.297003
FAM228B	FAM228B	375190	6.03865	15.0265
FAM229A	FAM229A	100128071	5.77573	6.69128
FAM24B	FAM24B	196792	0	0.0797217
FAM27E2	FAM27E2	100289124	0.23843	0.248492
FAM27E3	FAM27E3	100131997	0.658434	1.5165
FAM27E4	FAM27E4	107987001	0.150665	0.201865
FAM32A	FAM32A	26017	61.8502	77.9234
FAM3A	FAM3A	60343	2.51215	5.06033
FAM3C	FAM3C	10447	58.4566	44.1358
FAM3C2	FAM3C2	286460	21.1601	10.9394
FAM43A	FAM43A	131583	9.92522	13.6199
FAM43B	FAM43B	163933	1.04804	2.02346
FAM47E	FAM47E	100129583	1.66235	2.59263
FAM49A	FAM49A	81553	8.79605	5.92272
FAM49B	FAM49B	51571	50.1284	54.0478
FAM50A	FAM50A	9130	4.28063	26.842
FAM53A	FAM53A	152877	0.24533	0.380108
FAM53B	FAM53B	9679	6.98818	5.3249
FAM53C	FAM53C	51307	29.7171	27.5582
FAM66A	FAM66A	100133172	1.37785	0.622399
FAM66C	FAM66C	440078	2.86609	3.10904
FAM66D	FAM66D	100132923	0.718475	0.370571
FAM71E1	FAM71E1	112703	0.466595	0.454586
FAM71F1	FAM71F1	84691	0	0.117688
FAM71F2	FAM71F2	346653	1.21481	1.15133
FAM72A	FAM72A	729533	0.119341	0.102417
FAM72B	FAM72B	653820	0.688265	0.0931074
FAM76A	FAM76A	199870	4.94984	5.0204
FAM76B	FAM76B	143684	24.8013	17.7957
FAM78A	FAM78A	286336	0.639222	0.87143
FAM78B	FAM78B	149297	0.141965	0.157601
FAM81A	FAM81A	145773	1.12418	1.70233
FAM81B	FAM81B	153643	0.369768	0.886484
FAM83D	FAM83D	81610	18.4376	13.9476
FAM83E	FAM83E	54854	0.234046	0.205863
FAM83G	FAM83G	644815	0.0359026	0.136003
FAM85A	FAM85A	619423	0.428515	0.69597
FAM86B1	FAM86B1	85002	1.53207	1.32309
FAM86B2	FAM86B2	653333	0.803796	0.198969
FAM86B3P	FAM86B3P	286042	2.15873	1.83703
FAM86C1	FAM86C1	55199	4.51972	3.78076
FAM86C2P	FAM86C2P	645332	2.66424	2.38304
FAM86DP	FAM86DP	692099	9.72073	8.44852
FAM86EP	FAM86EP	348926	1.76705	1.83395
FAM86FP	FAM86FP	653113	0.154448	0.337153
FAM86HP	FAM86HP	729375	1.14317	1.04705
FAM86JP	FAM86JP	100125556	0.704184	0.939852
FAM89A	FAM89A	375061	8.3377	12.6031
FAM89B	FAM89B	23625	25.7458	26.4919
FAM8A1	FAM8A1	51439	13.0408	12.7628
FAM90A1	FAM90A1	55138	0.255433	0.207863
FAM90A25P	FAM90A25P	389633	0.189271	0.270499
FAM91A1	FAM91A1	157769	15.1299	12.9435
FAM92A1P1	FAM92A1P1	729073	3.85114	4.43755
FAM92B	FAM92B	339145	0.0801104	0.286059
FAM95B1	FAM95B1	100133036	0.637983	0.26052
FAM98A	FAM98A	25940	20.1262	23.3128
FAM98B	FAM98B	283742	30.3351	24.6958
FAM98C	FAM98C	147965	7.41629	10.3795
FAN1	FAN1	22909	13.0559	11.3665
FANCA	FANCA	2175	34.5189	28.5559
FANCB	FANCB	2187	3.38507	1.37614
FANCC	FANCC	2176	11.2836	6.65326
FANCD2	FANCD2	2177	21.6313	18.1769
FANCE	FANCE	2178	8.4224	6.845
FANCF	FANCF	2188	6.64686	7.02584
FANCG	FANCG	2189	30.3436	37.182
FANCI	FANCI	55215	64.7073	35.1126
FANCL	FANCL	55120	35.9932	37.182
FANCM	FANCM	57697	5.7308	4.12639
FANK1	FANK1	92565	1.07805	4.68179
FAP	FAP	2191	0	0.0346499
FAR1	FAR1	84188	49.6142	30.8391
FAR2	FAR2	55711	1.12013	1.88805
FAR2P1	FAR2P1	440905	17.0416	9.60799
FAR2P2	FAR2P2	100216479	0.378328	0.532803
FARP1	FARP1	10160	65.275	36.0358
FARP2	FARP2	9855	17.5712	9.01309
FARS2	FARS2	10667	8.94756	10.1232
FARSA	FARSA	2193	21.3356	27.5922
FARSB	FARSB	10056	24.8927	24.6697
FAS	FAS	355	3.15323	4.75246
FASN	FASN	2194	65.1755	79.9159
FASTK	FASTK	10922	28.2631	37.3072
FASTKD1	FASTKD1	79675	11.5603	15.6934
FASTKD2	FASTKD2	22868	14.265	13.7131
FASTKD3	FASTKD3	79072	9.09215	9.02843
FASTKD5	FASTKD5	60493	8.97869	8.51093
FAT1	FAT1	2195	152.253	129.966
FAT3	FAT3	120114	25.2564	16.9728
FAT4	FAT4	79633	3.7873	3.28113
FAU	FAU	2197	184.614	336.787
FAUP1	FAUP1	140623	9.60093	20.9525
FAXC	FAXC	84553	4.53802	5.04536
FAXDC2	FAXDC2	10826	2.87483	5.36672
FBF1	FBF1	85302	5.86442	7.06876
FBL	FBL	2091	137.878	138.281
FBLIM1	FBLIM1	54751	24.2726	18.1898
FBLL1	FBLL1	345630	4.22071	7.50806
FBLN1	FBLN1	2192	62.8527	52.4265
FBLN2	FBLN2	2199	16.1175	9.01016
FBLN5	FBLN5	10516	2.668	6.06929
FBLN7	FBLN7	129804	11.364	8.09388
FBN1	FBN1	2200	17.8078	11.9087
FBN2	FBN2	2201	14.562	9.18302
FBN3	FBN3	84467	4.21942	1.13615
FBRS	FBRS	64319	26.1272	26.3301
FBRSL1	FBRSL1	57666	14.6792	11.5041
FBXL12	FBXL12	54850	15.5617	14.5099
FBXL13	FBXL13	222235	0.241891	0.386076
FBXL14	FBXL14	144699	11.5808	7.28435
FBXL15	FBXL15	79176	3.82648	4.80249
FBXL16	FBXL16	146330	4.81645	6.26915
FBXL17	FBXL17	64839	9.7178	8.75437
FBXL18	FBXL18	80028	3.38648	2.48988
FBXL19	FBXL19	54620	17.7093	17.1554
FBXL19-AS1	FBXL19-AS1	283932	3.51159	2.25748
FBXL2	FBXL2	25827	5.14629	5.79739
FBXL20	FBXL20	84961	5.31988	4.92936
FBXL22	FBXL22	283807	0.213223	0.201868
FBXL3	FBXL3	26224	21.2764	20.3076
FBXL4	FBXL4	26235	5.20254	3.6147
FBXL5	FBXL5	26234	42.0401	38.1095
FBXL6	FBXL6	26233	1.5721	1.24812
FBXL7	FBXL7	23194	8.92615	8.71404
FBXL8	FBXL8	55336	0.738889	1.42816
FBXO10	FBXO10	26267	8.70582	8.33691
FBXO11	FBXO11	80204	50.9463	43.7967
FBXO15	FBXO15	201456	0.931026	1.97278
FBXO16	FBXO16	157574	5.89791	10.8279
FBXO17	FBXO17	115290	1.43322	1.20939
FBXO2	FBXO2	26232	0.233003	0.237799
FBXO21	FBXO21	23014	21.8122	17.0507
FBXO22	FBXO22	26263	19.6445	22.6599
FBXO24	FBXO24	26261	0.275973	1.00116
FBXO25	FBXO25	26260	8.43143	7.80058
FBXO27	FBXO27	126433	1.69674	0.874143
FBXO28	FBXO28	23219	15.2087	13.7516
FBXO3	FBXO3	26273	16.9355	17.1269
FBXO30	FBXO30	84085	7.16977	7.18487
FBXO31	FBXO31	79791	7.10323	8.24524
FBXO32	FBXO32	114907	1.78756	1.44816
FBXO33	FBXO33	254170	4.97326	6.15005
FBXO34	FBXO34	55030	10.3306	8.9605
FBXO36	FBXO36	130888	1.90225	2.58522
FBXO38	FBXO38	81545	18.0304	16.3865
FBXO4	FBXO4	26272	1.64924	1.99091
FBXO41	FBXO41	150726	2.26732	1.74249
FBXO42	FBXO42	54455	12.2926	12.6514
FBXO43	FBXO43	286151	1.10172	1.30815
FBXO44	FBXO44	93611	5.95445	9.45771
FBXO45	FBXO45	200933	10.9291	8.86111
FBXO46	FBXO46	23403	10.3802	9.96067
FBXO48	FBXO48	554251	0.789891	1.0678
FBXO5	FBXO5	26271	37.7509	27.8196
FBXO6	FBXO6	26270	0.615935	0.857425
FBXO7	FBXO7	25793	41.6136	49.2517
FBXO8	FBXO8	26269	7.32537	11.2858
FBXO9	FBXO9	26268	16.8551	20.8244
FBXW11	FBXW11	23291	36.573	30.7406
FBXW11P1	FBXW11P1	54099	0.28416	0.285512
FBXW12	FBXW12	285231	0.237418	0.268358
FBXW2	FBXW2	26190	21.2043	18.0665
FBXW4	FBXW4	6468	6.20497	6.38415
FBXW4P1	FBXW4P1	26226	0.266079	0.317001
FBXW5	FBXW5	54461	35.9409	37.5975
FBXW7	FBXW7	55294	18.9247	18.6301
FBXW8	FBXW8	26259	9.51697	7.60042
FBXW9	FBXW9	84261	5.68409	8.75526
FCER1G	FCER1G	2207	0.228523	0.204938
FCF1	FCF1	51077	21.9009	18.6685
FCF1P1	FCF1P1	100422533	0.240594	0.107906
FCF1P2	FCF1P2	101060195	10.7271	10.6669
FCF1P7	FCF1P7	100422536	0	0.223552
FCGR2A	FCGR2A	2212	1.07752	0.546305
FCGRT	FCGRT	2217	19.1738	21.2073
FCHO1	FCHO1	23149	3.79743	3.69667
FCHO2	FCHO2	115548	7.73347	7.33794
FCHSD1	FCHSD1	89848	14.0972	12.315
FCHSD2	FCHSD2	9873	16.9297	11.5964
FCRLB	FCRLB	127943	0.232216	0.51616
FDFT1	FDFT1	2222	195.701	195.04
FDPS	FDPS	2224	187.475	211.305
FDPSP1	FDPSP1	343332	0.621842	0.602179
FDPSP4	FDPSP4	2228	0.106303	0.332605
FDPSP8	FDPSP8	401981	0.101559	0.136166
FDX1	FDX1	2230	8.60861	9.22974
FDX1P1	FDX1P1	2231	0.253968	0.683684
FDXR	FDXR	2232	6.55499	15.0064
FECH	FECH	2235	10.5391	11.7491
FEM1A	FEM1A	55527	11.0684	5.33169
FEM1B	FEM1B	10116	22.2844	16.6035
FEM1C	FEM1C	56929	7.93523	6.79521
FEN1	FEN1	2237	57.241	52.9829
FER	FER	2241	8.79443	5.14099
FER1L4	FER1L4	80307	0.127582	0.433762
FER1L5	FER1L5	90342	0.673301	0.448971
FERMT1	FERMT1	55612	0.0581718	0.0390342
FERMT2	FERMT2	10979	53.9451	44.4446
FERMT3	FERMT3	83706	0.723551	0.453824
FERP1	FERP1	553112	4.72407	3.35634
FES	FES	2242	0.129595	0.233798
FEZ1	FEZ1	9638	149.308	164.804
FEZ2	FEZ2	9637	53.4999	66.4284
FGD1	FGD1	2245	8.34974	7.60681
FGD3	FGD3	89846	0.37119	0.339469
FGD4	FGD4	121512	8.82509	4.80059
FGD5	FGD5	152273	0.283463	0.132816
FGD5-AS1	FGD5-AS1	100505641	92.781	67.7328
FGD6	FGD6	55785	3.00888	1.75358
FGF1	FGF1	2246	6.69027	5.2247
FGF10	FGF10	2255	2.32807	1.3312
FGF11	FGF11	2256	5.21188	9.29232
FGF12	FGF12	2257	15.0022	11.8582
FGF13	FGF13	2258	3.50903	4.95779
FGF13-AS1	FGF13-AS1	100129662	0.970934	0.620505
FGF14	FGF14	2259	0.634314	1.15072
FGF14-AS2	FGF14-AS2	283481	3.77	2.81596
FGF17	FGF17	8822	0.404525	0.176896
FGF18	FGF18	8817	0.101512	0.135921
FGF2	FGF2	2247	6.06183	5.75371
FGF22	FGF22	27006	0.269598	0.244762
FGF5	FGF5	2250	0.00902716	0.01425
FGF9	FGF9	2254	0.613802	1.11366
FGFBP2	FGFBP2	83888	0	0.125168
FGFBP3	FGFBP3	143282	72.4076	64.1175
FGFR1	FGFR1	2260	229.058	175.979
FGFR1OP	FGFR1OP	11116	14.8895	12.568
FGFR1OP2	FGFR1OP2	26127	26.3512	24.6583
FGFR2	FGFR2	2263	4.44478	3.5208
FGFR3	FGFR3	2261	9.8484	6.06048
FGFR4	FGFR4	2264	0.308193	0.487607
FGFRL1	FGFRL1	53834	13.4272	11.829
FGGY	FGGY	55277	49.3248	38.9225
FGL2	FGL2	10875	0.145421	0.129714
FH	FH	2271	42.224	49.0511
FHAD1	FHAD1	114827	0.340187	1.38088
FHDC1	FHDC1	85462	0.948193	0.523174
FHIT	FHIT	2272	1.38009	0.991117
FHL1	FHL1	2273	22.5367	24.1629
FHL2	FHL2	2274	13.2866	12.9768
FHL3	FHL3	2275	3.57259	4.83427
FHOD1	FHOD1	29109	14.4341	12.7354
FHOD3	FHOD3	80206	7.97335	6.55975
FHP1	FHP1	100873790	0.353056	0.559244
FIBCD1	FIBCD1	84929	0.425617	0.835252
FIBIN	FIBIN	387758	0.0323876	0.0433447
FIBP	FIBP	9158	44.2745	59.0693
FICD	FICD	11153	2.07597	3.91111
FIG4	FIG4	9896	10.8742	11.2418
FIGN	FIGN	55137	7.69566	7.86996
FIGNL1	FIGNL1	63979	18.1107	13.2987
FILIP1	FILIP1	27145	0.327334	0.335387
FILIP1L	FILIP1L	11259	3.96394	4.89359
FIP1L1	FIP1L1	81608	30.721	30.0315
FIS1	FIS1	51024	63.2707	106.598
FITM1	FITM1	161247	0.151429	0.243702
FITM2	FITM2	128486	2.99651	3.40998
FIZ1	FIZ1	84922	16.7434	16.2878
FJX1	FJX1	24147	15.6015	17.5437
FKBP11	FKBP11	51303	15.2396	13.5507
FKBP14	FKBP14	55033	9.15659	6.90718
FKBP15	FKBP15	23307	10.0176	7.63079
FKBP1A	FKBP1A	2280	104.236	100.402
FKBP1B	FKBP1B	2281	22.0841	24.4194
FKBP1C	FKBP1C	642489	4.00402	15.1647
FKBP2	FKBP2	2286	37.4395	63.2422
FKBP3	FKBP3	2287	112.084	126.862
FKBP4	FKBP4	2288	29.5875	43.4037
FKBP5	FKBP5	2289	35.8314	23.7788
FKBP7	FKBP7	51661	8.46684	11.4799
FKBP8	FKBP8	23770	92.0002	111.535
FKBP9	FKBP9	11328	62.4485	58.2213
FKRP	FKRP	79147	22.2079	17.9403
FKTN	FKTN	2218	10.5103	8.17606
FLAD1	FLAD1	80308	13.4008	16.8655
FLCN	FLCN	201163	17.6396	19.8419
FLI1	FLI1	2313	3.4688	2.1649
FLII	FLII	2314	55.2601	78.054
FLNB	FLNB	2317	9.35737	10.0118
FLNB-AS1	FLNB-AS1	105377105	0.116968	0.305249
FLNC	FLNC	2318	10.1738	8.29361
FLOT1	FLOT1	10211	7.76889	10.6696
FLOT2	FLOT2	2319	101.986	99.9081
FLRT1	FLRT1	23769	3.35969	2.69995
FLRT2	FLRT2	23768	4.06008	1.33269
FLRT3	FLRT3	23767	40.7165	31.8252
FLT1	FLT1	2321	0.0529967	0.0353348
FLT3LG	FLT3LG	2323	1.06188	1.45369
FLT4	FLT4	2324	2.10451	0.611514
FLVCR1	FLVCR1	28982	9.31093	6.73979
FLVCR2	FLVCR2	55640	0.796137	1.03604
FLYWCH1	FLYWCH1	84256	10.5758	13.4442
FLYWCH2	FLYWCH2	114984	8.51463	17.8466
FMN1	FMN1	342184	0.0687725	0.126133
FMN2	FMN2	56776	12.8195	40.8528
FMNL1	FMNL1	752	0.161003	0.484548
FMNL2	FMNL2	114793	28.5046	25.6745
FMNL3	FMNL3	91010	7.22833	5.9212
FMO4	FMO4	2329	0.360447	0.394475
FN1	FN1	2335	115.241	143.198
FN3K	FN3K	64122	8.11521	9.70452
FN3KRP	FN3KRP	79672	28.1262	28.8045
FNBP1	FNBP1	23048	91.0034	44.5069
FNBP1L	FNBP1L	54874	69.201	57.5933
FNBP1P1	FNBP1P1	100533642	0.227389	0.090211
FNBP4	FNBP4	23360	67.4615	50.8413
FNDC1	FNDC1	84624	0.0155803	0.00638177
FNDC3A	FNDC3A	22862	23.5118	20.7245
FNDC3B	FNDC3B	64778	30.1658	21.4316
FNDC4	FNDC4	64838	12.1602	17.9521
FNDC5	FNDC5	252995	3.29995	1.95264
FNDC9	FNDC9	408263	0.117769	0.0755752
FNIP1	FNIP1	96459	7.09915	6.96438
FNIP2	FNIP2	57600	9.42638	6.01226
FNTA	FNTA	2339	35.2742	37.2585
FNTB	FNTB	2342	11.4644	13.3077
FOCAD	FOCAD	54914	17.7824	16.5207
FOLH1	FOLH1	2346	0.110747	0
FOPNL	FOPNL	123811	16.2806	17.769
FOS	FOS	2353	17.9044	9.34917
FOSB	FOSB	2354	0.0587612	0.24027
FOSL1	FOSL1	8061	0.916788	3.88974
FOSL1P1	FOSL1P1	100419062	0.292098	0.261409
FOSL2	FOSL2	2355	1.14716	1.30388
FOXB1	FOXB1	27023	7.84333	7.22687
FOXC1	FOXC1	2296	0.041953	0.0623773
FOXC2	FOXC2	2303	0	0
FOXD4	FOXD4	2298	0.70956	0.817159
FOXD4L1	FOXD4L1	200350	0.121342	0.259939
FOXD4L5	FOXD4L5	653427	0.249683	0.208839
FOXF2	FOXF2	2295	4.51839	6.00839
FOXH1	FOXH1	8928	0.26873	0.100089
FOXJ1	FOXJ1	2302	2.95554	5.53996
FOXJ2	FOXJ2	55810	8.67202	6.23281
FOXJ3	FOXJ3	22887	18.5328	15.2644
FOXK1	FOXK1	221937	11.8618	9.36121
FOXK2	FOXK2	3607	28.5755	18.8257
FOXL1	FOXL1	2300	0.0455656	0.0677529
FOXL2	FOXL2	668	0.13364	0.372619
FOXM1	FOXM1	2305	52.3832	41.7908
FOXN2	FOXN2	3344	11.7897	7.45652
FOXN3	FOXN3	1112	15.8593	10.5164
FOXN3-AS1	FOXN3-AS1	400236	0.926434	1.10415
FOXN4	FOXN4	121643	0.130235	0.220226
FOXO1	FOXO1	2308	6.52785	5.60205
FOXO3	FOXO3	2309	9.01077	6.87935
FOXO3B	FOXO3B	2310	2.2817	1.194
FOXO4	FOXO4	4303	1.84667	2.52095
FOXO6	FOXO6	100132074	0.350823	0.331497
FOXP1	FOXP1	27086	11.0673	7.94994
FOXP2	FOXP2	93986	2.77426	1.23223
FOXP4	FOXP4	116113	18.1157	16.7301
FOXRED1	FOXRED1	55572	26.3043	26.7913
FOXRED2	FOXRED2	80020	18.2719	10.7107
FOXS1	FOXS1	2307	0	0.144525
FPGS	FPGS	2356	20.3664	19.4523
FPGT	FPGT	8790	1.71875	1.61932
FPGT-TNNI3K	FPGT-TNNI3K	100526835	0.39372	0.310722
FRA10AC1	FRA10AC1	118924	17.4136	22.4134
FRAS1	FRAS1	80144	9.86297	7.94443
FRAT1	FRAT1	10023	0.944147	1.58607
FRAT2	FRAT2	23401	3.34884	4.98818
FREM1	FREM1	158326	2.28029	1.259
FREM2	FREM2	341640	42.2496	23.3527
FRG1	FRG1	2483	0.868046	3.78496
FRMD3	FRMD3	257019	2.40335	1.66866
FRMD4A	FRMD4A	55691	71.7076	80.3566
FRMD4B	FRMD4B	23150	7.88053	4.71028
FRMD5	FRMD5	84978	1.252	2.49965
FRMD6	FRMD6	122786	55.5438	39.8116
FRMD8	FRMD8	83786	8.73438	9.36337
FRMPD1	FRMPD1	22844	0.0941783	0.0254833
FRMPD3	FRMPD3	84443	0.623459	0.29895
FRRS1	FRRS1	391059	0.416476	0.50413
FRRS1L	FRRS1L	23732	3.62733	4.49692
FRS2	FRS2	10818	15.2244	11.8305
FRS3	FRS3	10817	2.71147	3.29031
FRY	FRY	10129	2.905	2.03579
FRYL	FRYL	285527	24.5072	21.5296
FRZB	FRZB	2487	5.99271	3.33643
FSBP	FSBP	100861412	4.71054	3.03103
FSCN1	FSCN1	6624	240.158	200.623
FSCN2	FSCN2	25794	1.00216	0.798131
FSCN3	FSCN3	29999	0.176175	1.00991
FSD1	FSD1	79187	21.0243	27.0559
FSD1L	FSD1L	83856	5.81014	4.61175
FSIP1	FSIP1	161835	1.31328	0.925431
FSIP2	FSIP2	401024	2.47728	1.21519
FST	FST	10468	25.0772	24.6931
FSTL1	FSTL1	11167	138.939	95.8882
FSTL3	FSTL3	10272	3.93557	7.33643
FSTL4	FSTL4	23105	0.097651	0.130603
FSTL5	FSTL5	56884	0.638845	0.743343
FTCD	FTCD	10841	0	0
FTCDNL1	FTCDNL1	348751	0.314286	0.0703313
FTH1	FTH1	2495	600.629	1005.86
FTH1P1	FTH1P1	2496	0	0.120339
FTH1P10	FTH1P10	2502	13.8362	27.6634
FTH1P11	FTH1P11	2503	9.39681	19.257
FTH1P15	FTH1P15	2507	0.467197	4.61729
FTH1P16	FTH1P16	2508	0.759842	0.90903
FTH1P2	FTH1P2	2497	24.2181	49.9156
FTH1P20	FTH1P20	729009	4.35378	8.27359
FTH1P23	FTH1P23	100420300	4.20215	5.14198
FTH1P3	FTH1P3	2498	1.04672	0.834472
FTH1P7	FTH1P7	2500	20.8942	30.1116
FTL	FTL	2512	377.911	937.687
FTLP12	FTLP12	100462792	0.353953	0.477339
FTLP3	FTLP3	284764	9.9156	29.3695
FTO	FTO	79068	35.3287	34.1878
FTO-IT1	FTO-IT1	100505692	0.397598	0.197369
FTOP1	FTOP1	100874223	0.136213	0.182796
FTSJ3	FTSJ3	117246	36.46	34.5482
FTX	FTX	100302692	3.85724	2.08158
FUBP1	FUBP1	8880	129.624	86.5468
FUBP3	FUBP3	8939	44.7358	42.4393
FUCA1	FUCA1	2517	3.90237	7.16368
FUCA2	FUCA2	2519	21.2743	22.7322
FUNDC1	FUNDC1	139341	17.5387	20.7231
FUNDC2	FUNDC2	65991	0.134063	0.120336
FUNDC2P2	FUNDC2P2	388965	0.454057	0.815725
FUOM	FUOM	282969	4.97141	9.62348
FURIN	FURIN	5045	6.52404	9.77191
FUS	FUS	2521	484.236	359.493
FUT10	FUT10	84750	4.78239	4.07722
FUT11	FUT11	170384	14.5584	16.0932
FUT2	FUT2	2524	0.46787	0.431378
FUT4	FUT4	2526	0.87755	0.783373
FUT8	FUT8	2530	37.9975	37.0427
FUT9	FUT9	10690	5.04588	3.23566
FUZ	FUZ	80199	12.1771	12.4344
FXN	FXN	2395	12.6472	12.481
FXR1	FXR1	8087	102.365	98.5996
FXR2	FXR2	9513	26.0794	27.2953
FXYD1	FXYD1	5348	0	0
FXYD2	FXYD2	486	0.195408	0.202484
FXYD5	FXYD5	53827	0	1.87204
FXYD6	FXYD6	53826	104.906	106.535
FXYD7	FXYD7	53822	0.262955	0.289893
FYCO1	FYCO1	79443	3.43756	4.3083
FYN	FYN	2534	256.337	234.505
FYTTD1	FYTTD1	84248	60.6364	50.1597
FZD1	FZD1	8321	10.7511	10.0005
FZD10	FZD10	11211	35.3867	44.2682
FZD10-AS1	FZD10-AS1	440119	36.748	34.7915
FZD2	FZD2	2535	21.4804	20.0139
FZD3	FZD3	7976	48.1874	34.1789
FZD4	FZD4	8322	0.745982	0.90745
FZD5	FZD5	7855	0.558788	0.803529
FZD6	FZD6	8323	18.1179	14.2567
FZD7	FZD7	8324	85.0394	66.6807
FZD8	FZD8	8325	1.35313	1.19365
FZR1	FZR1	51343	22.239	19.7658
G0S2	G0S2	50486	0.135201	0
G2E3	G2E3	55632	14.2449	9.34096
G3BP1	G3BP1	10146	77.6379	66.9351
G3BP2	G3BP2	9908	79.0128	57.6051
G6PC3	G6PC3	92579	64.7333	77.0301
G6PD	G6PD	2539	10.7454	7.16811
GAA	GAA	2548	14.8048	17.5637
GAB1	GAB1	2549	28.8626	19.7019
GAB2	GAB2	9846	5.89977	3.6292
GABARAP	GABARAP	11337	352.68	489.854
GABARAPL1	GABARAPL1	23710	15.9408	26.08
GABARAPL2	GABARAPL2	11345	84.698	106.443
GABBR2	GABBR2	9568	4.34792	7.41264
GABPA	GABPA	2551	12.8674	10.9601
GABPB1	GABPB1	2553	18.2099	12.6978
GABPB1-AS1	GABPB1-AS1	100129387	15.5038	10.6614
GABPB2	GABPB2	126626	1.24326	0.946746
GABRA2	GABRA2	2555	4.40054	5.02378
GABRA3	GABRA3	2556	0.232763	0.207746
GABRA4	GABRA4	2557	0.613891	0.334012
GABRA5	GABRA5	2558	8.00417	2.04938
GABRB1	GABRB1	2560	0.390465	0.346193
GABRB2	GABRB2	2561	1.13454	0.992696
GABRB3	GABRB3	2562	9.32717	5.02381
GABRE	GABRE	2564	0.144843	0.223519
GABRG3	GABRG3	2567	5.26561	4.76519
GABRR2	GABRR2	2570	0.516378	0.325455
GAD1	GAD1	2571	11.5673	22.4704
GAD2	GAD2	2572	0.104337	0.0178758
GADD45A	GADD45A	1647	9.12115	19.6668
GADD45B	GADD45B	4616	1.62921	3.28847
GADD45G	GADD45G	10912	11.6387	24.3579
GADD45GIP1	GADD45GIP1	90480	43.5074	53.6178
GAK	GAK	2580	23.3675	23.4329
GAL	GAL	51083	0.0727909	0.195417
GAL3ST1	GAL3ST1	9514	0.467227	0.120371
GAL3ST2	GAL3ST2	64090	0	0.0345319
GAL3ST3	GAL3ST3	89792	3.23683	4.79984
GAL3ST4	GAL3ST4	79690	9.5134	9.43844
GALC	GALC	2581	10.2171	10.3294
