	SYMBOL	ENTREZID	Ctrl_Fam.Veh.R1	Ctrl_Fam.Veh.R2
DCST2	DCST2	127579	0.121655	0.0541355
DCTD	DCTD	1635	40.8248	39.9472
DCTN1	DCTN1	1639	48.7909	66.7574
DCTN1-AS1	DCTN1-AS1	100189589	0.117166	0.128531
DCTN2	DCTN2	10540	140.826	203.777
DCTN3	DCTN3	11258	76.7339	80.6888
DCTN4	DCTN4	51164	43.047	44.8675
DCTN5	DCTN5	84516	34.5551	33.7516
DCTN6	DCTN6	10671	61.0248	67.1413
DCTPP1	DCTPP1	79077	37.808	44.575
DCUN1D1	DCUN1D1	54165	16.462	12.0704
DCUN1D2	DCUN1D2	55208	21.6309	17.865
DCUN1D2-AS	DCUN1D2-AS	100874229	0	0
DCUN1D3	DCUN1D3	123879	4.20527	2.18132
DCUN1D4	DCUN1D4	23142	28.3225	19.472
DCUN1D5	DCUN1D5	84259	33.6929	25.632
DCX	DCX	1641	1.42165	1.27722
DCXR	DCXR	51181	52.2418	54.1934
DDA1	DDA1	79016	44.827	50.2091
DDAH1	DDAH1	23576	72.5912	82.2464
DDB1	DDB1	1642	64.1257	72.8013
DDB2	DDB2	1643	16.5545	21.9749
DDC	DDC	1644	0	0.200533
DDHD1	DDHD1	80821	7.58536	9.10469
DDHD2	DDHD2	23259	27.8276	27.2391
DDI2	DDI2	84301	4.84995	3.7282
DDIT3	DDIT3	1649	14.6242	10.2885
DDIT4	DDIT4	54541	42.3216	38.6791
DDIT4L	DDIT4L	115265	0.190279	0.0810407
DDN	DDN	23109	0.232241	0.0411543
DDOST	DDOST	1650	128.893	127.644
DDR2	DDR2	4921	6.65891	5.50535
DDRGK1	DDRGK1	65992	31.1378	30.72
DDT	DDT	1652	38.0965	46.2202
DDTL	DDTL	100037417	2.6637	2.27266
DDTP1	DDTP1	101060160	0.237567	0.539472
DDX1	DDX1	1653	59.8593	60.3359
DDX10	DDX10	1662	27.6548	19.9817
DDX11	DDX11	1663	10.4871	20.686
DDX11-AS1	DDX11-AS1	100506660	0.623936	0.878289
DDX11L2	DDX11L2	84771	0.651651	0.263539
DDX12P	DDX12P	440081	2.54212	4.99766
DDX17	DDX17	10521	223.681	244.603
DDX18	DDX18	8886	25.3636	26.561
DDX19A	DDX19A	55308	18.8846	22.1453
DDX19B	DDX19B	11269	14.4922	16.2906
DDX20	DDX20	11218	13.2179	10.2127
DDX21	DDX21	9188	36.4583	24.6316
DDX23	DDX23	9416	36.7329	51.5088
DDX24	DDX24	57062	56.405	66.2472
DDX25	DDX25	29118	0.6359	0.792583
DDX27	DDX27	55661	16.0693	17.4829
DDX28	DDX28	55794	4.81898	5.18019
DDX31	DDX31	64794	8.17713	5.76278
DDX39A	DDX39A	10212	55.5953	62.9907
DDX39B	DDX39B	7919	0.340727	0.160228
DDX3X	DDX3X	1654	106.965	121.005
DDX3Y	DDX3Y	8653	0	0
DDX41	DDX41	51428	33.638	52.3952
DDX42	DDX42	11325	47.2416	56.8072
DDX46	DDX46	9879	35.0364	38.5571
DDX47	DDX47	51202	31.7157	32.4179
DDX49	DDX49	54555	33.7413	35.817
DDX50	DDX50	79009	20.4785	23.7558
DDX50P1	DDX50P1	192146	0.187074	0.420731
DDX50P2	DDX50P2	100421328	0.0917462	0.220055
DDX51	DDX51	317781	8.88083	12.8246
DDX52	DDX52	11056	14.3209	15.2907
DDX54	DDX54	79039	18.8926	22.7333
DDX55	DDX55	57696	14.2455	14.1449
DDX56	DDX56	54606	28.5216	36.3482
DDX58	DDX58	23586	3.73422	4.32593
DDX59	DDX59	83479	7.79489	11.7812
DDX6	DDX6	1656	12.753	8.94264
DDX60	DDX60	55601	2.30136	4.49102
DDX60L	DDX60L	91351	1.93145	4.84284
DEAF1	DEAF1	10522	22.0072	26.9502
DEC1	DEC1	50514	0.532386	1.42522
DECR1	DECR1	1666	102.124	112.633
DECR2	DECR2	26063	15.9093	16.1275
DEDD	DEDD	9191	25.9989	20.7847
DEDD2	DEDD2	162989	9.86622	8.10156
DEF6	DEF6	50619	0.481006	0.269905
DEF8	DEF8	54849	43.4342	39.1816
DEGS1	DEGS1	8560	63.7556	63.0067
DEK	DEK	7913	73.3232	72.1685
DENND1A	DENND1A	57706	9.05994	10.6461
DENND1B	DENND1B	163486	1.2352	1.46044
DENND2A	DENND2A	27147	23.8681	33.3162
DENND2C	DENND2C	163259	0.675564	0.280123
DENND3	DENND3	22898	5.11877	4.37794
DENND4A	DENND4A	10260	5.99255	4.07186
DENND4B	DENND4B	9909	20.1396	30.5222
DENND4C	DENND4C	55667	11.9408	10.8561
DENND5A	DENND5A	23258	53.9082	59.4293
DENND5B	DENND5B	160518	11.9653	10.9603
DENND5B-AS1	DENND5B-AS1	100874249	0.173616	0.135623
DENND6A	DENND6A	201627	9.21174	9.66764
DENND6B	DENND6B	414918	5.62204	13.0922
DENR	DENR	8562	49.9186	48.4088
DEPDC1	DEPDC1	55635	10.795	8.76472
DEPDC1B	DEPDC1B	55789	11.4039	10.7061
DEPDC4	DEPDC4	120863	1.80191	2.0006
DEPDC5	DEPDC5	9681	8.38569	7.9993
DEPDC7	DEPDC7	91614	2.4777	2.91048
DEPTOR	DEPTOR	64798	0.734178	0.505759
DERA	DERA	51071	15.7035	21.5639
DERL1	DERL1	79139	24.9389	20.4976
DERL2	DERL2	51009	50.6008	41.0523
DERL3	DERL3	91319	1.17772	2.25751
DES	DES	1674	0.165311	0.38882
DESI1	DESI1	27351	14.563	15.4612
DESI2	DESI2	51029	33.1872	23.4929
DET1	DET1	55070	3.72587	4.20406
DEXI	DEXI	28955	19.0618	15.5388
DFFA	DFFA	1676	17.2091	18.2687
DFFB	DFFB	1677	4.38879	4.32887
DGAT1	DGAT1	8694	0.313799	6.14306
DGAT2	DGAT2	84649	0.304065	0.172469
DGCR10	DGCR10	26222	0.605364	0.167741
DGCR11	DGCR11	25786	0.726346	1.62106
DGCR2	DGCR2	9993	32.7754	53.3819
DGCR5	DGCR5	26220	0.868567	1.6951
DGCR6	DGCR6	8214	6.82625	9.50291
DGCR6L	DGCR6L	85359	28.8842	34.5117
DGCR8	DGCR8	54487	18.2934	29.8384
DGCR9	DGCR9	25787	2.25038	0.63775
DGKA	DGKA	1606	15.9532	24.9535
DGKB	DGKB	1607	0.345534	0.603926
DGKD	DGKD	8527	9.78284	17.3022
DGKE	DGKE	8526	1.71114	1.08182
DGKG	DGKG	1608	6.3393	8.5833
DGKH	DGKH	160851	0.954814	0.869763
DGKI	DGKI	9162	2.15122	2.34388
DGKQ	DGKQ	1609	5.78096	7.8409
DGKZ	DGKZ	8525	24.9917	46.7451
DGKZP1	DGKZP1	400126	5.18625	8.58246
DGUOK	DGUOK	1716	60.3	60.3569
DGUOK-AS1	DGUOK-AS1	100874048	0.970186	1.99191
DHCR24	DHCR24	1718	84.1285	114.953
DHCR7	DHCR7	1717	34.7954	40.0173
DHDDS	DHDDS	79947	13.5807	23.3912
DHDH	DHDH	27294	1.86523	0.645142
DHFR	DHFR	1719	19.8731	28.1665
DHFRP1	DHFRP1	573971	25.7442	33.8717
DHH	DHH	50846	0.26317	1.06714
DHODH	DHODH	1723	4.69203	6.43229
DHPS	DHPS	1725	53.7378	68.6088
DHRS1	DHRS1	115817	17.6093	22.7444
DHRS11	DHRS11	79154	0.145158	0.663651
DHRS12	DHRS12	79758	4.14399	8.86069
DHRS13	DHRS13	147015	22.8921	23.5973
DHRS2	DHRS2	10202	0.828492	0.81551
DHRS3	DHRS3	9249	1.3679	2.61507
DHRS4	DHRS4	10901	10.1224	12.9586
DHRS4L2	DHRS4L2	317749	3.47401	4.07285
DHRS7	DHRS7	51635	47.0311	49.3045
DHRS7B	DHRS7B	25979	12.9124	15.3071
DHRSX	DHRSX	207063	11.7373	15.7947
DHRSX-IT1	DHRSX-IT1	106478924	0.200189	0
DHTKD1	DHTKD1	55526	11.2167	16.9671
DHX15	DHX15	1665	91.3313	77.3778
DHX29	DHX29	54505	14.3053	12.1312
DHX30	DHX30	22907	30.6559	39.9334
DHX32	DHX32	55760	18.7241	14.3996
DHX33	DHX33	56919	9.13717	9.52343
DHX34	DHX34	9704	6.9087	9.21511
DHX35	DHX35	60625	4.67627	6.19596
DHX36	DHX36	170506	31.9529	30.4284
DHX37	DHX37	57647	4.78533	6.79359
DHX38	DHX38	9785	25.2189	28.6688
DHX40	DHX40	79665	37.1602	38.7579
DHX40P1	DHX40P1	107133522	1.72456	1.52764
DHX57	DHX57	90957	12.6552	14.8282
DHX8	DHX8	1659	19.8343	20.443
DHX9	DHX9	1660	115.343	110.324
DHX9P1	DHX9P1	1661	0.175047	0.0507843
DIABLO	DIABLO	56616	58.45	60.2308
DIAPH1	DIAPH1	1729	39.7076	43.8221
DIAPH2	DIAPH2	1730	1.06043	0.538465
DIAPH3	DIAPH3	81624	5.06382	4.54355
DICER1	DICER1	23405	10.3818	9.28527
DICER1-AS1	DICER1-AS1	400242	5.17017	4.37758
DIDO1	DIDO1	11083	15.6588	19.482
DIMT1	DIMT1	27292	18.7344	17.7525
DIO1	DIO1	1733	0.209113	0.0669164
DIO2	DIO2	1734	0.177575	0.0327696
DIO3	DIO3	1735	0.216265	0.256241
DIO3OS	DIO3OS	64150	0.415578	0.17894
DIP2A	DIP2A	23181	20.8898	26.2311
DIP2B	DIP2B	57609	22.5758	26.4928
DIP2C	DIP2C	22982	10.2367	9.81315
DIRAS1	DIRAS1	148252	14.425	12.7876
DIRAS2	DIRAS2	54769	2.68156	2.5344
DIRAS3	DIRAS3	9077	4.5036	6.31615
DIRC3	DIRC3	729582	0.366676	0.13533
DIS3	DIS3	22894	18.3851	14.4831
DIS3L	DIS3L	115752	11.7224	18.3505
DIS3L2	DIS3L2	129563	8.29043	13.7984
DISC1	DISC1	27185	3.14631	3.8659
DISP1	DISP1	84976	3.47459	4.42223
DISP2	DISP2	85455	2.76586	3.54949
DKK1	DKK1	22943	32.6177	16.3172
DKK2	DKK2	27123	1.02257	0.27191
DKK3	DKK3	27122	175.183	302.796
DKKL1	DKKL1	27120	3.12058	6.49017
DLC1	DLC1	10395	2.85932	1.21423
DLD	DLD	1738	48.9837	49.102
DLEC1	DLEC1	9940	0.147164	0.129797
DLEU1	DLEU1	10301	14.6758	12.0246
DLEU2	DLEU2	8847	4.05261	3.5109
DLEU2L	DLEU2L	79469	0.606548	0.13796
DLEU7	DLEU7	220107	0.0655968	0.0257409
DLG1	DLG1	1739	47.4982	53.7327
DLG2	DLG2	1740	1.83109	3.53232
DLG3	DLG3	1741	5.54479	9.35374
DLG3-AS1	DLG3-AS1	100873930	0.224043	0.507077
DLG4	DLG4	1742	27.4113	33.6787
DLG5	DLG5	9231	42.2755	43.56
DLG5-AS1	DLG5-AS1	100128292	2.64192	2.24195
DLGAP1	DLGAP1	9229	8.40487	15.1777
DLGAP1-AS1	DLGAP1-AS1	649446	8.5731	9.51623
DLGAP1-AS2	DLGAP1-AS2	84777	8.78029	9.22457
DLGAP3	DLGAP3	58512	0.378503	0.480688
DLGAP4	DLGAP4	22839	39.9099	42.8968
DLGAP5	DLGAP5	9787	30.5711	26.4695
DLK1	DLK1	8788	86.3793	169.86
DLK2	DLK2	65989	0.42454	0.292682
DLL1	DLL1	28514	8.69557	15.8453
DLL3	DLL3	10683	5.70198	6.92233
DLL4	DLL4	54567	0.0437502	0.0310141
DLST	DLST	1743	43.0248	48.4015
DLX1	DLX1	1745	8.25057	16.4606
DLX2	DLX2	1746	1.64853	2.75714
DLX5	DLX5	1749	1.01246	0.6979
DMAP1	DMAP1	55929	18.6523	28.3132
DMC1	DMC1	11144	0.39301	0.370696
DMD	DMD	1756	31.9601	30.7612
DMGDH	DMGDH	29958	1.71151	0.145233
DMPK	DMPK	1760	44.0297	59.9781
DMRT2	DMRT2	10655	0.697398	1.72983
DMRTA1	DMRTA1	63951	0.862029	0.226477
DMTF1	DMTF1	9988	69.9344	69.3965
DMTN	DMTN	2039	0.549054	0.454605
DMWD	DMWD	1762	21.2634	46.7491
DMXL1	DMXL1	1657	11.1608	8.83327
DMXL2	DMXL2	23312	24.2475	19.9794
DNA2	DNA2	1763	6.48357	8.51629
DNAAF1	DNAAF1	123872	0.342977	0.126634
DNAAF2	DNAAF2	55172	9.53045	6.60207
DNAAF3	DNAAF3	352909	2.34575	2.30022
DNAH1	DNAH1	25981	1.89737	3.31054
DNAH10	DNAH10	196385	0.474074	0.492039
DNAH10OS	DNAH10OS	642797	4.49143	3.78157
DNAH11	DNAH11	8701	0.397161	0.469929
DNAH12	DNAH12	201625	0.813558	0.238037
DNAH14	DNAH14	127602	2.66644	1.29318
DNAH17	DNAH17	8632	1.28063	0.994833
DNAH2	DNAH2	146754	0.217352	0.0322178
DNAH5	DNAH5	1767	0.753598	0.668566
DNAH6	DNAH6	1768	0.772865	0.840686
DNAH7	DNAH7	56171	0.59831	0.65677
DNAH9	DNAH9	1770	2.46772	5.15529
DNAI1	DNAI1	27019	1.15793	1.57086
DNAJA1	DNAJA1	3301	249.718	182.023
DNAJA1P3	DNAJA1P3	644588	0.229052	0.0491723
DNAJA2	DNAJA2	10294	42.4285	35.3219
DNAJA3	DNAJA3	9093	18.5959	22.1851
DNAJA4	DNAJA4	55466	1.05827	1.26704
DNAJB1	DNAJB1	3337	87.3386	52.1293
DNAJB11	DNAJB11	51726	153.167	124.12
DNAJB12	DNAJB12	54788	15.6088	18.1447
DNAJB13	DNAJB13	374407	0	0.0308877
DNAJB14	DNAJB14	79982	11.1789	10.0066
DNAJB2	DNAJB2	3300	59.0735	71.9644
DNAJB4	DNAJB4	11080	24.8503	16.0905
DNAJB5	DNAJB5	25822	13.027	23.0572
DNAJB6	DNAJB6	10049	72.2423	63.8606
DNAJB7	DNAJB7	150353	0.083974	0.0664066
DNAJB9	DNAJB9	4189	16.8445	8.40384
DNAJC1	DNAJC1	64215	10.7907	16.0966
DNAJC10	DNAJC10	54431	36.9211	29.9791
DNAJC11	DNAJC11	55735	23.5096	27.9207
DNAJC12	DNAJC12	56521	2.02721	0.605065
DNAJC13	DNAJC13	23317	14.2381	14.2953
DNAJC14	DNAJC14	85406	14.2853	16.5843
DNAJC15	DNAJC15	29103	5.36918	9.95836
DNAJC16	DNAJC16	23341	8.75897	6.53202
DNAJC17	DNAJC17	55192	9.41463	12.8846
DNAJC18	DNAJC18	202052	12.4037	15.3691
DNAJC19	DNAJC19	131118	17.0835	16.8558
DNAJC19P5	DNAJC19P5	100861453	1.41112	0.825011
DNAJC19P9	DNAJC19P9	644589	2.25696	2.918
DNAJC2	DNAJC2	27000	21.7039	15.8455
DNAJC21	DNAJC21	134218	17.3652	16.6898
DNAJC22	DNAJC22	79962	0.147358	0.993853
DNAJC24	DNAJC24	120526	13.1748	12.8415
DNAJC25	DNAJC25	548645	6.28832	4.86224
DNAJC25-GNG10	DNAJC25-GNG10	552891	7.997	6.10398
DNAJC27	DNAJC27	51277	2.09872	2.55317
DNAJC27-AS1	DNAJC27-AS1	729723	1.29279	2.35224
DNAJC3	DNAJC3	5611	25.424	16.7991
DNAJC4	DNAJC4	3338	19.3985	24.5606
DNAJC5	DNAJC5	80331	23.2142	23.1957
DNAJC6	DNAJC6	9829	4.27138	2.29959
DNAJC7	DNAJC7	7266	4.65779	8.58666
DNAJC8	DNAJC8	22826	88.7612	93.1123
DNAJC8P1	DNAJC8P1	319111	20.6009	20.908
DNAJC9	DNAJC9	23234	22.2462	25.1543
DNAL1	DNAL1	83544	8.3481	7.78537
DNAL4	DNAL4	10126	14.241	15.164
DNALI1	DNALI1	7802	16.3151	21.5529
DNASE1	DNASE1	1773	11.9168	17.4405
DNASE1L1	DNASE1L1	1774	2.6697	3.2984
DNASE1L2	DNASE1L2	1775	1.96714	1.9222
DNASE2	DNASE2	1777	12.5923	10.4694
DND1	DND1	373863	0.329756	0.595351
DND1P1	DND1P1	644157	0.264728	0.398679
DNER	DNER	92737	73.1769	50.254
DNHD1	DNHD1	144132	3.14548	2.79182
DNLZ	DNLZ	728489	9.18367	10.9174
DNM1	DNM1	1759	71.5548	63.0286
DNM1L	DNM1L	10059	42.6279	42.8925
DNM1P46	DNM1P46	196968	0.160074	0.255502
DNM1P51	DNM1P51	109729113	0.415555	0.0383522
DNM2	DNM2	1785	42.3816	46.3215
DNM3	DNM3	26052	5.53015	4.29357
DNM3OS	DNM3OS	100628315	2.07543	1.07307
DNMBP	DNMBP	23268	12.7146	12.7385
DNMT1	DNMT1	1786	35.076	47.066
DNMT3A	DNMT3A	1788	13.1489	23.5599
DNMT3B	DNMT3B	1789	2.98797	3.4133
DNPEP	DNPEP	23549	25.1197	25.0851
DNPH1	DNPH1	10591	22.7021	32.0478
DNTTIP1	DNTTIP1	116092	22.1391	23.8981
DNTTIP2	DNTTIP2	30836	29.6846	28.9036
DOC2A	DOC2A	8448	0.45452	0.559128
DOC2GP	DOC2GP	390213	2.06241	2.95556
DOCK1	DOCK1	1793	22.4313	27.4568
DOCK10	DOCK10	55619	13.1371	11.8391
DOCK11	DOCK11	139818	2.46117	2.06628
DOCK2	DOCK2	1794	1.1175	0.712355
DOCK3	DOCK3	1795	1.20048	1.5401
DOCK4	DOCK4	9732	12.5153	8.64979
DOCK5	DOCK5	80005	4.91883	8.61627
DOCK6	DOCK6	57572	4.81428	9.39055
DOCK7	DOCK7	85440	31.8586	34.6956
DOCK8	DOCK8	81704	0.0631786	0.139564
DOCK9	DOCK9	23348	4.68545	4.03066
DOHH	DOHH	83475	7.99939	9.27215
DOK1	DOK1	1796	14.6111	19.9532
DOK3	DOK3	79930	6.23456	4.51624
DOK4	DOK4	55715	7.1642	6.01007
DOK5	DOK5	55816	14.4168	27.4623
DOK6	DOK6	220164	2.73259	1.83068
DOK7	DOK7	285489	0.540481	0.585129
DOLK	DOLK	22845	16.0565	17.2517
DOLPP1	DOLPP1	57171	14.8376	17.2279
DONSON	DONSON	29980	26.4351	29.0476
DOT1L	DOT1L	84444	13.1574	18.8636
DPAGT1	DPAGT1	1798	20.9053	23.3706
DPCD	DPCD	25911	27.2787	27.9263
DPF1	DPF1	8193	6.24841	11.1064
DPF2	DPF2	5977	38.3506	44.7564
DPF3	DPF3	8110	10.8731	14.5381
DPH1	DPH1	1801	13.247	17.5039
DPH2	DPH2	1802	12.7996	13.5689
DPH3	DPH3	285381	19.8717	17.4436
DPH3P1	DPH3P1	100132911	2.13806	1.32095
DPH5	DPH5	51611	25.8359	27.3946
DPH6	DPH6	89978	9.64648	11.5729
DPH7	DPH7	92715	21.048	25.2652
DPM1	DPM1	8813	28.8721	29.9811
DPM2	DPM2	8818	27.9629	36.2208
DPM3	DPM3	54344	40.3835	51.2735
DPP10	DPP10	57628	9.55149	18.462
DPP10-AS1	DPP10-AS1	389023	1.62143	5.37721
DPP3	DPP3	10072	22.2999	24.1157
DPP4	DPP4	1803	3.20642	4.89007
DPP6	DPP6	1804	16.0639	16.0089
DPP7	DPP7	29952	32.1209	57.4147
DPP8	DPP8	54878	13.0459	10.9398
DPP9	DPP9	91039	13.1223	14.3459
DPPA2	DPPA2	151871	0	0
DPPA4	DPPA4	55211	1.20526	0
DPY19L1	DPY19L1	23333	49.164	42.8565
DPY19L1P1	DPY19L1P1	100129460	0.889682	0.968591
DPY19L1P2	DPY19L1P2	102724668	0.126989	0.137042
DPY19L2	DPY19L2	283417	1.96569	1.50879
DPY19L2P1	DPY19L2P1	554236	0.29305	0.403319
DPY19L2P2	DPY19L2P2	349152	0.697792	0.86229
DPY19L2P3	DPY19L2P3	442524	0.664887	0.223834
DPY19L2P4	DPY19L2P4	442523	0.914684	0.626407
DPY19L3	DPY19L3	147991	26.5933	26.6422
DPY19L4	DPY19L4	286148	18.3057	14.0866
DPY30	DPY30	84661	50.6645	69.693
DPYD	DPYD	1806	0.986228	0.445726
DPYSL2	DPYSL2	1808	77.1895	90.4558
DPYSL3	DPYSL3	1809	188.026	247.157
DPYSL4	DPYSL4	10570	38.4907	50.7885
DPYSL5	DPYSL5	56896	80.3986	94.5203
DQX1	DQX1	165545	0.136823	0.196704
DR1	DR1	1810	27.2741	18.866
DRAM1	DRAM1	55332	6.18662	7.20155
DRAM2	DRAM2	128338	18.284	16.4913
DRAP1	DRAP1	10589	97.6469	84.569
DRAXIN	DRAXIN	374946	15.6137	12.772
DRC1	DRC1	92749	0.116373	0.398063
DRD2	DRD2	1813	1.44059	2.89673
DRD4	DRD4	1815	0.504397	0.332473
DRG1	DRG1	4733	47.1012	43.1666
DRG2	DRG2	1819	15.379	19.8441
DROSHA	DROSHA	29102	37.9285	40.739
DRP2	DRP2	1821	1.82497	0.636048
DSC2	DSC2	1824	0.332141	0.378414
DSC3	DSC3	1825	0.131405	0.0649299
DSCAM	DSCAM	1826	0.355024	0.968725
DSCC1	DSCC1	79075	6.72713	10.5835
DSCR9	DSCR9	257203	0.376051	0.236491
DSE	DSE	29940	7.88378	3.89953
DSG2	DSG2	1829	1.0824	0.880989
DSN1	DSN1	79980	10.9344	19.1475
DSP	DSP	1832	3.51627	0.0639482
DST	DST	667	203.284	195.374
DSTN	DSTN	11034	262.854	235.748
DSTNP1	DSTNP1	387492	4.53021	4.85869
DSTYK	DSTYK	25778	8.76261	7.49115
DTD1	DTD1	92675	48.2795	57.6072
DTD2	DTD2	112487	10.7343	14.1466
DTL	DTL	51514	9.08355	13.7696
DTNA	DTNA	1837	67.892	81.5852
DTNB	DTNB	1838	4.48812	6.71415
DTNBP1	DTNBP1	84062	9.0593	7.44394
DTWD1	DTWD1	56986	15.0265	18.9877
DTWD2	DTWD2	285605	2.59125	2.54397
DTX1	DTX1	1840	5.89231	6.95191
DTX2	DTX2	113878	7.99651	4.67969
DTX2P1	DTX2P1	107161144	1.05212	0.371707
DTX2P1-UPK3BP1-PMS2P11	DTX2P1-UPK3BP1-PMS2P11	441263	0.313175	0.677332
DTX3	DTX3	196403	41.5332	67.4535
DTX3L	DTX3L	151636	8.44081	9.32723
DTX4	DTX4	23220	22.5287	22.3526
DTYMK	DTYMK	1841	42.9918	52.4896
DUOX1	DUOX1	53905	0.465309	0.491252
DUOXA1	DUOXA1	90527	0.265459	0
DUS1L	DUS1L	64118	19.9161	33.0385
DUS2	DUS2	54920	9.8101	9.11084
DUS3L	DUS3L	56931	8.08582	13.4199
DUS4L	DUS4L	11062	6.78665	4.87009
DUSP1	DUSP1	1843	6.83299	6.19014
DUSP10	DUSP10	11221	1.51335	1.52466
DUSP11	DUSP11	8446	12.5863	9.76732
DUSP12	DUSP12	11266	21.9607	20.429
DUSP14	DUSP14	11072	25.3247	20.8886
DUSP15	DUSP15	128853	3.13102	1.73402
DUSP16	DUSP16	80824	7.01454	6.56068
DUSP18	DUSP18	150290	4.44939	4.79552
DUSP19	DUSP19	142679	0.557401	0.586526
DUSP2	DUSP2	1844	0.153403	0.256555
DUSP22	DUSP22	56940	16.9985	13.794
DUSP23	DUSP23	54935	5.24265	4.61514
DUSP26	DUSP26	78986	0.411902	1.35134
DUSP28	DUSP28	285193	3.44216	3.15005
DUSP3	DUSP3	1845	20.5195	17.6465
DUSP4	DUSP4	1846	39.9055	49.2178
DUSP5	DUSP5	1847	11.3525	5.26958
DUSP5P1	DUSP5P1	574029	1.05093	0.925603
DUSP6	DUSP6	1848	162.576	180.493
DUSP7	DUSP7	1849	3.6653	2.71293
DUSP8	DUSP8	1850	1.42102	2.53925
DUSP8P5	DUSP8P5	106903081	1.07462	1.35876
DUT	DUT	1854	58.8765	68.68
DUTP6	DUTP6	100873912	0.339249	0.378044
DUTP7	DUTP7	100873913	0	0
DVL1	DVL1	1855	15.5054	22.0214
DVL2	DVL2	1856	25.0111	38.9123
DVL3	DVL3	1857	39.0371	44.1435
DYDC2	DYDC2	84332	0.0834498	0.192683
DYM	DYM	54808	12.5455	12.1428
DYNC1H1	DYNC1H1	1778	142.294	133.501
DYNC1I1	DYNC1I1	1780	0.103864	0.0184151
DYNC1I2	DYNC1I2	1781	96.9558	101.918
DYNC1I2P1	DYNC1I2P1	728532	13.2729	12.116
DYNC1LI1	DYNC1LI1	51143	26.6783	25.4238
DYNC1LI2	DYNC1LI2	1783	77.9676	65.9866
DYNC2H1	DYNC2H1	79659	12.931	13.0764
DYNC2LI1	DYNC2LI1	51626	17.0912	18.4787
DYNLL1	DYNLL1	8655	374.601	411.186
DYNLL2	DYNLL2	140735	18.6052	22.8306
DYNLRB1	DYNLRB1	83658	165.75	199.886
DYNLRB2	DYNLRB2	83657	0.443827	0.338839
DYNLT1	DYNLT1	6993	182.463	228.835
DYNLT3	DYNLT3	6990	33.7532	24.0635
DYRK1A	DYRK1A	1859	17.9957	15.8846
DYRK1B	DYRK1B	9149	12.9324	15.4456
DYRK2	DYRK2	8445	6.021	3.4798
DYRK4	DYRK4	8798	21.5557	29.2894
DYSF	DYSF	8291	0.214281	0.376263
DZANK1	DZANK1	55184	3.12574	2.386
DZIP1	DZIP1	22873	24.11	23.9937
DZIP1L	DZIP1L	199221	2.93766	3.35359
DZIP3	DZIP3	9666	10.0319	10.1693
E2F1	E2F1	1869	7.56646	16.1804
E2F2	E2F2	1870	3.24859	3.7317
E2F3	E2F3	1871	15.2643	12.6596
E2F4	E2F4	1874	22.7699	30.833
E2F5	E2F5	1875	38.2008	38.2574
E2F6	E2F6	1876	14.9492	9.78721
E2F7	E2F7	144455	8.21683	8.9565
E2F8	E2F8	79733	2.43533	4.01989
E4F1	E4F1	1877	9.89668	11.7315
EAF1	EAF1	85403	13.7358	10.7898
EAF1-AS1	EAF1-AS1	100873956	0.967309	0.167024
EAF2	EAF2	55840	4.12445	7.35171
EAPP	EAPP	55837	22.2694	22.9422
EARS2	EARS2	124454	13.4879	9.93737
EBAG9	EBAG9	9166	13.9176	12.4754
EBAG9P1	EBAG9P1	100422254	0.261507	0.720161
EBF1	EBF1	1879	1.7558	0.397541
EBF2	EBF2	64641	3.20039	0.00983679
EBF3	EBF3	253738	0.429216	0.356749
EBF4	EBF4	57593	8.28886	11.8598
EBI3	EBI3	10148	0.230896	0.247868
EBLN2	EBLN2	55096	1.57418	1.02245
EBNA1BP2	EBNA1BP2	10969	41.157	35.1123
EBPL	EBPL	84650	24.3803	20.9594
ECD	ECD	11319	12.7492	16.7515
ECE1	ECE1	1889	22.965	29.5907
ECE2	ECE2	9718	1.95538	0.93553
ECEL1	ECEL1	9427	0.071164	0.0783687
ECH1	ECH1	1891	38.7721	45.3877
ECHDC1	ECHDC1	55862	49.9417	51.0368
ECHDC2	ECHDC2	55268	1.22883	2.50205
ECHDC3	ECHDC3	79746	1.31072	1.26207
ECHS1	ECHS1	1892	52.4692	64.7657
ECI1	ECI1	1632	27.3495	33.8634
ECI2	ECI2	10455	103.1	67.3348
ECM1	ECM1	1893	7.06614	4.96559
ECM2	ECM2	1842	0.843272	1.34368
ECSCR	ECSCR	641700	0.709565	1.70023
ECSIT	ECSIT	51295	12.2813	11.3654
ECT2	ECT2	1894	29.3223	25.0166
EDA	EDA	1896	0.415466	0.258905
EDA2R	EDA2R	60401	15.7743	17.5885
EDARADD	EDARADD	128178	1.77528	0.0556284
EDC3	EDC3	80153	21.1346	19.2133
EDC4	EDC4	23644	27.0712	31.3058
EDEM1	EDEM1	9695	9.32655	7.55483
EDEM2	EDEM2	55741	10.2926	11.6197
EDEM3	EDEM3	80267	20.8981	15.5836
EDF1	EDF1	8721	206.648	246.471
EDIL3	EDIL3	10085	5.73787	0.445093
EDN1	EDN1	1906	0.373954	0.930713
EDN3	EDN3	1908	0.555292	0
EDNRA	EDNRA	1909	29.0982	1.08816
EDNRB	EDNRB	1910	15.5973	23.4148
EDRF1	EDRF1	26098	13.3368	15.0697
EDRF1-AS1	EDRF1-AS1	101927983	0.495686	0.806065
EEA1	EEA1	8411	6.81996	3.89416
