SYMBOL,ENTREZID,Control 1a C1A_NA,Control 1b C1B_NA,Control 2a C2A_NA,Control 2b C2B_NA,Control 3a C3a_NA,Control 3b C3b_NA,Control 4a C4a_NA,Tissue (HPA),Cell type (HPA),Level (HPA),Reliability (HPA)
FBXO44,93611,10.2163,9.46836,12.1976,8.55592,13.7435,15.3623,18.1823,cerebral-cortex,glial-cells,High,Approved
FBXO45,200933,3.64236,3.32483,4.00767,5.12221,2.30558,2.62679,1.9302,NA,NA,NA,NA
FBXO46,23403,6.9805,5.76479,7.37159,6.02303,4.47401,3.23761,3.08534,NA,NA,NA,NA
FBXO48,554251,0.283067,0.312261,0.214211,0.258362,0.263687,0.20844,0.0857711,NA,NA,NA,NA
FBXO5,26271,7.75038,7.81324,7.20944,9.52361,2.17592,1.76472,0.57236,cerebral-cortex,glial-cells,Medium,Approved
FBXO6,26270,6.35554,5.728,3.25613,2.4688,7.60325,8.04081,13.7322,cerebral-cortex,glial-cells,Low,Approved
FBXO7,25793,50.3099,54.0426,56.6386,64.9813,59.9775,58.9743,78.0927,NA,NA,NA,NA
FBXO8,26269,7.59004,8.69351,9.32972,10.6274,9.09797,9.70073,8.02805,NA,NA,NA,NA
FBXO9,26268,42.8095,42.8679,63.432,56.6627,76.7693,72.4109,74.5769,NA,NA,NA,NA
FBXW11,23291,21.1837,22.2738,24.7519,26.3035,28.5964,25.7368,29.7423,NA,NA,NA,NA
FBXW11P1,54099,0.232726,0.601942,0.378704,0.360499,0.365222,0.42803,0.301288,NA,NA,NA,NA
FBXW2,26190,38.7904,37.4941,32.7192,30.5249,35.7979,33.243,31.0064,NA,NA,NA,NA
FBXW4,6468,11.5356,13.1086,17.2205,11.5241,17.1683,14.8719,26.3681,NA,NA,NA,NA
FBXW4P1,26226,0.129355,0.444811,0.405934,0.65888,0.502406,0.437953,0.711671,NA,NA,NA,NA
FBXW5,54461,47.1051,47.7974,44.5852,42.9642,64.8499,75.0942,70.5048,NA,NA,NA,NA
FBXW7,55294,5.52869,7.44178,6.23321,8.82001,6.92617,4.73819,5.58294,cerebral-cortex,glial-cells,Medium,Supported
FBXW8,26259,8.51934,9.75228,8.91828,7.77221,10.364,8.83922,11.4211,NA,NA,NA,NA
FBXW9,84261,3.9277,4.71053,5.92682,4.29021,5.5839,5.39705,5.07469,cerebral-cortex,glial-cells,Low,Approved
FCER1G,2207,0.168865,0.71473,0.8067,1.02655,0.715608,0.686418,0.9446,cerebral-cortex,glial-cells,Medium,Supported
FCF1,51077,28.3071,31.8853,27.2874,31.9927,27.3136,22.7681,24.9367,cerebral-cortex,glial-cells,Medium,Approved
FCF1P1,100422533,0.889986,0.470857,0.558604,1.14517,0.125718,0.669721,0.576011,NA,NA,NA,NA
FCF1P2,101060195,4.22387,4.01326,5.13996,5.26855,5.1142,3.89201,3.7938,NA,NA,NA,NA
FCF1P6,100422535,1.08647,0.619018,1.74854,0.358459,0.472222,1.13202,1.29819,NA,NA,NA,NA
FCGRT,2217,91.9979,91.8879,57.0722,53.4153,99.4293,118.776,108.551,NA,NA,NA,NA
FCHO1,23149,0.602712,0.726204,0.422712,0.303862,1.86223,1.66431,1.83099,NA,NA,NA,NA
FCHO2,115548,7.70787,7.06563,8.78151,9.08865,7.86275,7.66355,3.9752,cerebral-cortex,glial-cells,Medium,Enhanced
FCHSD1,89848,31.1371,29.168,30.4297,27.4218,43.9054,37.0048,30.7339,cerebral-cortex,glial-cells,Low,Approved
FCHSD2,9873,22.3584,24.2816,17.4574,19.1868,40.054,34.7102,34.5506,NA,NA,NA,NA
FCRLA,84824,0.965372,1.19979,0.447735,0.335832,0.538755,0.827559,0.852287,NA,NA,NA,NA
FCRLB,127943,0.772625,1.13113,0.395791,0.436573,0.499526,0.316301,0.585249,NA,NA,NA,NA
FDFT1,2222,91.0996,93.013,90.0226,83.834,163.861,170.862,256.326,NA,NA,NA,NA
FDPS,2224,114.656,116.396,149.139,126.05,232.686,237.087,402.241,NA,NA,NA,NA
FDPSP1,343332,0.756782,0.800757,0.910413,1.05502,1.33612,1.25272,3.57594,NA,NA,NA,NA
FDPSP4,2228,0.116463,0.0410768,0.0406103,0.333045,0.27416,0,0.100513,NA,NA,NA,NA
FDPSP5,2229,0.230748,0.366235,0.160923,0.371173,0.706152,0.405114,0.896161,NA,NA,NA,NA
FDPSP8,401981,0.111216,0.666844,0.116342,0.397551,0.209445,0.502086,0.383939,NA,NA,NA,NA
FDX1,2230,3.37365,3.24517,2.42916,2.67829,2.89289,3.06569,2.86453,NA,NA,NA,NA
FDX1P1,2231,0.188174,0.298726,0.0984236,0,0.132913,0.849622,0.243575,NA,NA,NA,NA
FDXR,2232,9.04779,8.70832,8.04312,6.62439,12.9142,9.47371,24.2305,NA,NA,NA,NA
FECH,2235,14.2476,13.4087,12.6928,14.4527,19.0351,19.7251,22.1677,cerebral-cortex,glial-cells,Low,Approved
FEM1A,55527,1.84736,3.37602,4.0402,3.00115,3.67639,3.30414,3.61367,NA,NA,NA,NA
FEM1B,10116,52.3564,45.2957,51.6793,53.2491,56.9687,53.9228,31.5748,NA,NA,NA,NA
FEM1C,56929,4.42217,4.33782,3.40508,4.101,3.72745,3.48595,3.3106,cerebral-cortex,glial-cells,Low,Approved
FEN1,2237,20.219,18.4994,25.6658,29.5477,9.81732,9.48993,9.40269,cerebral-cortex,glial-cells,Low,Enhanced
FENDRR,400550,4.32688,4.06448,0.0381421,0.205358,2.17343,3.75889,0.521571,NA,NA,NA,NA
FER,2241,9.19744,5.65798,6.99281,6.88817,3.85865,6.39789,1.69249,cerebral-cortex,glial-cells,Low,Approved
FER1L4,80307,3.73292,3.68551,4.12887,8.68347,3.38924,5.51917,3.70724,NA,NA,NA,NA
FERMT1,55612,0.887694,0.670665,1.66862,2.66173,1.16184,1.32558,0.61399,NA,NA,NA,NA
FERMT2,10979,207.774,184.889,169.156,156.582,128.905,138.972,81.0933,NA,NA,NA,NA
FERMT3,83706,1.83464,1.37563,2.13706,1.16683,3.02638,3.94603,2.09727,NA,NA,NA,NA
FERP1,553112,3.54076,2.92534,0.944902,1.74085,1.03331,1.57819,0,NA,NA,NA,NA
FES,2242,2.85238,2.62016,2.89376,1.85199,0.835463,0.488742,0.0601302,cerebral-cortex,glial-cells,Low,Approved
FEZ1,9638,32.312,30.2856,28.1855,24.9633,31.7088,37.2767,16.7794,NA,NA,NA,NA
FEZ2,9637,39.2329,40.4055,53.4179,63.4016,57.7312,59.7994,66.068,NA,NA,NA,NA
FGD1,2245,8.54775,8.26652,6.93027,7.1915,5.226,5.34911,5.96205,NA,NA,NA,NA
FGD4,121512,9.52233,7.95442,1.19102,1.85341,6.13966,4.57098,2.84862,NA,NA,NA,NA
FGD5-AS1,100505641,42.2993,42.9742,35.9469,36.7229,25.072,24.4437,21.0536,NA,NA,NA,NA
FGD6,55785,2.18642,2.50416,2.94716,3.28683,3.16564,3.06855,1.60819,cerebral-cortex,glial-cells,Medium,Approved
FGF1,2246,22.3464,14.6235,39.8377,34.9684,60.1996,63.8839,84.493,NA,NA,NA,NA
FGF11,2256,0.950726,1.03854,2.14327,2.17833,7.36925,9.29138,3.88001,NA,NA,NA,NA
FGF13,2258,0.165028,0.0972831,0.357436,0.400277,0,0,0.0875928,NA,NA,NA,NA
FGF14,2259,4.45643,4.5826,0.362834,0.257519,0.0502422,0.028786,2.42227,NA,NA,NA,NA
FGF18,8817,0.202846,0.312194,0.0771622,0.138432,0.130224,0.027749,0.119368,NA,NA,NA,NA
FGF2,2247,11.1779,10.8568,12.8405,14.2155,16.9164,18.2302,8.7574,cerebral-cortex,glial-cells,Medium,Enhanced
FGF20,26281,0.282391,0.298913,0.295771,0.151413,1.99501,0.850201,0.182785,NA,NA,NA,NA
FGF22,27006,0.0435699,0.120998,0.252369,0.169334,0.221999,0.19669,0.129914,NA,NA,NA,NA
FGF5,2250,27.3214,26.593,52.5283,52.7809,65.6088,58.5265,37.4592,NA,NA,NA,NA
FGF7,2252,2.34068,1.65567,12.1861,11.6879,6.72754,15.5565,0.287935,NA,NA,NA,NA
FGFBP3,143282,1.02133,0.837492,0.304359,0.226952,0.436319,0.418314,0.254519,NA,NA,NA,NA
FGFR1,2260,189.258,176.996,76.1306,91.1857,71.8776,90.7319,106.394,cerebral-cortex,glial-cells,Low,Approved
FGFR1OP,11116,8.76562,9.05709,7.21606,8.28595,7.63885,7.93544,5.3968,NA,NA,NA,NA
FGFR1OP2,26127,21.8242,23.7976,28.1606,26.686,34.4856,36.5386,14.6343,cerebral-cortex,glial-cells,Low,Supported
FGFR2,2263,0.0515367,0,0.992302,1.09014,0,0.0528692,0.03337,NA,NA,NA,NA
FGFR3,2261,1.95567,1.67877,0.66481,0.641575,0.149676,0.168272,0.548858,cerebral-cortex,glial-cells,Medium,Enhanced
FGFR4,2264,0.452792,0.270104,1.37084,2.1494,0.313219,0.459464,0.645554,NA,NA,NA,NA
FGFRL1,53834,21.2694,22.0348,20.7558,19.6302,24.7782,28.7008,36.9665,NA,NA,NA,NA
FGGY,55277,5.13749,5.45698,4.16436,7.39481,8.80249,7.60425,17.7478,NA,NA,NA,NA
FH,2271,41.2055,41.718,37.9678,40.5216,31.1058,34.4327,44.0876,cerebral-cortex,glial-cells,Low,Enhanced
FHAD1,114827,0.347386,0.0318544,0.1576,0.241312,0,0.0118955,0.15656,NA,NA,NA,NA
FHDC1,85462,0.123776,0.171938,0.301566,0.241727,0.0814328,0.0788735,0.0950079,NA,NA,NA,NA
FHIT,2272,0,0,0.70791,0.290286,0,0.0595365,0,cerebral-cortex,glial-cells,Medium,Enhanced
FHL1,2273,386.283,359.773,126.477,96.4919,73.0869,69.7803,177.405,NA,NA,NA,NA
FHL2,2274,177.917,165.011,125.882,110.777,311.491,334.494,354.4,NA,NA,NA,NA
FHL3,2275,43.5001,42.7781,32.7503,28.0044,25.292,26.3387,22.0429,NA,NA,NA,NA
FHOD1,29109,49.7662,48.4781,43.8417,43.9029,42.2523,39.6532,60.4247,NA,NA,NA,NA
FHOD3,80206,1.11972,1.16632,9.15098,10.6805,1.91248,2.10807,6.58534,NA,NA,NA,NA
FHP1,100873790,0.328021,0.621177,0.686171,0.626584,0.833796,0.592251,1.01884,NA,NA,NA,NA
FIBCD1,84929,0.31429,0.42783,4.75827,4.8716,3.76274,3.31516,20.2055,NA,NA,NA,NA
FIBIN,387758,16.8922,21.553,3.3056,2.58258,10.1204,9.669,18.8278,NA,NA,NA,NA
FIBP,9158,105.077,99.3652,88.1196,76.5819,109.268,112.949,107.009,NA,NA,NA,NA
FICD,11153,3.08643,3.56097,4.10993,3.47098,5.44262,6.08518,4.75201,NA,NA,NA,NA
FIG4,9896,4.83162,5.33901,5.09704,7.25886,10.9396,8.50156,9.20833,cerebral-cortex,glial-cells,Medium,Approved
FIGN,55137,1.10976,0.991867,1.4895,1.92031,1.60492,1.04303,0.534073,cerebral-cortex,glial-cells,Medium,Approved
FIGNL1,63979,3.85729,3.7434,4.91678,3.73512,2.47702,2.19444,0.829218,cerebral-cortex,glial-cells,Low,Approved
FILIP1,27145,0.0277126,0.00974822,0.00966256,0.0594387,0.13609,0.0972995,0.0956781,NA,NA,NA,NA
FILIP1L,11259,39.655,38.0123,19.6783,18.7646,40.5026,42.3352,14.1143,NA,NA,NA,NA
FIP1L1,81608,81.2582,82.4995,66.9464,69.9356,77.4121,72.6602,45.8924,cerebral-cortex,glial-cells,Low,Supported
FIS1,51024,134.406,128.405,140.134,112.757,164,165.923,195.832,NA,NA,NA,NA
FITM2,128486,3.04735,2.58271,3.32096,3.07541,3.64825,3.85315,7.50281,NA,NA,NA,NA
FIZ1,84922,7.18289,8.025,7.2029,7.47316,5.40864,4.02185,3.5215,NA,NA,NA,NA
FJX1,24147,11.1066,8.71147,9.2045,8.72275,7.74977,7.76084,18.6749,NA,NA,NA,NA
FKBP11,51303,113.67,104.601,6.57174,7.01184,7.56953,5.63917,36.48,NA,NA,NA,NA
FKBP14,55033,66.2709,59.9079,50.2305,50.7131,74.1516,69.4172,62.2799,NA,NA,NA,NA
FKBP15,23307,14.0105,12.5061,14.5581,11.6389,16.3579,17.119,16.0651,cerebral-cortex,glial-cells,Medium,Approved
FKBP1A,2280,149.506,150.473,134.416,156.384,209.882,194.761,434.581,NA,NA,NA,NA
FKBP1B,2281,2.36067,2.76519,4.97524,6.14495,9.28224,10.3423,7.95801,NA,NA,NA,NA
FKBP1C,642489,1.93547,2.07262,3.47345,3.12534,3.23892,2.37246,6.18509,NA,NA,NA,NA
FKBP2,2286,67.0308,65.7409,66.683,50.5303,84.3699,99.1052,99.001,NA,NA,NA,NA
FKBP3,2287,38.5284,39.8731,66.0929,66.1409,53.3452,50.3621,26.7549,cerebral-cortex,glial-cells,Low,Supported
FKBP4,2288,21.4291,20.5309,36.2191,40.9877,35.0414,36.9331,38.6498,cerebral-cortex,glial-cells,Medium,Approved
FKBP4P1,100132656,0.201072,0.182362,0.360582,0.308041,0.446276,0.1729,0.148747,NA,NA,NA,NA
FKBP5,2289,10.3512,9.24275,7.40392,8.64861,4.40192,5.14771,2.21033,cerebral-cortex,glial-cells,Medium,Enhanced
FKBP7,51661,51.5326,59.6162,42.049,41.4851,68.2161,67.4543,60.2339,NA,NA,NA,NA
FKBP8,23770,123.231,133.016,140.497,138.477,178.279,221.701,209.796,cerebral-cortex,glial-cells,Low,Supported
FKBP9,11328,92.3522,92.1626,105.649,115.412,103.737,99.1223,81.5074,cerebral-cortex,glial-cells,Medium,Approved
FKRP,79147,14.8316,14.3285,15.2224,15.1909,17.8101,14.7351,17.4412,NA,NA,NA,NA
FKTN,2218,8.61223,9.39079,8.72842,11.5622,7.82094,7.56466,5.13425,NA,NA,NA,NA
FLAD1,80308,17.0896,17.4285,18.1792,15.5479,17.8476,19.6494,32.5116,cerebral-cortex,glial-cells,Low,Approved
FLCN,201163,11.2781,8.02658,11.8593,16.4949,14.308,9.98674,16.7646,cerebral-cortex,glial-cells,Low,Supported
FLG-AS1,339400,0.145446,0.282628,1.49349,1.55059,0.0175336,0,0.116047,NA,NA,NA,NA
FLI1,2313,22.26,22.5294,12.0584,13.5958,21.0419,21.0851,13.2169,NA,NA,NA,NA
FLII,2314,159.634,161.336,148.531,122.569,242.659,254.498,274.613,cerebral-cortex,glial-cells,Low,Approved
FLNB,2317,74.9432,67.8116,149.523,131.914,129.141,135.783,114.779,NA,NA,NA,NA
FLNB-AS1,105377105,1.76549,1.19152,1.26025,1.46263,1.03762,1.68657,0.797633,NA,NA,NA,NA
FLNC,2318,58.661,50.9806,117.218,100.372,122.612,130.644,118.204,NA,NA,NA,NA
FLOT2,2319,28.3789,29.6142,28.6777,31.3328,40.4884,44.5255,58.3682,cerebral-cortex,glial-cells,Medium,Supported
FLRT1,23769,0.18442,0.139393,0.399787,0.327871,0.0689261,0.073436,0.0379097,NA,NA,NA,NA
FLRT2,23768,20.712,21.409,3.1711,3.39517,20.8707,22.105,23.5485,NA,NA,NA,NA
FLRT3,23767,0.577353,0.535803,0.0639318,0.131084,0.0123303,0.0262748,0.203456,cerebral-cortex,glial-cells,Low,Enhanced
FLT1,2321,22.7664,18.6831,0.787454,0.61912,44.2518,43.1407,23.934,NA,NA,NA,NA
FLT1P1,391533,0.117671,0.21789,0,0.0315475,0.623245,0.354146,0.380841,NA,NA,NA,NA
FLT3LG,2323,3.10291,5.31385,0.834893,0.998156,1.10221,0.926372,0.651279,NA,NA,NA,NA
FLT4,2324,0,0.239693,0.320204,0.203232,0,0.102477,0.0667722,cerebral-cortex,glial-cells,Low,Approved
FLVCR1,28982,3.31489,2.3,3.56921,2.59694,2.85665,4.13394,2.53117,NA,NA,NA,NA
FLVCR2,55640,3.30514,2.41933,5.38243,2.22837,9.03727,13.8126,13.2551,cerebral-cortex,glial-cells,Low,Enhanced
FLYWCH1,84256,21.064,19.9221,23.5362,20.944,32.8898,31.9233,40.1238,cerebral-cortex,glial-cells,Medium,Approved
FLYWCH2,114984,32.421,31.3004,30.1729,22.7972,25.6647,28.0684,29.0785,NA,NA,NA,NA
FMN1,342184,2.81396,3.69484,8.14061,8.96202,6.05531,7.20354,5.35046,NA,NA,NA,NA
FMN2,56776,13.9886,16.5262,15.9143,16.6028,19.0774,17.3302,10.8143,NA,NA,NA,NA
FMNL1,752,0.269069,0.286383,6.54086,6.86968,0.280478,1.06341,0.348274,NA,NA,NA,NA
FMNL2,114793,7.5608,7.94752,2.19358,3.75126,4.70024,5.76721,6.36271,cerebral-cortex,glial-cells,Low,Enhanced
FMNL3,91010,16.0799,16.0305,16.7871,15.231,15.3502,14.1638,13.1621,NA,NA,NA,NA
FMO4,2329,0.144477,0.647112,0.298101,0.125248,0.215051,0.455654,0.747454,NA,NA,NA,NA
FN3K,64122,1.82783,2.33634,1.34263,0.73889,2.09512,2.83521,2.95369,NA,NA,NA,NA
FN3KRP,79672,13.9025,11.7648,15.2097,13.9559,14.199,15.1557,20.8885,cerebral-cortex,glial-cells,Low,Approved
FNBP1,23048,9.53715,11.6636,5.83317,6.17325,8.1596,7.6007,15.6549,NA,NA,NA,NA
FNBP1L,54874,11.3682,10.7901,15.4302,17.0922,6.8235,7.7956,4.45615,cerebral-cortex,glial-cells,Medium,Approved
FNBP1P1,100533642,0.220299,0.388501,0.249658,0.27563,0.1815,0.138126,0.142603,NA,NA,NA,NA
FNBP4,23360,58.678,51.1797,43.7625,46.7826,48.4621,40.6605,13.6822,NA,NA,NA,NA
FNDC1,84624,0.267266,0.173124,6.26478,5.9853,1.34127,0.687734,0.34219,cerebral-cortex,glial-cells,Low,Approved
FNDC3A,22862,16.1418,15.2424,17.6115,18.5354,12.7919,12.7588,6.20082,cerebral-cortex,glial-cells,Low,Approved
FNDC3B,64778,72.942,59.4536,73.1838,76.864,81.8934,89.4012,44.8426,NA,NA,NA,NA
FNDC4,64838,7.63234,7.56181,15.9319,16.085,12.9695,16.2057,21.3976,NA,NA,NA,NA
FNDC5,252995,5.45035,4.00756,3.15066,5.17945,1.97918,2.3129,0.784726,NA,NA,NA,NA
FNIP1,96459,3.94459,4.2365,4.20195,5.16446,3.27486,3.43572,1.84929,NA,NA,NA,NA
FNIP2,57600,6.38285,6.09097,4.97921,4.64997,6.52924,5.97336,4.10433,cerebral-cortex,glial-cells,Medium,Approved
FNTA,2339,30.5205,34.6367,28.6571,25.9326,29.0195,26.8669,40.2617,cerebral-cortex,glial-cells,Medium,Approved
FNTAP2,2341,0.152101,0.402406,0.159111,0.326164,0.322263,0.457822,0.0984612,NA,NA,NA,NA
FNTB,2342,24.1314,20.6262,25.63,24.0342,30.1443,23.4874,38.2683,NA,NA,NA,NA
FOCAD,54914,22.857,23.7242,11.1339,14.6393,36.8364,31.9638,44.7976,NA,NA,NA,NA
FOLR3,2352,0,0.0451008,0.0630801,0.0646566,0,0.128325,2.51043,NA,NA,NA,NA
FOPNL,123811,14.8272,19.953,19.4217,27.3906,17.301,17.7372,14.2085,cerebral-cortex,glial-cells,Low,Supported
FOS,2353,3.81446,4.50137,5.54749,4.37982,2.14801,14.1008,1.52536,cerebral-cortex,glial-cells,Low,Approved
FOSB,2354,0.632715,0.457658,4.35306,3.48505,0.559567,3.33976,0.681781,NA,NA,NA,NA
FOSL1,8061,36.3162,29.6547,29.1886,33.8499,40.2574,34.4098,60.5098,NA,NA,NA,NA
FOSL2,2355,41.8031,40.085,83.6941,69.0652,42.5515,41.569,45.8216,NA,NA,NA,NA
FOXA1,3169,0.0247414,0.113784,0.0216138,0.0132655,0.104821,0.0933194,0.187196,NA,NA,NA,NA
FOXC1,2296,12.1479,12.7894,1.00771,1.16359,0.42964,0.320426,1.20777,cerebral-cortex,glial-cells,Low,Enhanced
FOXC2,2303,26.69,25.1243,12.7474,11.5014,14.5287,13.2532,15.0702,NA,NA,NA,NA
FOXD1,2297,2.78613,2.90546,14.4378,17.7537,8.69071,8.80702,7.54897,NA,NA,NA,NA
FOXD2-AS1,84793,2.11071,1.99191,0.0149189,0.0458836,0.140996,0.107301,0.129245,NA,NA,NA,NA
FOXE1,2304,0.0101277,0.0107162,0.0211889,0.0108613,0.600756,0.548625,1.32429,NA,NA,NA,NA
FOXF1,2294,8.55221,8.37231,5.86244,7.9786,9.91831,10.923,7.32734,NA,NA,NA,NA
FOXF2,2295,16.6901,17.73,0.034676,0,0,0,0.32186,NA,NA,NA,NA
FOXG1,2290,0.0138107,0.0146133,2.2728,3.28118,0,0.0207828,0.0536453,NA,NA,NA,NA
FOXJ2,55810,7.36854,7.48602,9.92204,8.39202,6.44386,6.33432,6.36127,cerebral-cortex,glial-cells,Low,Approved
FOXJ3,22887,11.8694,13.8558,13.3957,15.5929,12.7394,10.9686,12.7592,NA,NA,NA,NA
FOXK1,221937,3.88894,3.89177,4.28858,3.75021,2.51914,2.86929,2.40878,cerebral-cortex,glial-cells,High,Enhanced
FOXK2,3607,21.8352,20.0008,19.2225,20.4403,15.8989,21.4681,24.8266,cerebral-cortex,glial-cells,Low,Approved
FOXL1,2300,14.411,13.614,3.82366,3.55708,15.9695,15.7124,11.5233,NA,NA,NA,NA
FOXM1,2305,15.4053,13.3005,17.4224,17.7866,2.38694,1.74634,1.18743,NA,NA,NA,NA
FOXN2,3344,3.26592,2.90142,2.21267,2.70248,2.16102,2.63199,1.22378,cerebral-cortex,glial-cells,Medium,Supported
FOXN3,1112,18.8903,12.6651,33.6678,38.0533,16.732,18.7323,26.8136,NA,NA,NA,NA
FOXN3-AS1,400236,0.375799,0.675982,0.864864,1.12839,1.64544,0.904828,1.5568,NA,NA,NA,NA
FOXN3P1,643976,0.128686,0.136163,0.457698,0.303607,0.218105,0.116188,0.299875,NA,NA,NA,NA
FOXO1,2308,0.695871,3.0554,2.35571,1.13158,0.419999,0.384833,0.192504,NA,NA,NA,NA
FOXO3,2309,3.62272,3.41439,3.14548,3.56047,2.48884,2.65193,2.45444,NA,NA,NA,NA
FOXO3B,2310,1.27702,1.04871,1.07668,0.899372,0.565313,0.917793,0.394808,NA,NA,NA,NA
FOXO4,4303,2.22649,2.16079,3.54856,2.53173,4.93964,3.33819,2.8962,NA,NA,NA,NA
FOXP1,27086,35.5456,31.4815,33.2009,32.1612,17.0832,16.6582,9.61049,NA,NA,NA,NA
FOXP2,93986,2.63345,2.10321,0.16221,0.16646,0,0,0.030614,NA,NA,NA,NA
FOXP4,116113,9.89001,9.24511,10.6157,10.6581,8.54216,9.62402,12.2171,cerebral-cortex,glial-cells,High,Approved
FOXRED1,55572,11.0604,9.31577,9.11779,9.68881,6.71594,6.04294,4.56663,NA,NA,NA,NA
FOXRED2,80020,2.98621,3.24394,2.87649,2.89099,1.4371,1.07843,1.72831,cerebral-cortex,glial-cells,Low,Approved
FOXS1,2307,2.03346,1.65269,5.91913,3.44483,0.249744,0.133043,1.52609,cerebral-cortex,glial-cells,Low,Approved
FPGS,2356,60.4583,56.4317,67.2307,54.3202,66.131,68.5129,78.1753,NA,NA,NA,NA
FPGT,8790,4.56711,5.2,4.15282,5.60729,4.4316,5.08517,5.57735,NA,NA,NA,NA
FPGT-TNNI3K,100526835,1.12109,0.403977,0.204161,0.791581,0.357443,0.126474,0.054304,NA,NA,NA,NA
FRA10AC1,118924,12.3693,13.0291,14.535,15.472,11.7625,12.2662,6.41462,NA,NA,NA,NA
FRAS1,80144,0.291994,0.133411,0.0799681,0.034564,0.102581,0.0807518,0.434325,NA,NA,NA,NA
FRAT1,10023,0.608983,0.724994,0.16865,0.326563,0.0379496,0.114705,0.390649,cerebral-cortex,glial-cells,Low,Approved
FRAT2,23401,1.59404,2.09614,1.82223,2.11362,1.06765,1.03313,1.34034,NA,NA,NA,NA
FRMD3,257019,0.490479,0.11618,0.0853786,0.0716187,0.1154,0.122828,2.65808,NA,NA,NA,NA
FRMD4A,55691,56.5635,48.0369,132.485,116.544,115.075,107.548,61.6485,NA,NA,NA,NA
FRMD4B,23150,0.189049,0.0782636,0.0483558,0.0991549,0.248103,0.137446,0.0598497,NA,NA,NA,NA
FRMD5,84978,3.20321,3.52027,8.68037,10.9598,2.69073,2.196,1.85598,NA,NA,NA,NA
FRMD6,122786,204.512,203.417,317.282,276.285,516.808,503.779,383.062,NA,NA,NA,NA
FRMD6-AS2,100874185,0.18156,0.487069,0,0.203513,0.122444,0,0.224339,NA,NA,NA,NA
FRMD8,83786,28.425,29.7496,27.3793,28.3477,22.2768,27.6102,45.5738,cerebral-cortex,glial-cells,Medium,Approved
FRMD8P1,83957,0.447859,0.631844,0.494529,0.506969,0.316275,0.486733,0.644224,NA,NA,NA,NA
FRMPD3,84443,0.0709966,0.0364679,0.0742924,0.0815311,0.444524,0.306247,0.822998,NA,NA,NA,NA
FRRS1,391059,3.52616,8.49782,1.28842,4.65806,1.00217,5.00936,1.36947,cerebral-cortex,glial-cells,Low,Approved
FRRS1L,23732,0.168767,0.14373,0.163628,0.247213,0,0.0123878,0.0213168,cerebral-cortex,glial-cells,Low,Enhanced
FRS2,10818,11.0017,11.2262,8.31681,9.98344,8.30296,7.49039,6.25777,NA,NA,NA,NA
FRS3,10817,1.37367,3.38871,3.42283,1.49433,1.62478,1.40458,1.48067,NA,NA,NA,NA
FRY,10129,0.646964,0.803284,0.887794,0.844081,4.41625,2.34831,1.2007,NA,NA,NA,NA
FRYL,285527,16.6644,16.5539,16.0058,17.6814,16.0712,12.6572,5.9453,NA,NA,NA,NA
FRZB,2487,0.477996,0.49401,0.0814,0.238429,0.376798,0.133817,0.0575662,NA,NA,NA,NA
FSBP,100861412,1.32533,0.58838,0.941924,1.08098,0.304666,0.117933,0.125995,NA,NA,NA,NA
FSCN1,6624,214.678,198.89,210.868,189.094,193.07,203.024,232.009,cerebral-cortex,glial-cells,High,Enhanced
FSCN2,25794,0.844937,1.35784,0.737561,0.565757,0.471447,0.969883,1.19973,NA,NA,NA,NA
FSD1,79187,8.43549,14.132,19.9589,19.5463,9.50417,10.4798,6.89617,NA,NA,NA,NA
FSD1L,83856,0.96688,0.840912,1.07582,1.20246,1.39657,1.61341,0.218594,cerebral-cortex,glial-cells,Medium,Approved
FSIP1,161835,13.214,18.819,0.620697,1.46868,0.277468,0.296192,0.511699,NA,NA,NA,NA
FST,10468,75.5345,69.7564,28.4629,29.7004,99.1761,83.1741,123.774,NA,NA,NA,NA
FSTL1,11167,2537.41,2424.47,1915.71,1652.2,2154.02,2621.77,1592.52,NA,NA,NA,NA
FSTL3,10272,38.2634,34.7117,99.6983,89.8443,147.275,161.977,78.2779,NA,NA,NA,NA
FTCD,10841,1.83719,1.01447,1.95468,1.36345,1.28984,0.726691,0.25773,NA,NA,NA,NA
FTH1,2495,1151.33,1154.88,1202.09,1226.24,1015.2,1286.16,1296.97,cerebral-cortex,glial-cells,High,Approved
FTH1P10,2502,6.56068E-06,0.199679,0.336572,0.30352,0,0.0679593,0.122136,NA,NA,NA,NA
FTH1P11,2503,0.564526,0.597324,0.492118,0.504421,0.797446,0.708027,0.9743,NA,NA,NA,NA
FTH1P12,2504,0.470434,0.49777,1.08266,0.504421,0.664538,0.566415,0.243575,NA,NA,NA,NA
FTH1P15,2507,2.31872,0.408908,1.61706,5.38388,3.27746,4.07403,3.49949,NA,NA,NA,NA
FTH1P16,2508,0.562912,0.992703,0.883287,1.10656,0.927709,1.1296,1.33584,NA,NA,NA,NA
FTH1P2,2497,1.40496,1.48657,0.816817,1.17151,1.76434,1.41317,1.61627,NA,NA,NA,NA
FTH1P20,729009,2.08782,1.50623,1.1913,2.3404,1.34058,1.85678,1.59693,NA,NA,NA,NA
FTH1P23,100420300,1.98149,2.19647,2.07282,3.84459,2.53249,1.56211,2.44273,NA,NA,NA,NA
FTH1P3,2498,0.343905,0.181944,0.269817,0.368757,0.121448,0.388184,0.667747,NA,NA,NA,NA
