gene_symbol	Tissue (HPA)	Cell type (HPA)	Level (HPA)	Reliability (HPA)
MEGF9	cerebral-cortex	glial-cells	Medium	Approved
SEC61B	cerebral-cortex	glial-cells	Low	Approved
ECM2	cerebral-cortex	glial-cells	High	Approved
CDC37L1	cerebral-cortex	glial-cells	Low	Approved
PLGRKT	cerebral-cortex	glial-cells	Low	Supported
TBC1D13	cerebral-cortex	glial-cells	Medium	Approved
KANK1	cerebral-cortex	glial-cells	High	Approved
ELAVL2	cerebral-cortex	glial-cells	Low	Enhanced
EDF1	cerebral-cortex	glial-cells	Medium	Approved
GLIS3	cerebral-cortex	glial-cells	Medium	Approved
PTGDS	cerebral-cortex	glial-cells	Low	Approved
ABCA2	cerebral-cortex	glial-cells	Medium	Approved
EXOSC3	cerebral-cortex	glial-cells	High	Supported
DVL1	cerebral-cortex	glial-cells	Medium	Approved
PDLIM1	cerebral-cortex	glial-cells	Low	Approved
CCNJ	cerebral-cortex	glial-cells	Low	Approved
HPS1	cerebral-cortex	glial-cells	Medium	Approved
RAB11FIP2	cerebral-cortex	glial-cells	Low	Approved
ERLIN1	cerebral-cortex	glial-cells	High	Approved
TRDMT1	cerebral-cortex	glial-cells	Low	Approved
ATE1	cerebral-cortex	glial-cells	Low	Approved
NSMCE4A	cerebral-cortex	glial-cells	Low	Approved
PLEKHA1	cerebral-cortex	glial-cells	Medium	Approved
CDH23	cerebral-cortex	glial-cells	Low	Approved
SPOCK2	cerebral-cortex	glial-cells	Medium	Enhanced
CCSER2	cerebral-cortex	glial-cells	Low	Approved
MINPP1	cerebral-cortex	glial-cells	Low	Approved
SFXN3	cerebral-cortex	glial-cells	Low	Approved
ARHGAP21	cerebral-cortex	glial-cells	Low	Approved
SUFU	cerebral-cortex	glial-cells	Medium	Supported
ACBD5	cerebral-cortex	glial-cells	Medium	Enhanced
LHPP	cerebral-cortex	glial-cells	Medium	Enhanced
LARP4B	cerebral-cortex	glial-cells	Low	Approved
MTPAP	cerebral-cortex	glial-cells	Medium	Approved
NEURL1	cerebral-cortex	glial-cells	Medium	Enhanced
PITRM1	cerebral-cortex	glial-cells	Medium	Enhanced
MAP3K8	cerebral-cortex	glial-cells	Medium	Supported
GLRX3	cerebral-cortex	glial-cells	Medium	Approved
SORCS1	cerebral-cortex	glial-cells	Medium	Approved
TFAM	cerebral-cortex	glial-cells	Low	Supported
CUL2	cerebral-cortex	glial-cells	Low	Approved
CCNY	cerebral-cortex	glial-cells	Low	Approved
RPL28	cerebral-cortex	glial-cells	Low	Approved
GIT1	cerebral-cortex	glial-cells	Medium	Enhanced
UBTF	cerebral-cortex	glial-cells	High	Supported
PSMD3	cerebral-cortex	glial-cells	Medium	Approved
CASC3	cerebral-cortex	glial-cells	Low	Approved
ASPA	cerebral-cortex	glial-cells	High	Enhanced
SEPT4	cerebral-cortex	glial-cells	Low	Enhanced
TUBD1	cerebral-cortex	glial-cells	Low	Approved
KPNB1	cerebral-cortex	glial-cells	Low	Supported
PNPO	cerebral-cortex	glial-cells	Low	Enhanced
RPS6KB1	cerebral-cortex	glial-cells	Low	Approved
CDK5RAP3	cerebral-cortex	glial-cells	Low	Supported
CBX1	cerebral-cortex	glial-cells	High	Supported
PIGL	cerebral-cortex	glial-cells	Low	Approved
GALK1	cerebral-cortex	glial-cells	Low	Approved
PFN1	cerebral-cortex	glial-cells	Medium	Enhanced
RNF167	cerebral-cortex	glial-cells	Low	Approved
SLC25A11	cerebral-cortex	glial-cells	Medium	Approved
RAI1	cerebral-cortex	glial-cells	Medium	Approved
NUP88	cerebral-cortex	glial-cells	High	Approved
C1QBP	cerebral-cortex	glial-cells	Medium	Supported
CPD	cerebral-cortex	glial-cells	Low	Approved
CCDC47	cerebral-cortex	glial-cells	High	Approved
DRG2	cerebral-cortex	glial-cells	Medium	Approved
AKAP10	cerebral-cortex	glial-cells	Medium	Approved
SYNGR2	cerebral-cortex	glial-cells	Low	Approved
UTP6	cerebral-cortex	glial-cells	Medium	Supported
DDX5	cerebral-cortex	glial-cells	Medium	Supported
C17orf75	cerebral-cortex	glial-cells	Medium	Approved
ASIC2	cerebral-cortex	glial-cells	Medium	Enhanced
RAB5C	cerebral-cortex	glial-cells	Low	Approved
MLX	cerebral-cortex	glial-cells	Medium	Approved
ABI3	cerebral-cortex	glial-cells	Medium	Enhanced
EZH1	cerebral-cortex	glial-cells	Medium	Supported
PPP1R9B	cerebral-cortex	glial-cells	Low	Approved
COL1A1	cerebral-cortex	glial-cells	Medium	Approved
PTGES3L-AARSD1	cerebral-cortex	glial-cells	Low	Approved
LRRC59	cerebral-cortex	glial-cells	Low	Enhanced
HDAC5	cerebral-cortex	glial-cells	Medium	Approved
LUC7L3	cerebral-cortex	glial-cells	High	Enhanced
EFTUD2	cerebral-cortex	glial-cells	High	Supported
YWHAE	cerebral-cortex	glial-cells	Medium	Approved
DPH1	cerebral-cortex	glial-cells	High	Approved
MAP2K6	cerebral-cortex	glial-cells	Medium	Enhanced
TMEM104	cerebral-cortex	glial-cells	Low	Approved
IFT20	cerebral-cortex	glial-cells	Medium	Approved
ALDOC	cerebral-cortex	glial-cells	Medium	Enhanced
SUPT6H	cerebral-cortex	glial-cells	Low	Approved
RAB34	cerebral-cortex	glial-cells	Low	Approved
PHF12	cerebral-cortex	glial-cells	Low	Approved
OCIAD1	cerebral-cortex	glial-cells	Medium	Approved
LAMTOR3	cerebral-cortex	glial-cells	Medium	Supported
MAPK10	cerebral-cortex	glial-cells	Low	Approved
ELF2	cerebral-cortex	glial-cells	Medium	Enhanced
NDUFC1	cerebral-cortex	glial-cells	Low	Approved
INPP4B	cerebral-cortex	glial-cells	Low	Approved
GAB1	cerebral-cortex	glial-cells	Medium	Approved
GRPEL1	cerebral-cortex	glial-cells	Low	Supported
GAR1	cerebral-cortex	glial-cells	Medium	Supported
CLCN3	cerebral-cortex	glial-cells	Low	Approved
TRIM2	cerebral-cortex	glial-cells	Medium	Enhanced
FBXW7	cerebral-cortex	glial-cells	Medium	Supported
TBC1D19	cerebral-cortex	glial-cells	Medium	Approved
NSD2	cerebral-cortex	glial-cells	Low	Enhanced
STIM2	cerebral-cortex	glial-cells	High	Supported
NKX3-2	cerebral-cortex	glial-cells	Medium	Approved
UFSP2	cerebral-cortex	glial-cells	Medium	Approved
KLF3	cerebral-cortex	glial-cells	High	Supported
KLHL5	cerebral-cortex	glial-cells	Medium	Approved
DDX25	cerebral-cortex	glial-cells	High	Enhanced
CRYAB	cerebral-cortex	glial-cells	High	Enhanced
HTATIP2	cerebral-cortex	glial-cells	Low	Approved
MTCH2	cerebral-cortex	glial-cells	Low	Approved
B3GAT1	cerebral-cortex	glial-cells	High	Enhanced
SIAE	cerebral-cortex	glial-cells	Low	Approved
SNX15	cerebral-cortex	glial-cells	Medium	Approved
OSBP	cerebral-cortex	glial-cells	Medium	Enhanced
UNC93B1	cerebral-cortex	glial-cells	Medium	Approved
DCPS	cerebral-cortex	glial-cells	High	Supported
PPP6R3	cerebral-cortex	glial-cells	Medium	Supported
MS4A6A	cerebral-cortex	glial-cells	Medium	Approved
MS4A4A	cerebral-cortex	glial-cells	Medium	Approved
CPT1A	cerebral-cortex	glial-cells	Low	Supported
CCDC86	cerebral-cortex	glial-cells	Medium	Enhanced
PRPF19	cerebral-cortex	glial-cells	Medium	Supported
TMEM109	cerebral-cortex	glial-cells	Low	Approved
ANAPC15	cerebral-cortex	glial-cells	Medium	Approved
RNF141	cerebral-cortex	glial-cells	Medium	Approved
EIF4G2	cerebral-cortex	glial-cells	Low	Approved
GALNT18	cerebral-cortex	glial-cells	Medium	Approved
BIRC2	cerebral-cortex	glial-cells	Low	Supported
DDX6	cerebral-cortex	glial-cells	Medium	Approved
CBL	cerebral-cortex	glial-cells	Low	Enhanced
NECTIN1	cerebral-cortex	glial-cells	Low	Approved
HIPK3	cerebral-cortex	glial-cells	Low	Approved
PDHX	cerebral-cortex	glial-cells	Medium	Enhanced
SLC1A2	cerebral-cortex	glial-cells	Low	Enhanced
ACCS	cerebral-cortex	glial-cells	Medium	Approved
AMBRA1	cerebral-cortex	glial-cells	Low	Approved
PTPMT1	cerebral-cortex	glial-cells	Low	Approved
CARS	cerebral-cortex	glial-cells	Medium	Enhanced
AIP	cerebral-cortex	glial-cells	Medium	Approved
HPS5	cerebral-cortex	glial-cells	Low	Approved
GTF2H1	cerebral-cortex	glial-cells	Medium	Enhanced
PSMD9	cerebral-cortex	glial-cells	Low	Enhanced
P3H3	cerebral-cortex	glial-cells	Low	Approved
PRPF40B	cerebral-cortex	glial-cells	Medium	Enhanced
CORO1C	cerebral-cortex	glial-cells	Low	Approved
MVK	cerebral-cortex	glial-cells	Medium	Approved
CSRNP2	cerebral-cortex	glial-cells	Low	Approved
CAMKK2	cerebral-cortex	glial-cells	Medium	Approved
ATP5F1B	cerebral-cortex	glial-cells	Medium	Enhanced
METAP2	cerebral-cortex	glial-cells	Medium	Enhanced
ARPC3	cerebral-cortex	glial-cells	Low	Approved
SH2B3	cerebral-cortex	glial-cells	High	Approved
MANSC1	cerebral-cortex	glial-cells	Low	Approved
DUSP16	cerebral-cortex	glial-cells	Low	Approved
CDKN1B	cerebral-cortex	glial-cells	Medium	Approved
NAA25	cerebral-cortex	glial-cells	High	Approved
SCNN1A	cerebral-cortex	glial-cells	Low	Enhanced
OGFOD2	cerebral-cortex	glial-cells	Low	Approved
CDK2AP1	cerebral-cortex	glial-cells	Medium	Approved
OAS2	cerebral-cortex	glial-cells	High	Approved
RASAL1	cerebral-cortex	glial-cells	Medium	Approved
ARHGDIB	cerebral-cortex	glial-cells	Medium	Enhanced
TBC1D30	cerebral-cortex	glial-cells	Low	Approved
RAB5B	cerebral-cortex	glial-cells	Low	Approved
CNOT2	cerebral-cortex	glial-cells	Low	Approved
CPSF6	cerebral-cortex	glial-cells	High	Supported
KRR1	cerebral-cortex	glial-cells	Low	Approved
GAPDH	cerebral-cortex	glial-cells	Medium	Supported
NOP2	cerebral-cortex	glial-cells	Low	Supported
CHD4	cerebral-cortex	glial-cells	High	Supported
COPS7A	cerebral-cortex	glial-cells	Medium	Supported
SPSB2	cerebral-cortex	glial-cells	Medium	Approved
ENO2	cerebral-cortex	glial-cells	Low	Enhanced
ATN1	cerebral-cortex	glial-cells	High	Enhanced
GOLT1B	cerebral-cortex	glial-cells	Low	Approved
LDHB	cerebral-cortex	glial-cells	Low	Enhanced
PRKAB1	cerebral-cortex	glial-cells	Low	Enhanced
CMAS	cerebral-cortex	glial-cells	High	Supported
ST8SIA1	cerebral-cortex	glial-cells	Low	Approved
C2CD5	cerebral-cortex	glial-cells	Medium	Approved
PHC1	cerebral-cortex	glial-cells	Low	Approved
RIC8B	cerebral-cortex	glial-cells	Low	Approved
SRSF9	cerebral-cortex	glial-cells	Medium	Supported
FGFR1OP2	cerebral-cortex	glial-cells	Low	Supported
FRK	cerebral-cortex	glial-cells	Low	Approved
RWDD1	cerebral-cortex	glial-cells	Low	Approved
PAK1IP1	cerebral-cortex	glial-cells	High	Supported
GCNT2	cerebral-cortex	glial-cells	Medium	Approved
MCM9	cerebral-cortex	glial-cells	Medium	Approved
TPD52L1	cerebral-cortex	glial-cells	Low	Enhanced
HINT3	cerebral-cortex	glial-cells	Low	Approved
FBXO5	cerebral-cortex	glial-cells	Medium	Approved
PPARD	cerebral-cortex	glial-cells	Medium	Approved
FANCE	cerebral-cortex	glial-cells	High	Enhanced
KCTD20	cerebral-cortex	glial-cells	Low	Approved
SRSF3	cerebral-cortex	glial-cells	High	Supported
SOD2	cerebral-cortex	glial-cells	Low	Supported
MRPL18	cerebral-cortex	glial-cells	Low	Enhanced
PHACTR1	cerebral-cortex	glial-cells	Low	Enhanced
RBM24	cerebral-cortex	glial-cells	Low	Enhanced
CAP2	cerebral-cortex	glial-cells	Medium	Enhanced
RAB23	cerebral-cortex	glial-cells	Medium	Enhanced
KHDRBS2	cerebral-cortex	glial-cells	High	Supported
FBXL4	cerebral-cortex	glial-cells	Medium	Approved
ASCC3	cerebral-cortex	glial-cells	Low	Enhanced
ALDH5A1	cerebral-cortex	glial-cells	Low	Enhanced
CRYBG1	cerebral-cortex	glial-cells	Low	Approved
SMAP1	cerebral-cortex	glial-cells	Medium	Approved
RPS12	cerebral-cortex	glial-cells	Low	Approved
C6orf62	cerebral-cortex	glial-cells	Low	Supported
EYA4	cerebral-cortex	glial-cells	Low	Enhanced
HBS1L	cerebral-cortex	glial-cells	Low	Approved
TRIM38	cerebral-cortex	glial-cells	Low	Approved
FIG4	cerebral-cortex	glial-cells	Medium	Approved
PHACTR2	cerebral-cortex	glial-cells	Medium	Approved
SLC39A7	cerebral-cortex	glial-cells	Medium	Approved
PHF1	cerebral-cortex	glial-cells	Medium	Approved
QKI	cerebral-cortex	glial-cells	High	Enhanced
TBP	cerebral-cortex	glial-cells	Medium	Enhanced
BICRAL	cerebral-cortex	glial-cells	Medium	Approved
PPP2R5D	cerebral-cortex	glial-cells	Low	Approved
MRPL2	cerebral-cortex	glial-cells	Medium	Approved
SRF	cerebral-cortex	glial-cells	High	Supported
DNPH1	cerebral-cortex	glial-cells	Low	Enhanced
DUSP22	cerebral-cortex	glial-cells	Medium	Approved
TMEM30A	cerebral-cortex	glial-cells	Medium	Approved
GMDS	cerebral-cortex	glial-cells	Medium	Enhanced
SENP6	cerebral-cortex	glial-cells	Low	Approved
PRPF4B	cerebral-cortex	glial-cells	Medium	Approved
TTK	cerebral-cortex	glial-cells	Low	Enhanced
PCDHB2	cerebral-cortex	glial-cells	Low	Enhanced
HARS2	cerebral-cortex	glial-cells	Low	Approved
NUDT12	cerebral-cortex	glial-cells	Medium	Supported
MAN2A1	cerebral-cortex	glial-cells	Low	Enhanced
PAPD7	cerebral-cortex	glial-cells	High	Enhanced
BRD8	cerebral-cortex	glial-cells	Low	Supported
KIF20A	cerebral-cortex	glial-cells	Low	Approved
NNT	cerebral-cortex	glial-cells	Low	Enhanced
MRPS30	cerebral-cortex	glial-cells	Medium	Approved
HSPA9	cerebral-cortex	glial-cells	Medium	Supported
PFDN1	cerebral-cortex	glial-cells	High	Approved
IK	cerebral-cortex	glial-cells	High	Supported
HMGCR	cerebral-cortex	glial-cells	Low	Approved
HAND1	cerebral-cortex	glial-cells	High	Approved
PCDHB5	cerebral-cortex	glial-cells	Medium	Approved
PCDHB7	cerebral-cortex	glial-cells	Medium	Approved
RNF130	cerebral-cortex	glial-cells	Low	Approved
ARSB	cerebral-cortex	glial-cells	Medium	Approved
CLINT1	cerebral-cortex	glial-cells	Medium	Supported
TTC1	cerebral-cortex	glial-cells	Medium	Approved
CCNG1	cerebral-cortex	glial-cells	Medium	Supported
POLR3G	cerebral-cortex	glial-cells	Low	Enhanced
CDH6	cerebral-cortex	glial-cells	Low	Enhanced
LMNB1	cerebral-cortex	glial-cells	High	Supported
SUB1	cerebral-cortex	glial-cells	Medium	Supported
FAM172A	cerebral-cortex	glial-cells	Medium	Approved
SLC27A6	cerebral-cortex	glial-cells	Low	Approved
PDE4D	cerebral-cortex	glial-cells	Medium	Approved
RAD1	cerebral-cortex	glial-cells	Medium	Approved
SLC12A7	cerebral-cortex	glial-cells	Medium	Approved
RAD50	cerebral-cortex	glial-cells	High	Supported
SKP1	cerebral-cortex	glial-cells	High	Approved
PPP2CA	cerebral-cortex	glial-cells	Medium	Approved
NR3C1	cerebral-cortex	glial-cells	Medium	Supported
PPWD1	cerebral-cortex	glial-cells	Low	Enhanced
TRIM23	cerebral-cortex	glial-cells	Medium	Approved
TRAPPC13	cerebral-cortex	glial-cells	Low	Approved
TXNDC15	cerebral-cortex	glial-cells	Low	Approved
TTC33	cerebral-cortex	glial-cells	High	Approved
H2AFY	cerebral-cortex	glial-cells	High	Supported
ERGIC1	cerebral-cortex	glial-cells	Low	Enhanced
ZNF346	cerebral-cortex	glial-cells	High	Approved
SMC4	cerebral-cortex	glial-cells	Low	Approved
CRBN	cerebral-cortex	glial-cells	Low	Approved
NIT2	cerebral-cortex	glial-cells	Medium	Approved
FAM162A	cerebral-cortex	glial-cells	Low	Approved
OGG1	cerebral-cortex	glial-cells	Low	Approved
UBE3A	cerebral-cortex	glial-cells	High	Approved
CEP70	cerebral-cortex	glial-cells	Medium	Enhanced
TFDP2	cerebral-cortex	glial-cells	Medium	Supported
XRN1	cerebral-cortex	glial-cells	Low	Approved
KAT2B	cerebral-cortex	glial-cells	Medium	Supported
PDCD10	cerebral-cortex	glial-cells	Low	Approved
ACAP2	cerebral-cortex	glial-cells	Medium	Supported
GNAI2	cerebral-cortex	glial-cells	Low	Approved
TFG	cerebral-cortex	glial-cells	High	Approved
NPRL2	cerebral-cortex	glial-cells	Low	Approved
RPL24	cerebral-cortex	glial-cells	Medium	Approved
C3orf14	cerebral-cortex	glial-cells	Medium	Approved
FXR1	cerebral-cortex	glial-cells	Low	Approved
CBLB	cerebral-cortex	glial-cells	Low	Approved
BBX	cerebral-cortex	glial-cells	Medium	Enhanced
IFT57	cerebral-cortex	glial-cells	Medium	Supported
GNB4	cerebral-cortex	glial-cells	Low	Supported
GBE1	cerebral-cortex	glial-cells	Low	Enhanced
NCBP2	cerebral-cortex	glial-cells	Medium	Supported
SLC41A3	cerebral-cortex	glial-cells	Medium	Approved
ATP6V1A	cerebral-cortex	glial-cells	Medium	Approved
PODXL2	cerebral-cortex	glial-cells	Medium	Approved
SCAP	cerebral-cortex	glial-cells	Low	Approved
WDR48	cerebral-cortex	glial-cells	Medium	Approved
GORASP1	cerebral-cortex	glial-cells	Medium	Supported
PEX5L	cerebral-cortex	glial-cells	High	Enhanced
ABHD14B	cerebral-cortex	glial-cells	Low	Supported
VIPR1	cerebral-cortex	glial-cells	Low	Approved
SSR3	cerebral-cortex	glial-cells	Medium	Approved
ZBTB47	cerebral-cortex	glial-cells	High	Enhanced
CLCN2	cerebral-cortex	glial-cells	Low	Approved
EIF4G1	cerebral-cortex	glial-cells	Low	Approved
NEK4	cerebral-cortex	glial-cells	Medium	Enhanced
INO80D	cerebral-cortex	glial-cells	Low	Approved
EEF1B2	cerebral-cortex	glial-cells	Low	Supported
ADAM23	cerebral-cortex	glial-cells	Low	Approved
KANSL3	cerebral-cortex	glial-cells	Medium	Approved
LMAN2L	cerebral-cortex	glial-cells	Low	Approved
RTKN	cerebral-cortex	glial-cells	Medium	Approved
FAHD2A	cerebral-cortex	glial-cells	Medium	Enhanced
NCL	cerebral-cortex	glial-cells	High	Supported
ACTR3	cerebral-cortex	glial-cells	Low	Approved
SF3B6	cerebral-cortex	glial-cells	Low	Enhanced
TP53I3	cerebral-cortex	glial-cells	Low	Enhanced
STAM2	cerebral-cortex	glial-cells	Low	Enhanced
OTOF	cerebral-cortex	glial-cells	Medium	Approved
GPD2	cerebral-cortex	glial-cells	Low	Enhanced
CYTIP	cerebral-cortex	glial-cells	Medium	Approved
ACVR1	cerebral-cortex	glial-cells	Low	Approved
TANC1	cerebral-cortex	glial-cells	Low	Approved
NRBP1	cerebral-cortex	glial-cells	Low	Supported
SNX17	cerebral-cortex	glial-cells	Low	Supported
PDE1A	cerebral-cortex	glial-cells	Medium	Approved
MOGS	cerebral-cortex	glial-cells	Low	Approved
PCGF1	cerebral-cortex	glial-cells	High	Supported
SPTBN1	cerebral-cortex	glial-cells	Low	Supported
AUP1	cerebral-cortex	glial-cells	Medium	Approved
RTN4	cerebral-cortex	glial-cells	Low	Supported
POLE4	cerebral-cortex	glial-cells	Medium	Approved
LANCL1	cerebral-cortex	glial-cells	High	Approved
FANCL	cerebral-cortex	glial-cells	Low	Supported
GLS	cerebral-cortex	glial-cells	Low	Enhanced
PAPOLG	cerebral-cortex	glial-cells	Medium	Approved
PECR	cerebral-cortex	glial-cells	High	Enhanced
UNC50	cerebral-cortex	glial-cells	High	Approved
GGCX	cerebral-cortex	glial-cells	Low	Approved
EHBP1	cerebral-cortex	glial-cells	Low	Enhanced
SF3B1	cerebral-cortex	glial-cells	Low	Approved
CHST10	cerebral-cortex	glial-cells	High	Approved
PDCL3	cerebral-cortex	glial-cells	Low	Approved
MOB4	cerebral-cortex	glial-cells	Medium	Approved
HSPE1	cerebral-cortex	glial-cells	High	Supported
CHMP3	cerebral-cortex	glial-cells	Medium	Supported
SLC9A2	cerebral-cortex	glial-cells	Low	Approved
STK16	cerebral-cortex	glial-cells	Low	Approved
HDLBP	cerebral-cortex	glial-cells	Low	Enhanced
ODC1	cerebral-cortex	glial-cells	Low	Approved
SLC25A12	cerebral-cortex	glial-cells	Medium	Enhanced
RMDN2	cerebral-cortex	glial-cells	Low	Enhanced
DARS	cerebral-cortex	glial-cells	Medium	Enhanced
SRSF7	cerebral-cortex	glial-cells	Medium	Supported
PLCL1	cerebral-cortex	glial-cells	Medium	Enhanced
ORC4	cerebral-cortex	glial-cells	High	Approved
ATF2	cerebral-cortex	glial-cells	Medium	Supported
PCYOX1	cerebral-cortex	glial-cells	Low	Approved
SUMO1	cerebral-cortex	glial-cells	Low	Supported
NFE2L2	cerebral-cortex	glial-cells	High	Supported
MSH6	cerebral-cortex	glial-cells	Medium	Enhanced
PLEKHA3	cerebral-cortex	glial-cells	Low	Approved
EPHA4	cerebral-cortex	glial-cells	Low	Enhanced
PARD3B	cerebral-cortex	glial-cells	Low	Approved
FARSB	cerebral-cortex	glial-cells	Low	Enhanced
BCL9	cerebral-cortex	glial-cells	Low	Approved
CACYBP	cerebral-cortex	glial-cells	Low	Approved
CEP104	cerebral-cortex	glial-cells	Low	Approved
FAM20B	cerebral-cortex	glial-cells	Medium	Approved
MRPL37	cerebral-cortex	glial-cells	Low	Supported
STXBP3	cerebral-cortex	glial-cells	Low	Approved
PARK7	cerebral-cortex	glial-cells	Medium	Supported
OPRD1	cerebral-cortex	glial-cells	High	Approved
AMPD2	cerebral-cortex	glial-cells	Low	Approved
SRSF4	cerebral-cortex	glial-cells	High	Supported
MECR	cerebral-cortex	glial-cells	Low	Enhanced
EDEM3	cerebral-cortex	glial-cells	Medium	Approved
ATP5PB	cerebral-cortex	glial-cells	Low	Enhanced
CAPZA1	cerebral-cortex	glial-cells	Low	Approved
RNF19B	cerebral-cortex	glial-cells	Medium	Approved
DLGAP3	cerebral-cortex	glial-cells	Low	Enhanced
SFPQ	cerebral-cortex	glial-cells	High	Enhanced
ARHGEF2	cerebral-cortex	glial-cells	Low	Approved
LAMTOR2	cerebral-cortex	glial-cells	Low	Approved
MEF2D	cerebral-cortex	glial-cells	High	Enhanced
SRM	cerebral-cortex	glial-cells	Low	Approved
FBXO2	cerebral-cortex	glial-cells	Low	Enhanced
FBXO6	cerebral-cortex	glial-cells	Low	Approved
SWT1	cerebral-cortex	glial-cells	Low	Enhanced
MAD2L2	cerebral-cortex	glial-cells	Low	Approved
IVNS1ABP	cerebral-cortex	glial-cells	Low	Approved
PLA2G4A	cerebral-cortex	glial-cells	Low	Approved
PRDM2	cerebral-cortex	glial-cells	Low	Approved
UCHL5	cerebral-cortex	glial-cells	Low	Approved
BCAS2	cerebral-cortex	glial-cells	Low	Supported
SRSF11	cerebral-cortex	glial-cells	High	Supported
PLEKHM2	cerebral-cortex	glial-cells	Medium	Approved
CRYZ	cerebral-cortex	glial-cells	Medium	Approved
ZBTB17	cerebral-cortex	glial-cells	Low	Approved
TTF2	cerebral-cortex	glial-cells	Medium	Approved
NR5A2	cerebral-cortex	glial-cells	High	Approved
KIF21B	cerebral-cortex	glial-cells	Low	Approved
ADPRHL2	cerebral-cortex	glial-cells	Low	Approved
WARS2	cerebral-cortex	glial-cells	Low	Enhanced
OSCP1	cerebral-cortex	glial-cells	Medium	Approved
MRPS15	cerebral-cortex	glial-cells	Low	Supported
EXOC8	cerebral-cortex	glial-cells	Medium	Approved
TSNAX	cerebral-cortex	glial-cells	Low	Approved
RRAGC	cerebral-cortex	glial-cells	High	Supported
LGALS8	cerebral-cortex	glial-cells	Medium	Approved
MTR	cerebral-cortex	glial-cells	Low	Approved
SIPA1L2	cerebral-cortex	glial-cells	Low	Approved
AKT3	cerebral-cortex	glial-cells	High	Approved
ACADM	cerebral-cortex	glial-cells	Low	Enhanced
PADI2	cerebral-cortex	glial-cells	High	Enhanced
SDHB	cerebral-cortex	glial-cells	High	Enhanced
RPF1	cerebral-cortex	glial-cells	Medium	Supported
UAP1	cerebral-cortex	glial-cells	Medium	Approved
GBP3	cerebral-cortex	glial-cells	High	Approved
CDK18	cerebral-cortex	glial-cells	Medium	Approved
HMGCL	cerebral-cortex	glial-cells	Low	Enhanced
PRPF3	cerebral-cortex	glial-cells	Low	Approved
APH1A	cerebral-cortex	glial-cells	Low	Approved
EBNA1BP2	cerebral-cortex	glial-cells	High	Approved
ERI3	cerebral-cortex	glial-cells	Medium	Approved
PRDX1	cerebral-cortex	glial-cells	Medium	Approved
PIK3R3	cerebral-cortex	glial-cells	Low	Approved
BLZF1	cerebral-cortex	glial-cells	Medium	Supported
FAAH	cerebral-cortex	glial-cells	Medium	Approved
DR1	cerebral-cortex	glial-cells	Medium	Enhanced
CNN3	cerebral-cortex	glial-cells	Low	Enhanced
PRRC2C	cerebral-cortex	glial-cells	Low	Approved
ABCD3	cerebral-cortex	glial-cells	High	Enhanced
VAMP4	cerebral-cortex	glial-cells	High	Enhanced
PRDX6	cerebral-cortex	glial-cells	High	Supported
IRF6	cerebral-cortex	glial-cells	Medium	Enhanced
RCOR3	cerebral-cortex	glial-cells	Low	Enhanced
STMN1	cerebral-cortex	glial-cells	Medium	Enhanced
MTFR1L	cerebral-cortex	glial-cells	Low	Approved
RPS6KA1	cerebral-cortex	glial-cells	Medium	Enhanced
ARID1A	cerebral-cortex	glial-cells	Low	Supported
RPA2	cerebral-cortex	glial-cells	Medium	Supported
PPP1R8	cerebral-cortex	glial-cells	High	Enhanced
STX12	cerebral-cortex	glial-cells	Medium	Approved
MARC2	cerebral-cortex	glial-cells	Low	Enhanced
OSBPL9	cerebral-cortex	glial-cells	Medium	Supported
ESYT2	cerebral-cortex	glial-cells	Low	Approved
CD3EAP	cerebral-cortex	glial-cells	Low	Supported
MESD	cerebral-cortex	glial-cells	Medium	Approved
RCN2	cerebral-cortex	glial-cells	Medium	Enhanced
CTSD	cerebral-cortex	glial-cells	Medium	Supported
STAG1	cerebral-cortex	glial-cells	Medium	Supported
STK11	cerebral-cortex	glial-cells	Low	Approved
KMT2A	cerebral-cortex	glial-cells	Medium	Enhanced
KPTN	cerebral-cortex	glial-cells	Medium	Approved
RPS25	cerebral-cortex	glial-cells	High	Approved
DDX59	cerebral-cortex	glial-cells	Low	Approved
CAMSAP2	cerebral-cortex	glial-cells	High	Enhanced
ATF6	cerebral-cortex	glial-cells	Medium	Approved
NRP2	cerebral-cortex	glial-cells	Medium	Enhanced
CREB1	cerebral-cortex	glial-cells	High	Supported
KLF7	cerebral-cortex	glial-cells	Low	Approved
B4GALT6	cerebral-cortex	glial-cells	High	Approved
HMGN3	cerebral-cortex	glial-cells	Medium	Enhanced
SGIP1	cerebral-cortex	glial-cells	Low	Approved
PHF3	cerebral-cortex	glial-cells	Low	Approved
MYB	cerebral-cortex	glial-cells	Low	Approved
SGK1	cerebral-cortex	glial-cells	Medium	Approved
RNF146	cerebral-cortex	glial-cells	Low	Approved
RPN2	cerebral-cortex	glial-cells	Low	Enhanced
PKD2	cerebral-cortex	glial-cells	Low	Approved
RAB3GAP2	cerebral-cortex	glial-cells	Medium	Approved
UCHL3	cerebral-cortex	glial-cells	Low	Approved
NDUFB3	cerebral-cortex	glial-cells	Medium	Approved
TJP2	cerebral-cortex	glial-cells	Low	Supported
CCDC92	cerebral-cortex	glial-cells	Medium	Approved
C1orf198	cerebral-cortex	glial-cells	Medium	Approved
RAD23B	cerebral-cortex	glial-cells	Medium	Enhanced
FKBP15	cerebral-cortex	glial-cells	Medium	Approved
