	SYMBOL	ENTREZID	BD_NR.Veh.R1	BD_NR.Veh.R2
FAF1	FAF1	11124	18.9838	17.4512
FAF2	FAF2	23197	20.8453	26.3271
FAH	FAH	2184	7.48381	6.45128
FAHD1	FAHD1	81889	38.0768	24.8692
FAHD2A	FAHD2A	51011	14.2331	12.5636
FAHD2B	FAHD2B	151313	7.82777	5.19719
FAHD2CP	FAHD2CP	729234	5.29042	3.86128
FAIM	FAIM	55179	5.01153	6.37347
FAIM2	FAIM2	23017	1.46857	1.56796
FAM102A	FAM102A	399665	5.52763	12.3529
FAM102B	FAM102B	284611	3.44501	5.71056
FAM104A	FAM104A	84923	25.4599	19.8872
FAM104B	FAM104B	90736	15.7504	10.6829
FAM106B	FAM106B	100996259	0.169237	0.150549
FAM107A	FAM107A	11170	0.121895	0.428582
FAM107B	FAM107B	83641	17.6818	27.8091
FAM110A	FAM110A	83541	13.3761	4.92954
FAM110B	FAM110B	90362	26.1345	20.371
FAM110C	FAM110C	642273	1.22459	1.02408
FAM110D	FAM110D	79927	2.19107	2.65187
FAM111A	FAM111A	63901	12.6782	13.0912
FAM111B	FAM111B	374393	9.8808	15.1784
FAM114A1	FAM114A1	92689	15.3567	31.2728
FAM114A2	FAM114A2	10827	11.3771	11.2169
FAM117A	FAM117A	81558	10.9262	4.90977
FAM117B	FAM117B	150864	3.43822	4.55049
FAM118A	FAM118A	55007	9.39881	17.5079
FAM118B	FAM118B	79607	18.4767	21.4282
FAM120A	FAM120A	23196	24.2896	30.4728
FAM120AOS	FAM120AOS	158293	24.3411	18.2253
FAM120B	FAM120B	84498	12.1489	11.8262
FAM122A	FAM122A	116224	4.85145	5.8488
FAM122B	FAM122B	159090	16.0133	11.6095
FAM122C	FAM122C	159091	2.53904	2.24267
FAM124A	FAM124A	220108	0.928531	1.26638
FAM126A	FAM126A	84668	18.8331	26.0087
FAM126B	FAM126B	285172	3.00375	3.20752
FAM131A	FAM131A	131408	4.60339	7.59667
FAM131B	FAM131B	9715	4.55061	10.2374
FAM133A	FAM133A	286499	0.223797	0.101919
FAM133B	FAM133B	257415	27.7898	17.1948
FAM133CP	FAM133CP	728640	4.46716	0.418413
FAM133DP	FAM133DP	728066	11.0171	5.75149
FAM135A	FAM135A	57579	6.9579	8.25508
FAM135B	FAM135B	51059	0.0408985	0.131701
FAM136A	FAM136A	84908	33.786	37.4
FAM13A	FAM13A	10144	14.2267	11.2652
FAM13A-AS1	FAM13A-AS1	285512	1.10561	0.755246
FAM13B	FAM13B	51306	14.9917	13.52
FAM13C	FAM13C	220965	4.25603	5.41326
FAM149A	FAM149A	25854	1.45147	1.6638
FAM149B1	FAM149B1	317662	21.2323	17.2411
FAM149B1P1	FAM149B1P1	388181	0.1554	0.0303848
FAM151B	FAM151B	167555	1.54773	1.63385
FAM155A	FAM155A	728215	0.437519	1.20847
FAM155B	FAM155B	27112	0.173727	0.395448
FAM157A	FAM157A	728262	0.083793	0.219405
FAM157B	FAM157B	100132403	0.0343925	0.403319
FAM157C	FAM157C	100996541	0.0554154	0.443971
FAM160A2	FAM160A2	84067	10.2267	11.137
FAM160B1	FAM160B1	57700	8.53752	9.78761
FAM160B2	FAM160B2	64760	16.5432	29.365
FAM161A	FAM161A	84140	7.85456	8.48329
FAM161B	FAM161B	145483	4.32568	2.63691
FAM162A	FAM162A	26355	33.9127	31.9365
FAM162B	FAM162B	221303	1.23901	1.02241
FAM166A	FAM166A	401565	0.535687	0.5129
FAM167A	FAM167A	83648	0.978245	1.34984
FAM167B	FAM167B	84734	0.883288	0.577451
FAM168A	FAM168A	23201	15.3935	23.1474
FAM168B	FAM168B	130074	51.0378	58.6464
FAM169A	FAM169A	26049	1.86244	2.39752
FAM171A1	FAM171A1	221061	21.8025	28.9055
FAM171A2	FAM171A2	284069	25.1994	15.7956
FAM171B	FAM171B	165215	9.33671	8.3889
FAM172A	FAM172A	83989	9.14588	9.5672
FAM174A	FAM174A	345757	14.4143	6.14027
FAM174B	FAM174B	400451	10.1295	7.81263
FAM177A1	FAM177A1	283635	28.5266	25.5532
FAM178B	FAM178B	51252	0.514059	0.48535
FAM181A	FAM181A	90050	0.994595	1.21311
FAM181A-AS1	FAM181A-AS1	283592	0.305924	0.685672
FAM181B	FAM181B	220382	0.763103	0.207488
FAM182A	FAM182A	284800	0	0
FAM182B	FAM182B	728882	0.379868	0.115761
FAM183A	FAM183A	440585	0	0
FAM184A	FAM184A	79632	4.59755	4.15273
FAM185A	FAM185A	222234	1.72146	1.43932
FAM185BP	FAM185BP	641808	0.103974	0.0817826
FAM186A	FAM186A	121006	0.430233	0.112001
FAM186B	FAM186B	84070	0.481196	0.375508
FAM189A1	FAM189A1	23359	0.416908	0.679312
FAM189A2	FAM189A2	9413	1.26723	0.449296
FAM193A	FAM193A	8603	11.736	15.1516
FAM193B	FAM193B	54540	45.8136	35.5792
FAM200A	FAM200A	221786	8.9295	7.84339
FAM200B	FAM200B	285550	34.3028	29.2614
FAM201A	FAM201A	158228	0.106684	0.0411059
FAM201B	FAM201B	339742	0.167165	0.130614
FAM204A	FAM204A	63877	43.1384	44.1453
FAM207A	FAM207A	85395	17.8048	14.0918
FAM207BP	FAM207BP	729535	7.73305	6.25838
FAM209A	FAM209A	200232	0	0.238962
FAM209B	FAM209B	388799	0.216881	0.512009
FAM20A	FAM20A	54757	4.43659	0.431878
FAM20B	FAM20B	9917	18.948	16.4717
FAM20C	FAM20C	56975	16.1881	31.0654
FAM210A	FAM210A	125228	5.87836	8.38717
FAM210B	FAM210B	116151	18.9123	21.0859
FAM214A	FAM214A	56204	12.0973	11.0991
FAM214B	FAM214B	80256	9.38905	11.2667
FAM216A	FAM216A	29902	16.1366	14.0984
FAM217B	FAM217B	63939	14.3129	14.5434
FAM218A	FAM218A	152756	0.640477	0.435161
FAM219A	FAM219A	203259	4.75014	12.7089
FAM219B	FAM219B	57184	23.7153	29.732
FAM21FP	FAM21FP	100288690	0.273584	0.372833
FAM220A	FAM220A	84792	13.4582	14.5674
FAM221A	FAM221A	340277	1.2114	1.91643
FAM222A	FAM222A	84915	4.6358	2.85681
FAM222B	FAM222B	55731	7.03978	11.3525
FAM227A	FAM227A	646851	1.80667	2.82752
FAM227B	FAM227B	196951	5.80812	3.762
FAM228A	FAM228A	653140	1.12119	0.0967981
FAM228B	FAM228B	375190	6.66545	3.31222
FAM229A	FAM229A	100128071	8.43047	6.53658
FAM24B	FAM24B	196792	1.72563	2.37882
FAM27E2	FAM27E2	100289124	0.0479963	0.112705
FAM27E3	FAM27E3	100131997	0.335225	0.262251
FAM27E4	FAM27E4	107987001	0	0
FAM32A	FAM32A	26017	71.3166	72.9587
FAM3A	FAM3A	60343	4.12619	5.85353
FAM3C	FAM3C	10447	29.9561	27.1458
FAM3C2	FAM3C2	286460	13.5748	11.4733
FAM43A	FAM43A	131583	12.99	11.0635
FAM43B	FAM43B	163933	4.43928	4.73126
FAM47E	FAM47E	100129583	0.519057	0.70276
FAM49A	FAM49A	81553	3.94874	8.82755
FAM49B	FAM49B	51571	74.2421	47.8021
FAM50A	FAM50A	9130	13.8558	24.0138
FAM53A	FAM53A	152877	1.18703	0.830127
FAM53B	FAM53B	9679	6.90742	8.55079
FAM53C	FAM53C	51307	26.4217	27.4126
FAM66A	FAM66A	100133172	0.0934528	0.0734411
FAM66C	FAM66C	440078	1.1643	2.08943
FAM66D	FAM66D	100132923	0.266275	0.46338
FAM71E1	FAM71E1	112703	1.00789	0.575943
FAM71F1	FAM71F1	84691	0.0398516	0.0311709
FAM71F2	FAM71F2	346653	0.972969	0.938943
FAM72A	FAM72A	729533	0.0696919	0.0544877
FAM72B	FAM72B	653820	0.112396	0.235703
FAM76A	FAM76A	199870	5.51391	4.65718
FAM76B	FAM76B	143684	11.1195	15.6419
FAM78A	FAM78A	286336	16.3854	5.89774
FAM78B	FAM78B	149297	0.0858126	0.16785
FAM81A	FAM81A	145773	0.135154	0.37945
FAM81B	FAM81B	153643	0	0
FAM83D	FAM83D	81610	21.6988	26.186
FAM83E	FAM83E	54854	0.199719	0.174033
FAM83G	FAM83G	644815	0.0436634	0.381017
FAM85A	FAM85A	619423	1.08237	0.478815
FAM86B1	FAM86B1	85002	1.07413	1.38558
FAM86B2	FAM86B2	653333	0.565153	1.01378
FAM86B3P	FAM86B3P	286042	1.8261	1.85227
FAM86C1	FAM86C1	55199	2.7592	3.2436
FAM86C2P	FAM86C2P	645332	3.02682	2.21012
FAM86DP	FAM86DP	692099	5.71335	7.69403
FAM86EP	FAM86EP	348926	2.15459	1.86865
FAM86FP	FAM86FP	653113	0.141037	0
FAM86HP	FAM86HP	729375	1.61854	0.856946
FAM86JP	FAM86JP	100125556	0.979179	0.56606
FAM89A	FAM89A	375061	6.11898	4.15679
FAM89B	FAM89B	23625	47.4477	33.0205
FAM8A1	FAM8A1	51439	13.9054	11.2352
FAM90A1	FAM90A1	55138	0.0513578	0.18055
FAM90A25P	FAM90A25P	389633	0.0457397	0.107385
FAM91A1	FAM91A1	157769	8.59915	13.9701
FAM92A1P1	FAM92A1P1	729073	4.62525	3.507
FAM92B	FAM92B	339145	0	0
FAM95B1	FAM95B1	100133036	0.0122973	0.0309477
FAM98A	FAM98A	25940	23.8532	30.1505
FAM98B	FAM98B	283742	20.5343	27.0818
FAM98C	FAM98C	147965	5.99966	6.48516
FAN1	FAN1	22909	7.21785	10.9355
FANCA	FANCA	2175	16.5788	27.9747
FANCB	FANCB	2187	1.72432	2.29866
FANCC	FANCC	2176	8.06964	10.6558
FANCD2	FANCD2	2177	16.6997	19.2474
FANCE	FANCE	2178	8.81596	8.78511
FANCF	FANCF	2188	5.42761	8.28447
FANCG	FANCG	2189	43.496	38.0053
FANCI	FANCI	55215	23.4085	36.9143
FANCL	FANCL	55120	29.684	27.6345
FANCM	FANCM	57697	6.63398	4.99723
FANK1	FANK1	92565	0.894498	3.02718
FAP	FAP	2191	5.5887	13.8585
FAR1	FAR1	84188	23.809	26.8354
FAR2	FAR2	55711	10.26	13.043
FAR2P1	FAR2P1	440905	0.0153595	0.0749733
FAR2P2	FAR2P2	100216479	0.0293813	0.640559
FARP1	FARP1	10160	36.5879	49.9125
FARP2	FARP2	9855	12.8622	14.3227
FARS2	FARS2	10667	13.7762	11.306
FARSA	FARSA	2193	35.9781	38.0165
FARSB	FARSB	10056	32.1489	27.7262
FAS	FAS	355	4.21919	11.0387
FASN	FASN	2194	86.2113	93.9618
FASTK	FASTK	10922	60.154	46.9542
FASTKD1	FASTKD1	79675	20.5642	13.7495
FASTKD2	FASTKD2	22868	14.6848	16.3042
FASTKD3	FASTKD3	79072	12.4885	8.10618
FASTKD5	FASTKD5	60493	8.59192	11.1656
FAT1	FAT1	2195	112.764	124.418
FAT3	FAT3	120114	9.62622	16.0451
FAT4	FAT4	79633	8.03601	6.9347
FAU	FAU	2197	639.84	326.675
FAUP1	FAUP1	140623	45.047	9.12474
FAXC	FAXC	84553	5.66675	7.74179
FAXDC2	FAXDC2	10826	5.54501	6.77272
FBF1	FBF1	85302	5.17758	4.94746
FBL	FBL	2091	287.862	241.586
FBLIM1	FBLIM1	54751	27.0319	33.4846
FBLL1	FBLL1	345630	2.36525	2.88906
FBLN1	FBLN1	2192	94.8753	107.781
FBLN2	FBLN2	2199	10.6202	11.0564
FBLN5	FBLN5	10516	36.5067	56.3053
FBLN7	FBLN7	129804	4.18818	3.6269
FBN1	FBN1	2200	49.4904	63.7864
FBN2	FBN2	2201	27.268	44.8115
FBN3	FBN3	84467	6.71127	1.62029
FBRS	FBRS	64319	21.0624	23.4546
FBRSL1	FBRSL1	57666	17.8161	20.5208
FBXL12	FBXL12	54850	33.2498	24.7118
FBXL13	FBXL13	222235	0.755977	0.367221
FBXL14	FBXL14	144699	4.42852	5.99967
FBXL15	FBXL15	79176	7.6599	4.61576
FBXL16	FBXL16	146330	0.579863	1.34532
FBXL17	FBXL17	64839	5.33711	6.26697
FBXL18	FBXL18	80028	2.19714	3.4541
FBXL19	FBXL19	54620	16.8623	22.677
FBXL19-AS1	FBXL19-AS1	283932	1.48627	1.83754
FBXL2	FBXL2	25827	3.97928	4.28599
FBXL20	FBXL20	84961	3.46622	3.86308
FBXL22	FBXL22	283807	6.85287	1.40885
FBXL3	FBXL3	26224	16.3901	18.3773
FBXL4	FBXL4	26235	2.37756	3.88083
FBXL5	FBXL5	26234	31.275	35.7222
FBXL6	FBXL6	26233	1.29264	1.40431
FBXL7	FBXL7	23194	16.6637	19.7808
FBXL8	FBXL8	55336	2.44404	1.81849
FBXO10	FBXO10	26267	22.7979	12.1326
FBXO11	FBXO11	80204	34.2566	36.8517
FBXO15	FBXO15	201456	1.19296	1.22935
FBXO16	FBXO16	157574	3.94111	4.34671
FBXO17	FBXO17	115290	11.711	10.5165
FBXO2	FBXO2	26232	0.60391	0.472375
FBXO21	FBXO21	23014	10.9199	15.1326
FBXO22	FBXO22	26263	21.2111	33.5003
FBXO24	FBXO24	26261	0.708967	0.612952
FBXO25	FBXO25	26260	7.00632	5.16342
FBXO27	FBXO27	126433	0.227806	0.614445
FBXO28	FBXO28	23219	8.21236	9.85176
FBXO3	FBXO3	26273	12.5239	13.559
FBXO30	FBXO30	84085	4.66175	7.52589
FBXO31	FBXO31	79791	8.26432	8.72111
FBXO32	FBXO32	114907	2.46778	1.50765
FBXO33	FBXO33	254170	4.50229	5.1236
FBXO34	FBXO34	55030	10.6765	13.6866
FBXO36	FBXO36	130888	1.2521	1.91185
FBXO38	FBXO38	81545	14.1599	16.7342
FBXO4	FBXO4	26272	2.94427	3.78478
FBXO41	FBXO41	150726	0.248116	0.780564
FBXO42	FBXO42	54455	11.5802	12.5975
FBXO43	FBXO43	286151	0.604515	1.319
FBXO44	FBXO44	93611	12.4595	6.8866
FBXO45	FBXO45	200933	7.70406	10.4604
FBXO46	FBXO46	23403	8.39408	12.3609
FBXO48	FBXO48	554251	0.829265	0.867841
FBXO5	FBXO5	26271	35.069	35.4729
FBXO6	FBXO6	26270	1.30014	0.988861
FBXO7	FBXO7	25793	42.1045	51.9224
FBXO8	FBXO8	26269	9.19096	7.53037
FBXO9	FBXO9	26268	28.5598	26.8723
FBXW11	FBXW11	23291	24.2962	25.9674
FBXW11P1	FBXW11P1	54099	0.0429415	0.302371
FBXW12	FBXW12	285231	0.0829591	0.101091
FBXW2	FBXW2	26190	14.7604	26.3491
FBXW4	FBXW4	6468	11.0601	8.48702
FBXW4P1	FBXW4P1	26226	0.214052	0.167609
FBXW5	FBXW5	54461	30.2399	31.1811
FBXW7	FBXW7	55294	27.4073	19.0661
FBXW8	FBXW8	26259	6.57022	6.90495
FBXW9	FBXW9	84261	6.19439	5.77931
FCER1G	FCER1G	2207	1.22193	0.856893
FCF1	FCF1	51077	28.2885	28.9783
FCF1P1	FCF1P1	100422533	0	0.112689
FCF1P2	FCF1P2	101060195	11.6321	12.8943
FCF1P7	FCF1P7	100422536	0.443037	0.349918
FCGR2A	FCGR2A	2212	0.176399	0.407254
FCGRT	FCGRT	2217	58.8302	45.8101
FCHO1	FCHO1	23149	0.477954	0.860791
FCHO2	FCHO2	115548	5.46632	5.57224
FCHSD1	FCHSD1	89848	4.04388	9.50629
FCHSD2	FCHSD2	9873	8.5417	10.8361
FCRLB	FCRLB	127943	0.034998	0.311903
FDFT1	FDFT1	2222	360.432	285.546
FDPS	FDPS	2224	418.049	323.318
FDPSP1	FDPSP1	343332	1.56054	0.733824
FDPSP4	FDPSP4	2228	0.256027	0.351196
FDPSP8	FDPSP8	401981	0	0.0958896
FDX1	FDX1	2230	8.18034	5.04035
FDX1P1	FDX1P1	2231	0.300955	0.118879
FDXR	FDXR	2232	11.164	22.3814
FECH	FECH	2235	10.1289	15.875
FEM1A	FEM1A	55527	7.98793	7.59306
FEM1B	FEM1B	10116	13.6568	17.0601
FEM1C	FEM1C	56929	4.82599	7.21462
FEN1	FEN1	2237	44.691	59.1717
FER	FER	2241	3.14052	4.47906
FER1L4	FER1L4	80307	0.976346	1.23361
FER1L5	FER1L5	90342	0.0986148	0.0294162
FERMT1	FERMT1	55612	0.0731049	0.774448
FERMT2	FERMT2	10979	95.2722	76.1771
FERMT3	FERMT3	83706	2.34205	1.70862
FERP1	FERP1	553112	0.285487	1.94226
FES	FES	2242	1.08623	1.52052
FEZ1	FEZ1	9638	16.9999	29.5134
FEZ2	FEZ2	9637	31.4365	27.3718
FGD1	FGD1	2245	7.85924	11.8115
FGD3	FGD3	89846	1.01045	0.36446
FGD4	FGD4	121512	3.84225	2.33448
FGD5	FGD5	152273	0.796931	0.62897
FGD5-AS1	FGD5-AS1	100505641	50.9534	64.9
FGD6	FGD6	55785	1.85174	3.31023
FGF1	FGF1	2246	1.21844	2.19173
FGF10	FGF10	2255	0.644339	1.28348
FGF11	FGF11	2256	19.911	12.1199
FGF12	FGF12	2257	1.21035	1.87651
FGF13	FGF13	2258	17.5747	6.60489
FGF13-AS1	FGF13-AS1	100129662	0	0.174338
FGF14	FGF14	2259	0.581862	0.406575
FGF14-AS2	FGF14-AS2	283481	1.67971	1.46268
FGF17	FGF17	8822	1.08592	0.39267
FGF18	FGF18	8817	1.81424	1.58614
FGF2	FGF2	2247	2.76987	5.24192
FGF22	FGF22	27006	0.235545	0.0999316
FGF5	FGF5	2250	5.46985	1.18923
FGF9	FGF9	2254	5.0687	1.95655
FGFBP2	FGFBP2	83888	0.386303	0.483831
FGFBP3	FGFBP3	143282	22.9787	35.4926
FGFR1	FGFR1	2260	53.0049	84.211
FGFR1OP	FGFR1OP	11116	11.3186	14.2687
FGFR1OP2	FGFR1OP2	26127	33.8061	31.3301
FGFR2	FGFR2	2263	3.62415	2.61509
FGFR3	FGFR3	2261	1.04599	1.55251
FGFR4	FGFR4	2264	73.4562	79.8009
FGFRL1	FGFRL1	53834	17.9232	15.496
FGGY	FGGY	55277	10.0762	4.33323
FGL2	FGL2	10875	0.176761	0.148549
FH	FH	2271	61.4737	54.8982
FHAD1	FHAD1	114827	0.192459	0.266998
FHDC1	FHDC1	85462	0.69314	0.58385
FHIT	FHIT	2272	0.610493	0.462153
FHL1	FHL1	2273	36.0708	30.6089
FHL2	FHL2	2274	15.6813	17.9751
FHL3	FHL3	2275	19.2896	34.0475
FHOD1	FHOD1	29109	17.6182	19.0836
FHOD3	FHOD3	80206	9.62434	6.39096
FHP1	FHP1	100873790	0.852531	0.321047
FIBCD1	FIBCD1	84929	0.0245648	0.0257197
FIBIN	FIBIN	387758	29.8268	41.787
FIBP	FIBP	9158	44.0944	39.5523
FICD	FICD	11153	2.05194	2.55825
FIG4	FIG4	9896	6.60938	6.26564
FIGN	FIGN	55137	8.92268	6.62614
FIGNL1	FIGNL1	63979	6.45366	9.9487
FILIP1	FILIP1	27145	13.4782	7.09253
FILIP1L	FILIP1L	11259	16.4774	26.1302
FIP1L1	FIP1L1	81608	46.5024	34.0362
FIS1	FIS1	51024	121.827	78.2144
FITM1	FITM1	161247	54.8371	12.2212
FITM2	FITM2	128486	3.37918	3.28371
FIZ1	FIZ1	84922	13.0015	12.9453
FJX1	FJX1	24147	26.3802	22.906
FKBP11	FKBP11	51303	10.4352	10.3983
FKBP14	FKBP14	55033	9.80833	16.8567
FKBP15	FKBP15	23307	8.04009	10.9302
FKBP1A	FKBP1A	2280	132.061	158.218
FKBP1B	FKBP1B	2281	10.5912	8.36301
FKBP1C	FKBP1C	642489	7.87104	2.34522
FKBP2	FKBP2	2286	69.9551	59.6561
FKBP3	FKBP3	2287	209.861	117.307
FKBP4	FKBP4	2288	40.5047	72.364
FKBP5	FKBP5	2289	10.9145	21.3166
FKBP7	FKBP7	51661	35.9737	30.6267
FKBP8	FKBP8	23770	127.995	94.0122
FKBP9	FKBP9	11328	30.1074	44.4645
FKRP	FKRP	79147	15.6994	16.908
FKTN	FKTN	2218	5.97023	7.76177
FLAD1	FLAD1	80308	23.1555	18.3128
FLCN	FLCN	201163	18.4235	18.1567
FLI1	FLI1	2313	11.1219	19.8292
FLII	FLII	2314	113.171	69.077
FLNB	FLNB	2317	19.9469	45.8793
FLNB-AS1	FLNB-AS1	105377105	0.220404	1.01995
FLNC	FLNC	2318	52.838	39.327
FLOT1	FLOT1	10211	6.96944	9.2926
FLOT2	FLOT2	2319	42.4098	38.1736
FLRT1	FLRT1	23769	0.585876	0.753671
FLRT2	FLRT2	23768	72.2073	35.0549
FLRT3	FLRT3	23767	14.8264	13.2678
FLT1	FLT1	2321	0.304399	0.834725
FLT3LG	FLT3LG	2323	0.423602	0.426065
FLT4	FLT4	2324	1.80805	4.02708
FLVCR1	FLVCR1	28982	6.70653	7.2149
FLVCR2	FLVCR2	55640	5.76736	1.735
FLYWCH1	FLYWCH1	84256	11.0202	14.9341
FLYWCH2	FLYWCH2	114984	18.965	19.3427
FMN1	FMN1	342184	0.529092	2.29122
FMN2	FMN2	56776	1.40724	2.22731
FMNL1	FMNL1	752	0.969645	0.629956
FMNL2	FMNL2	114793	15.5142	22.7466
FMNL3	FMNL3	91010	9.08947	17.9479
FMO4	FMO4	2329	1.12028	0.435561
FN1	FN1	2335	520.314	740.316
FN3K	FN3K	64122	4.22388	5.57026
FN3KRP	FN3KRP	79672	28.0117	26.2433
FNBP1	FNBP1	23048	11.7586	17.4113
FNBP1L	FNBP1L	54874	48.2192	48.0431
FNBP1P1	FNBP1P1	100533642	0.551053	0.741707
FNBP4	FNBP4	23360	43.0921	53.7056
FNDC1	FNDC1	84624	1.11838	4.62855
FNDC3A	FNDC3A	22862	20.9744	32.3094
FNDC3B	FNDC3B	64778	24.2901	30.3355
FNDC4	FNDC4	64838	4.81428	4.69658
FNDC5	FNDC5	252995	294.487	85.7383
FNDC9	FNDC9	408263	0.0979735	0.237602
FNIP1	FNIP1	96459	5.1862	6.31854
FNIP2	FNIP2	57600	4.10819	8.05849
FNTA	FNTA	2339	62.7926	47.5386
FNTB	FNTB	2342	16.3358	15.5166
FOCAD	FOCAD	54914	10.0568	12.9161
FOLH1	FOLH1	2346	0.494947	1.44269
FOPNL	FOPNL	123811	19.0334	15.7087
FOS	FOS	2353	3.02946	2.41626
FOSB	FOSB	2354	0.0926361	0.761375
FOSL1	FOSL1	8061	1.96355	4.30462
FOSL1P1	FOSL1P1	100419062	0	0.0687845
FOSL2	FOSL2	2355	3.01694	5.67345
FOXB1	FOXB1	27023	0.372328	0.75701
FOXC1	FOXC1	2296	11.0249	8.30104
FOXC2	FOXC2	2303	0.369598	0.606933
FOXD4	FOXD4	2298	2.83043	0.303543
FOXD4L1	FOXD4L1	200350	4.94129	0.735504
FOXD4L5	FOXD4L5	653427	0.454789	0.133151
FOXF2	FOXF2	2295	0	0.0864664
FOXH1	FOXH1	8928	0.0583526	0.0707426
FOXJ1	FOXJ1	2302	0.563924	0.493266
FOXJ2	FOXJ2	55810	7.07639	10.2865
FOXJ3	FOXJ3	22887	18.4572	16.8409
FOXK1	FOXK1	221937	5.46056	7.38855
FOXK2	FOXK2	3607	20.1389	24.1575
FOXL1	FOXL1	2300	0.166007	0.633612
FOXL2	FOXL2	668	0.0811204	0.332541
FOXM1	FOXM1	2305	37.3279	53.6904
FOXN2	FOXN2	3344	7.53189	6.30548
FOXN3	FOXN3	1112	10.7004	13.6975
FOXN3-AS1	FOXN3-AS1	400236	0.930043	1.11761
FOXN4	FOXN4	121643	0.234489	0.337514
FOXO1	FOXO1	2308	10.5366	7.916
FOXO3	FOXO3	2309	8.62439	7.06323
FOXO3B	FOXO3B	2310	0.889608	2.73166
FOXO4	FOXO4	4303	14.3863	8.14211
FOXO6	FOXO6	100132074	5.15642	2.07264
FOXP1	FOXP1	27086	6.62796	11.1411
FOXP2	FOXP2	93986	9.25204	5.49802
FOXP4	FOXP4	116113	10.104	17.9581
FOXRED1	FOXRED1	55572	21.9706	27.6441
FOXRED2	FOXRED2	80020	8.68997	11.1878
FOXS1	FOXS1	2307	4.10271	5.27614
FPGS	FPGS	2356	29.4725	22.8796
FPGT	FPGT	8790	4.48692	4.90187
FPGT-TNNI3K	FPGT-TNNI3K	100526835	0.181171	0.147849
FRA10AC1	FRA10AC1	118924	29.442	17.6931
FRAS1	FRAS1	80144	5.32272	5.45692
FRAT1	FRAT1	10023	2.87559	2.26332
FRAT2	FRAT2	23401	5.67531	7.7378
FREM1	FREM1	158326	4.45227	4.70977
FREM2	FREM2	341640	1.46432	1.43011
FRG1	FRG1	2483	1.61639	1.36517
FRMD3	FRMD3	257019	7.70786	4.14783
FRMD4A	FRMD4A	55691	19.7551	48.6142
FRMD4B	FRMD4B	23150	8.24216	7.47251
FRMD5	FRMD5	84978	0.412099	0.782667
FRMD6	FRMD6	122786	18.4794	28.2079
FRMD8	FRMD8	83786	7.36778	11.5114
FRMPD1	FRMPD1	22844	3.19491	1.46177
FRMPD3	FRMPD3	84443	0.103393	0.284774
FRRS1	FRRS1	391059	0.48347	1.09837
FRRS1L	FRRS1L	23732	0.297527	0.318387
FRS2	FRS2	10818	7.72382	9.41217
FRS3	FRS3	10817	4.70135	3.66219
FRY	FRY	10129	2.66374	0.969613
FRYL	FRYL	285527	12.245	14.2516
FRZB	FRZB	2487	21.4787	8.90749
FSBP	FSBP	100861412	1.45725	1.05573
FSCN1	FSCN1	6624	132.347	175.174
FSCN2	FSCN2	25794	0.56803	0.671923
FSCN3	FSCN3	29999	1.80809	0.289056
FSD1	FSD1	79187	15.2308	23.6767
FSD1L	FSD1L	83856	3.46458	3.65725
FSIP1	FSIP1	161835	0.260184	0.792617
FSIP2	FSIP2	401024	0.235084	0.132664
FST	FST	10468	27.0731	28.3572
FSTL1	FSTL1	11167	226.567	381.609
FSTL3	FSTL3	10272	7.13662	6.48386
FSTL4	FSTL4	23105	0.489195	0.336298
FSTL5	FSTL5	56884	17.9542	7.17274
FTCD	FTCD	10841	2.27198	1.39167
FTCDNL1	FTCDNL1	348751	0.416522	0.277146
FTH1	FTH1	2495	803.427	981.369
FTH1P1	FTH1P1	2496	0.158632	0
FTH1P10	FTH1P10	2502	20.9014	19.1335
FTH1P11	FTH1P11	2503	10.9849	9.27257
FTH1P15	FTH1P15	2507	1.04826	0
FTH1P16	FTH1P16	2508	1.35064	0.830207
FTH1P2	FTH1P2	2497	27.7602	28.8901
FTH1P20	FTH1P20	729009	5.91664	4.31519
FTH1P23	FTH1P23	100420300	5.43188	4.64905
FTH1P3	FTH1P3	2498	1.79608	0.54499
FTH1P7	FTH1P7	2500	21.9104	33.3135
FTL	FTL	2512	602.647	1355.88
FTLP12	FTLP12	100462792	0.415161	0.164974
FTLP3	FTLP3	284764	19.0736	15.3858
FTO	FTO	79068	19.827	29.6436
FTO-IT1	FTO-IT1	100505692	0.426473	0.125249
FTOP1	FTOP1	100874223	0.490472	0.320877
FTSJ3	FTSJ3	117246	29.5979	32.3381
FTX	FTX	100302692	4.4426	6.60254
FUBP1	FUBP1	8880	117.955	90.2825
FUBP3	FUBP3	8939	34.5639	34.2487
FUCA1	FUCA1	2517	5.2349	3.27741
FUCA2	FUCA2	2519	11.2401	18.3662
FUNDC1	FUNDC1	139341	22.1948	13.1971
FUNDC2	FUNDC2	65991	0.803041	0.375866
FUNDC2P2	FUNDC2P2	388965	0.535331	0.141372
FUOM	FUOM	282969	15.1771	8.29492
FURIN	FURIN	5045	16.6925	16.9995
FUS	FUS	2521	617.606	339.964
FUT10	FUT10	84750	3.72335	6.62273
FUT11	FUT11	170384	18.1221	15.6736
FUT2	FUT2	2524	0.605971	0.608303
FUT4	FUT4	2526	1.33329	2.29876
FUT8	FUT8	2530	7.42241	10.0307
FUT9	FUT9	10690	0.118825	0.323833
FUZ	FUZ	80199	14.6588	13.625
FXN	FXN	2395	14.7875	13.8215
FXR1	FXR1	8087	230.761	147.897
FXR2	FXR2	9513	33.3316	25.8295
