name	Akkouh_et_al_Rat	GSE132397_Mouse	GSE66276_Rat	Literature	Rat_Microarray_v8_Output
'r0792'	0	0	1	0	1
'r0839'	1	0	0	0	0
'r0999'	0	0	1	0	1
'r1000'	1	0	0	0	0
'r1134'	0	1	0	0	0
'r1135'	0	1	0	0	0
'r1143'	1	0	0	0	0
'r1146'	0	1	0	0	0
'r1401'	1	0	0	0	0
'r1443'	0	1	1	0	1
'r1444'	0	1	1	0	1
'r1445'	0	1	1	0	1
'r1446'	0	0	1	0	1
'r1447'	0	1	0	0	0
'r1448'	0	1	0	0	0
'r1449'	0	1	1	0	1
'r1450'	0	1	1	0	1
'r1451'	0	1	0	0	0
'r1454'	1	0	0	0	0
'r1472'	0	0	1	0	1
'r1474'	0	0	1	0	1
'r1477'	0	0	1	0	1
'r1487'	1	0	0	0	0
'r2434'	1	1	1	0	1
'r2514'	1	0	0	0	0
'RE0512M'	0	0	1	0	1
'RE0577C'	0	0	1	0	1
'RE0583C'	1	0	1	0	1
'RE1342C'	0	0	0	1	0
'RE1447N'	1	0	0	0	0
'RE1448N'	1	0	0	0	0
'RE1516M'	0	0	1	0	1
'RE1517M'	0	0	1	0	1
'RE1518M'	0	0	1	0	1
'RE1518X'	0	0	1	0	1
'RE1519X'	0	0	1	0	1
'RE1520M'	0	0	1	0	1
'RE1520X'	0	0	1	0	1
'RE1521M'	0	0	1	0	1
'RE1521X'	0	0	1	0	1
'RE1522M'	0	0	1	0	1
'RE1522X'	0	0	1	0	1
'RE1523M'	0	0	1	0	1
'RE1525M'	0	0	1	0	1
'RE1525X'	0	0	1	0	1
'RE1526M'	0	0	1	0	1
'RE1526X'	0	0	1	0	1
'RE1527M'	0	0	1	0	1
'RE1527X'	0	0	1	0	1
'RE1531M'	0	0	1	0	1
'RE1532M'	0	0	1	0	1
'RE1532X'	0	0	1	0	1
'RE1533M'	0	0	1	0	1
'RE1533X'	0	0	1	0	1
'RE1534M'	0	0	1	0	1
'RE1534X'	0	0	1	0	1
'RE1573M'	0	0	1	0	1
'RE1573X'	0	0	1	0	1
'RE2034C'	1	0	0	0	0
'RE2407C'	0	1	0	0	0
'RE2410C'	1	1	0	0	0
'RE2992M'	0	0	1	0	1
'RE2998M'	0	1	0	0	0
'RE2999M'	0	1	0	0	0
'RE3000M'	0	1	0	0	0
'RE3001M'	0	1	0	0	0
'RE3003M'	0	1	0	0	0
'RE3004M'	0	1	0	0	0
'RE3005M'	0	1	0	0	0
'RE3006M'	0	1	0	0	0
'RE3106C'	1	0	0	0	0
'RE3110C'	1	0	0	0	0
'RE3112C'	1	0	0	0	0
'RE3113C'	1	0	0	0	0
'RE3114R'	0	0	1	0	1
'RE3119C'	1	0	1	0	1
'RE3120C'	1	0	1	0	1
'RE3121C'	1	0	1	0	1
'RE3122C'	1	0	1	0	1
'RE3132R'	1	0	0	0	0
'RE3134C'	1	1	0	0	0
'RE3136C'	0	1	0	0	0
'RE3180C'	1	1	0	0	0
'RE3181C'	1	1	0	0	0
'RE3251M'	0	1	0	0	0
'RE3270C'	1	0	0	0	0
'RE3624M'	0	1	0	0	0
'RE3626M'	0	0	1	0	1
'RE3628M'	0	0	1	0	1
'RTOTAL3CRNCPT2'	1	0	0	0	0
'RTOTAL3CRNt'	1	0	0	0	0
'SBTD_D2'	0	0	0	1	0
'SERPT'	0	0	1	0	1
'sink_c101coa[c]'	1	0	0	0	0
'sink_c226coa[c]'	0	0	1	0	1
'sink_c81coa[c]'	1	0	0	0	0
'sink_chol[c]'	0	0	1	0	1
'sink_crvnc[c]'	0	0	1	0	1
'sink_dd2coa[c]'	1	0	0	0	0
'sink_decdicoa[c]'	1	0	0	0	0
'sink_hdca[c]'	0	0	1	0	1
'sink_lnlccoa[c]'	1	0	1	0	1
'sink_lnlncgcoa[c]'	0	0	1	0	1
'sink_octdececoa[c]'	1	0	0	0	0
'sink_odecoa[c]'	0	0	1	0	1
'sink_pmtcoa[c]'	0	0	1	0	1
'sink_stcoa[c]'	0	0	1	0	1
'sink_tetdec2coa[c]'	1	0	0	0	0
'sink_tetdece1coa[c]'	1	0	0	0	0
'SPHGNte'	0	0	1	0	1
'SPODM'	0	1	0	0	0
'SPODMm'	0	1	0	0	0
'SPODMn'	0	1	0	0	0
'SPODMx'	0	1	0	0	0
'SQLEr'	0	1	0	0	0
'STCOAtx'	0	1	1	0	1
'STRDNCCPT1'	0	0	1	0	1
'STRDNCCPT2'	1	0	1	0	1
'TETDEC2CRNe'	1	0	0	0	0
'TETDECE1CRNe'	1	0	0	0	0
'TETPENT3COAtm'	1	0	0	0	0
'TETPENT3CPT2'	1	0	0	0	0
'TETPENT3CRNt'	1	0	0	0	0
'TETPENT6COAtm'	1	0	0	0	0
'TETPENT6CPT2'	1	0	0	0	0
'TETPENT6CRNt'	1	0	0	0	0
'TETTET6COAtm'	1	0	0	0	0
'TETTET6CPT2'	1	0	0	0	0
'TETTET6CRNt'	1	0	0	0	0
'TIGCRNe'	1	0	0	0	0
'TMNDNCCOAtx'	1	1	1	0	1
'TRDR2'	0	1	0	0	0
'TRDR3'	0	1	0	0	0
'TTDCEAc'	1	1	0	0	0
'TTDCEAt'	0	0	1	0	1
'TTDCPT2'	1	0	0	0	0
'XANtr'	0	0	1	0	1
'XMPtr'	0	0	1	0	1
'XOLEST2te'	1	0	0	0	0
'XTSNtr'	0	0	1	0	1
